State,County,Black low access to store (%) 2015 (PCT_LACCESS_BLACK15),Units,FIPS,FID
Florida,Alachua,3.5029091147639244,Percent,12001,639
Florida,Baker,5.338059423207892,Percent,12003,641
Florida,Bay,2.5027199817183092,Percent,12005,658
Florida,Bradford,1.4499365618994775,Percent,12007,665
Florida,Brevard,3.825644833169169,Percent,12009,686
Florida,Broward,1.7231155032714152,Percent,12011,695
Florida,Calhoun,2.191856908405737,Percent,12013,699
Florida,Charlotte,2.4523679630872808,Percent,12015,743
Florida,Citrus,0.6762894640930138,Percent,12017,843
Florida,Clay,1.9312382456366177,Percent,12019,852
Florida,Collier,1.6937851037941993,Percent,12021,894
Florida,Columbia,2.6125661246194785,Percent,12023,903
Florida,DeSoto,1.2179111299385692,Percent,12027,906
Florida,Dixie,0.01871673994765248,Percent,12029,918
Florida,Duval,7.046025726157419,Percent,12031,924
Florida,Escambia,7.4824969358890066,Percent,12033,931
Florida,Flagler,4.205390928596995,Percent,12035,935
Florida,Franklin,0.08208641305976137,Percent,12037,937
Florida,Gadsden,5.913565350260105,Percent,12039,938
Florida,Gilchrist,0.0,Percent,12041,939
Florida,Glades,11.77383975243263,Percent,12043,940
Florida,Gulf,1.03759830022642,Percent,12045,941
Florida,Hamilton,5.0779991717674635,Percent,12047,942
Florida,Hardee,4.664323084066856,Percent,12049,943
Florida,Hendry,8.52629465322389,Percent,12051,944
Florida,Hernando,1.8193550079289376,Percent,12053,945
Florida,Highlands,2.6077425693092238,Percent,12055,946
Florida,Hillsborough,2.9026791044230515,Percent,12057,947
Florida,Holmes,0.1439371134799513,Percent,12059,948
Florida,Indian River,4.428615139230504,Percent,12061,949
Florida,Jackson,0.9302685963529409,Percent,12063,950
Florida,Jefferson,6.26406517049265,Percent,12065,951
Florida,Lafayette,0.01127395727642807,Percent,12067,952
Florida,Lake,3.072494019893214,Percent,12069,953
Florida,Lee,2.669814991375248,Percent,12071,954
Florida,Leon,6.865563036228751,Percent,12073,955
Florida,Levy,0.18078594497834316,Percent,12075,956
Florida,Liberty,1.1082736982931525,Percent,12077,957
Florida,Madison,7.032908689669423,Percent,12079,958
Florida,Manatee,1.269453057970099,Percent,12081,959
Florida,Marion,3.406294078887527,Percent,12083,960
Florida,Martin,1.2596057763890978,Percent,12085,961
Florida,Miami-Dade,0.8383000698222305,Percent,12086,962
Florida,Monroe,0.7400274414708401,Percent,12087,963
Florida,Nassau,1.8205604012090322,Percent,12089,964
Florida,Okaloosa,2.9186057531332303,Percent,12091,965
Florida,Okeechobee,4.297635526722322,Percent,12093,966
Florida,Orange,3.2598823664460674,Percent,12095,967
Florida,Osceola,2.38306127990334,Percent,12097,968
Florida,Palm Beach,2.4294453683222232,Percent,12099,969
Florida,Pasco,0.8008459911139387,Percent,12101,970
Florida,Pinellas,1.5941909638408822,Percent,12103,971
Florida,Polk,3.5395074043167107,Percent,12105,972
Florida,Putnam,5.648356588080858,Percent,12107,973
Florida,St. Johns,1.8167504373134937,Percent,12109,974
Florida,St. Lucie,6.265116184087706,Percent,12111,975
Florida,Santa Rosa,1.7789483697822979,Percent,12113,976
Florida,Sarasota,0.8017713481333834,Percent,12115,977
Florida,Seminole,3.105039734668219,Percent,12117,978
Florida,Sumter,0.6373147084541286,Percent,12119,979
Florida,Suwannee,2.3142827658014222,Percent,12121,980
Florida,Taylor,2.739537078857169,Percent,12123,981
Florida,Union,7.030409653364081,Percent,12125,982
Florida,Volusia,2.687380934804051,Percent,12127,983
Florida,Wakulla,0.0048155290836505715,Percent,12129,984
Florida,Walton,0.4962267784409716,Percent,12131,985
Florida,Washington,7.710033700334873,Percent,12133,986
Georgia,Appling,1.869959062491687,Percent,13001,987
Georgia,Atkinson,6.348366317353397,Percent,13003,988
Georgia,Bacon,2.847353522011175,Percent,13005,989
Georgia,Baker,34.252547673231234,Percent,13007,990
Georgia,Baldwin,8.358715825517432,Percent,13009,991
Georgia,Banks,0.08004198619527154,Percent,13011,992
Georgia,Barrow,1.036555234229984,Percent,13013,993
Georgia,Bartow,3.8462524073645574,Percent,13015,994
Georgia,Ben Hill,6.019937510627708,Percent,13017,995
Georgia,Berrien,2.7474956344292547,Percent,13019,996
Georgia,Bibb,11.882389362853543,Percent,13021,997
Georgia,Bleckley,1.2081456589203627,Percent,13023,998
Georgia,Brantley,0.1805642284147379,Percent,13025,999
Georgia,Brooks,2.495981652105467,Percent,13027,565
Georgia,Bryan,3.9747303658343203,Percent,13029,573
Georgia,Bulloch,1.658837505799749,Percent,13031,579
Georgia,Burke,3.8276470952007675,Percent,13033,583
Georgia,Butts,2.5949573962708263,Percent,13035,588
Georgia,Calhoun,8.293579669024483,Percent,13037,592
Georgia,Camden,8.918829411522598,Percent,13039,603
Georgia,Candler,1.7586741481111476,Percent,13043,616
Georgia,Carroll,5.459034011560027,Percent,13045,620
Georgia,Catoosa,0.6731990924801633,Percent,13047,626
Georgia,Charlton,4.463066484091743,Percent,13049,635
Georgia,Chatham,6.8929242520693785,Percent,13051,646
Georgia,Chattahoochee,18.236444974705332,Percent,13053,656
Georgia,Chattooga,0.516817724669087,Percent,13055,659
Georgia,Cherokee,1.8777612508679986,Percent,13057,662
Georgia,Clarke,10.902913827371695,Percent,13059,666
Georgia,Clay,50.136323722588436,Percent,13061,670
Georgia,Clayton,25.869070373991764,Percent,13063,673
Georgia,Clinch,1.5475178495158135,Percent,13065,676
Georgia,Cobb,9.330948016285639,Percent,13067,680
Georgia,Coffee,3.505116606852441,Percent,13069,684
Georgia,Colquitt,2.572826615028199,Percent,13071,689
Georgia,Columbia,2.5497954409195422,Percent,13073,692
Georgia,Cook,4.297103414567378,Percent,13075,697
Georgia,Coweta,4.115433711353983,Percent,13077,700
Georgia,Crawford,0.5395504078720761,Percent,13079,704
Georgia,Crisp,4.694630583108153,Percent,13081,707
Georgia,Dade,0.04233148431411363,Percent,13083,708
Georgia,Dawson,0.00447828028199176,Percent,13085,713
Georgia,Decatur,4.440314701914231,Percent,13087,714
Georgia,DeKalb,18.19475265190022,Percent,13089,718
Georgia,Dodge,0.8014894558080656,Percent,13091,720
Georgia,Dooly,0.1507788544213715,Percent,13093,724
Georgia,Dougherty,28.778562257346586,Percent,13095,728
Georgia,Douglas,12.728976172332954,Percent,13097,731
Georgia,Early,5.041484928670212,Percent,13099,735
Georgia,Echols,0.14192365064171616,Percent,13101,737
Georgia,Effingham,3.469363695203234,Percent,13103,742
Georgia,Elbert,9.75035523680591,Percent,13105,746
Georgia,Emanuel,7.349739413605186,Percent,13107,750
Georgia,Evans,2.785418506298018,Percent,13109,754
Georgia,Fannin,0.00015630797885648383,Percent,13111,755
Georgia,Fayette,8.006611712020899,Percent,13113,760
Georgia,Floyd,2.9072894439806887,Percent,13115,764
Georgia,Forsyth,0.5640447694907099,Percent,13117,768
Georgia,Franklin,0.13900028096012315,Percent,13119,772
Georgia,Fulton,12.262835952797202,Percent,13121,779
Georgia,Gilmer,0.06179394578735367,Percent,13123,781
Georgia,Glascock,6.190400104235756,Percent,13125,783
Georgia,Glynn,6.284528700150428,Percent,13127,793
Georgia,Gordon,1.1011227048140977,Percent,13129,796
Georgia,Grady,4.38599024565975,Percent,13131,797
Georgia,Greene,1.5274250291645741,Percent,13133,800
Georgia,Gwinnett,6.652253001404384,Percent,13135,804
Georgia,Habersham,1.202337707722367,Percent,13137,806
Georgia,Hall,1.8892864068324113,Percent,13139,808
Georgia,Hancock,17.133163634032243,Percent,13141,810
Georgia,Haralson,0.19727285017140964,Percent,13143,813
Georgia,Harris,0.3997340950517612,Percent,13145,814
Georgia,Hart,4.138845154801412,Percent,13147,816
Georgia,Heard,0.09154040642218861,Percent,13149,817
Georgia,Henry,12.45130234920489,Percent,13151,820
Georgia,Houston,9.0266690739817,Percent,13153,823
Georgia,Irwin,1.1854838958762004,Percent,13155,825
Georgia,Jackson,0.4577775099628867,Percent,13157,828
Georgia,Jasper,3.8262142063972515,Percent,13159,830
Georgia,Jeff Davis,2.6277969187322405,Percent,13161,832
Georgia,Jefferson,2.853039416289014,Percent,13163,834
Georgia,Jenkins,0.7474487236417698,Percent,13165,835
Georgia,Johnson,0.3755432855176242,Percent,13167,837
Georgia,Jones,3.56489433999993,Percent,13169,839
Georgia,Lamar,2.19082195843743,Percent,13171,841
Georgia,Lanier,0.49925911186553973,Percent,13173,845
Georgia,Laurens,4.945235671226803,Percent,13175,847
Georgia,Lee,2.17503880116492,Percent,13177,849
