State,County,WIC redemptions per WIC-authorized stores (% change) 2011-16 (PCH_REDEMP_WICS_11_16),Units,FIPS,FID
Florida,Leon,13.335197448730469,% change,12073,955
Florida,Levy,12.928428649902344,% change,12075,956
Florida,Liberty,-2.2779712677001953,% change,12077,957
Florida,Madison,-9.610302925109863,% change,12079,958
Florida,Manatee,14.549751281738281,% change,12081,959
Florida,Marion,-2.643630266189575,% change,12083,960
Florida,Martin,-66.46602630615234,% change,12085,961
Florida,Miami-Dade,8.058904647827148,% change,12086,962
Florida,Monroe,6.666923999786377,% change,12087,963
Florida,Nassau,-2.4728801250457764,% change,12089,964
Florida,Okaloosa,-8.510437965393066,% change,12091,965
Florida,Okeechobee,36.76728057861328,% change,12093,966
Florida,Orange,5.542720317840576,% change,12095,967
Florida,Osceola,5.598877906799316,% change,12097,968
Florida,Palm Beach,13.210517883300781,% change,12099,969
Florida,Pasco,23.108518600463867,% change,12101,970
Florida,Pinellas,2.1793224811553955,% change,12103,971
Florida,Polk,25.733243942260742,% change,12105,972
Florida,Putnam,-9.75572395324707,% change,12107,973
Florida,St. Johns,4.4097795486450195,% change,12109,974
Florida,St. Lucie,-4.3935980796813965,% change,12111,975
Florida,Santa Rosa,3.064735174179077,% change,12113,976
Florida,Sarasota,-13.092483520507812,% change,12115,977
Florida,Seminole,10.328848838806152,% change,12117,978
Florida,Sumter,3.5462164878845215,% change,12119,979
Florida,Suwannee,-3.636378049850464,% change,12121,980
Florida,Taylor,0.09075727313756943,% change,12123,981
Florida,Union,-23.46373748779297,% change,12125,982
Florida,Volusia,3.496948003768921,% change,12127,983
Florida,Wakulla,9.66507625579834,% change,12129,984
Florida,Walton,0.5476537346839905,% change,12131,985
Florida,Washington,4.187743186950684,% change,12133,986
Georgia,Appling,-8.567975997924805,% change,13001,987
Georgia,Atkinson,-6.2360429763793945,% change,13003,988
Georgia,Bacon,-18.63450813293457,% change,13005,989
Georgia,Baker,-49.17938995361328,% change,13007,990
Georgia,Baldwin,-27.824970245361328,% change,13009,991
Georgia,Banks,nan,% change,13011,992
Georgia,Barrow,-4.167614936828613,% change,13013,993
Georgia,Bartow,3.3752493858337402,% change,13015,994
Georgia,Ben Hill,53.313934326171875,% change,13017,995
Georgia,Berrien,233.21334838867188,% change,13019,996
Georgia,Bibb,-30.287656784057617,% change,13021,997
Georgia,Bleckley,-29.217575073242188,% change,13023,998
Georgia,Brantley,-24.265344619750977,% change,13025,999
Georgia,Brooks,17.21087074279785,% change,13027,565
Georgia,Bryan,6.4221367835998535,% change,13029,573
Georgia,Bulloch,-25.66609001159668,% change,13031,579
Georgia,Burke,-9.886223793029785,% change,13033,583
Georgia,Butts,18.8441162109375,% change,13035,588
Georgia,Calhoun,41.502601623535156,% change,13037,592
Georgia,Camden,-3.096698045730591,% change,13039,603
Georgia,Candler,60.76544952392578,% change,13043,616
Georgia,Carroll,-21.884374618530273,% change,13045,620
Georgia,Catoosa,-20.782176971435547,% change,13047,626
Georgia,Charlton,103.27738952636719,% change,13049,635
Georgia,Chatham,-5.474698543548584,% change,13051,646
Georgia,Chattahoochee,-31.394372940063477,% change,13053,656
Georgia,Chattooga,2.452937602996826,% change,13055,659
Georgia,Cherokee,-48.733333587646484,% change,13057,662
Georgia,Clarke,-21.3408203125,% change,13059,666
Georgia,Clay,-65.30923461914062,% change,13061,670
Georgia,Clayton,-40.20465850830078,% change,13063,673
Georgia,Clinch,125.70735931396484,% change,13065,676
Georgia,Cobb,-39.58781051635742,% change,13067,680
Georgia,Coffee,35.75994110107422,% change,13069,684
Georgia,Colquitt,-7.387139797210693,% change,13071,689
Georgia,Columbia,-25.352754592895508,% change,13073,692
Georgia,Cook,-16.448522567749023,% change,13075,697
Georgia,Coweta,-10.751531600952148,% change,13077,700
Georgia,Crawford,-86.47779846191406,% change,13079,704
Georgia,Crisp,-13.516629219055176,% change,13081,707
Georgia,Dade,-15.964544296264648,% change,13083,708
Georgia,Dawson,-44.963722229003906,% change,13085,713
Georgia,Decatur,0.1548963189125061,% change,13087,714
Georgia,DeKalb,-29.929174423217773,% change,13089,718
Georgia,Dodge,8.236597061157227,% change,13091,720
Georgia,Dooly,-20.253658294677734,% change,13093,724
Georgia,Dougherty,10.226668357849121,% change,13095,728
Georgia,Douglas,37.420162200927734,% change,13097,731
Georgia,Early,1.0771762132644653,% change,13099,735
Georgia,Echols,-44.1403694152832,% change,13101,737
Georgia,Effingham,36.70221710205078,% change,13103,742
Georgia,Elbert,-19.84748077392578,% change,13105,746
Georgia,Emanuel,87.02182006835938,% change,13107,750
Georgia,Evans,-22.50212287902832,% change,13109,754
Georgia,Fannin,-17.773080825805664,% change,13111,755
Georgia,Fayette,-24.961999893188477,% change,13113,760
Georgia,Floyd,-11.814839363098145,% change,13115,764
Georgia,Forsyth,-45.03361892700195,% change,13117,768
Georgia,Franklin,-20.525428771972656,% change,13119,772
Georgia,Fulton,-7.1348185539245605,% change,13121,779
Georgia,Gilmer,-16.326717376708984,% change,13123,781
Georgia,Glascock,nan,% change,13125,783
Georgia,Glynn,-8.966400146484375,% change,13127,793
Georgia,Gordon,-8.856918334960938,% change,13129,796
Georgia,Grady,-36.83864974975586,% change,13131,797
Georgia,Greene,4.101284503936768,% change,13133,800
Georgia,Gwinnett,-19.947446823120117,% change,13135,804
Georgia,Habersham,-11.816227912902832,% change,13137,806
Georgia,Hall,-11.846575736999512,% change,13139,808
Georgia,Hancock,-44.90873336791992,% change,13141,810
Georgia,Haralson,20.7535343170166,% change,13143,813
Georgia,Harris,14.231864929199219,% change,13145,814
Georgia,Hart,10.036937713623047,% change,13147,816
Georgia,Heard,-33.315826416015625,% change,13149,817
Georgia,Henry,-23.818084716796875,% change,13151,820
Georgia,Houston,-1.0979993343353271,% change,13153,823
Georgia,Irwin,-30.909807205200195,% change,13155,825
Georgia,Jackson,-8.508455276489258,% change,13157,828
Georgia,Jasper,-29.673471450805664,% change,13159,830
Georgia,Jeff Davis,-19.675569534301758,% change,13161,832
Georgia,Jefferson,-20.792570114135742,% change,13163,834
Georgia,Jenkins,-32.65071105957031,% change,13165,835
Georgia,Johnson,-8.204354286193848,% change,13167,837
Georgia,Jones,-18.225326538085938,% change,13169,839
Georgia,Lamar,-27.97636604309082,% change,13171,841
Georgia,Lanier,-53.31586837768555,% change,13173,845
Georgia,Laurens,48.5792236328125,% change,13175,847
Georgia,Lee,6.378637790679932,% change,13177,849
Georgia,Liberty,-11.630176544189453,% change,13179,855
Georgia,Lincoln,-13.174593925476074,% change,13181,857
Georgia,Long,-39.799312591552734,% change,13183,860
Georgia,Lowndes,-2.6666696071624756,% change,13185,863
Georgia,Lumpkin,-25.354963302612305,% change,13187,865
Georgia,McDuffie,-1.6076751947402954,% change,13189,868
Georgia,McIntosh,-30.73302459716797,% change,13191,871
Georgia,Macon,-25.95306968688965,% change,13193,874
Georgia,Madison,-23.699037551879883,% change,13195,875
Georgia,Marion,-64.83334350585938,% change,13197,877
Georgia,Meriwether,30.619600296020508,% change,13199,879
Georgia,Miller,-30.555511474609375,% change,13201,881
Georgia,Mitchell,-27.744792938232422,% change,13205,883
Georgia,Monroe,-11.756532669067383,% change,13207,885
Georgia,Montgomery,313.2816467285156,% change,13209,887
Georgia,Morgan,38.88793182373047,% change,13211,890
Georgia,Murray,-2.867992401123047,% change,13213,892
Georgia,Muscogee,6.425323486328125,% change,13215,896
Georgia,Newton,-30.177757263183594,% change,13217,899
Georgia,Oconee,-10.756473541259766,% change,13219,901
Georgia,Oglethorpe,-32.58716583251953,% change,13221,905
Georgia,Paulding,-23.883747100830078,% change,13223,908
Georgia,Peach,-41.946529388427734,% change,13225,910
Georgia,Pickens,-14.545076370239258,% change,13227,912
Georgia,Pierce,61.780216217041016,% change,13229,915
Georgia,Pike,-43.97747039794922,% change,13231,7
Georgia,Polk,-30.930784225463867,% change,13233,8
Georgia,Pulaski,-41.358299255371094,% change,13235,11
Georgia,Putnam,-30.638648986816406,% change,13237,13
Georgia,Quitman,nan,% change,13239,16
Georgia,Rabun,-30.110937118530273,% change,13241,18
Georgia,Randolph,6.226207256317139,% change,13243,23
Georgia,Richmond,-7.998256683349609,% change,13245,24
Georgia,Rockdale,-33.09376907348633,% change,13247,28
Georgia,Schley,-43.217960357666016,% change,13249,31
Georgia,Screven,-28.961030960083008,% change,13251,34
Georgia,Seminole,-14.877673149108887,% change,13253,38
Georgia,Spalding,30.242843627929688,% change,13255,41
Georgia,Stephens,-0.5576001405715942,% change,13257,45
Georgia,Stewart,-30.986862182617188,% change,13259,48
Georgia,Sumter,-17.371049880981445,% change,13261,52
Georgia,Talbot,nan,% change,13263,57
Georgia,Taliaferro,nan,% change,13265,60
