State,County,WIC infant and children participants (% infant & children) 2016 (PCT_WICINFANTCHILD16),Units,FIPS,FID
Georgia,Forsyth,28.307644706562307,Percent,13117,768
Georgia,Franklin,28.307644706562307,Percent,13119,772
Georgia,Fulton,28.307644706562307,Percent,13121,779
Georgia,Gilmer,28.307644706562307,Percent,13123,781
Georgia,Glascock,28.307644706562307,Percent,13125,783
Georgia,Glynn,28.307644706562307,Percent,13127,793
Georgia,Gordon,28.307644706562307,Percent,13129,796
Georgia,Grady,28.307644706562307,Percent,13131,797
Georgia,Greene,28.307644706562307,Percent,13133,800
Georgia,Gwinnett,28.307644706562307,Percent,13135,804
Georgia,Habersham,28.307644706562307,Percent,13137,806
Georgia,Hall,28.307644706562307,Percent,13139,808
Georgia,Hancock,28.307644706562307,Percent,13141,810
Georgia,Haralson,28.307644706562307,Percent,13143,813
Georgia,Harris,28.307644706562307,Percent,13145,814
Georgia,Hart,28.307644706562307,Percent,13147,816
Georgia,Heard,28.307644706562307,Percent,13149,817
Georgia,Henry,28.307644706562307,Percent,13151,820
Georgia,Houston,28.307644706562307,Percent,13153,823
Georgia,Irwin,28.307644706562307,Percent,13155,825
Georgia,Jackson,28.307644706562307,Percent,13157,828
Georgia,Jasper,28.307644706562307,Percent,13159,830
Georgia,Jeff Davis,28.307644706562307,Percent,13161,832
Georgia,Jefferson,28.307644706562307,Percent,13163,834
Georgia,Jenkins,28.307644706562307,Percent,13165,835
Georgia,Johnson,28.307644706562307,Percent,13167,837
Georgia,Jones,28.307644706562307,Percent,13169,839
Georgia,Lamar,28.307644706562307,Percent,13171,841
Georgia,Lanier,28.307644706562307,Percent,13173,845
Georgia,Laurens,28.307644706562307,Percent,13175,847
Georgia,Lee,28.307644706562307,Percent,13177,849
Georgia,Liberty,28.307644706562307,Percent,13179,855
Georgia,Lincoln,28.307644706562307,Percent,13181,857
Georgia,Long,28.307644706562307,Percent,13183,860
Georgia,Lowndes,28.307644706562307,Percent,13185,863
Georgia,Lumpkin,28.307644706562307,Percent,13187,865
Georgia,McDuffie,28.307644706562307,Percent,13189,868
Georgia,McIntosh,28.307644706562307,Percent,13191,871
