State,County,Students eligible for free lunch (%) 2015 (PCT_FREE_LUNCH15),Units,FIPS,FID
Colorado,Kiowa,30.472103004291846,Percent,8061,711
Colorado,Kit Carson,42.19081272084806,Percent,8063,716
Colorado,Lake,51.76908752327747,Percent,8065,721
Colorado,La Plata,23.8771645021645,Percent,8067,727
Colorado,Larimer,25.83392329155041,Percent,8069,734
Colorado,Las Animas,46.851272889682896,Percent,8071,741
Colorado,Lincoln,28.15126050420168,Percent,8073,747
Colorado,Logan,34.59731543624161,Percent,8075,749
Colorado,Mesa,39.646876879457,Percent,8077,751
Colorado,Mineral,27.380952380952383,Percent,8079,757
Colorado,Moffat,34.58029197080292,Percent,8081,758
Colorado,Montezuma,45.845624385447394,Percent,8083,766
Colorado,Montrose,42.55846368282484,Percent,8085,769
Colorado,Morgan,48.92285030381146,Percent,8087,775
Colorado,Otero,58.803471791692495,Percent,8089,777
Colorado,Ouray,19.852941176470587,Percent,8091,780
Colorado,Park,29.1866028708134,Percent,8093,782
Colorado,Phillips,30.107526881720432,Percent,8095,785
Colorado,Pitkin,10.554290053151101,Percent,8097,789
Colorado,Prowers,52.87601193012355,Percent,8099,792
Colorado,Pueblo,52.48989313359868,Percent,8101,795
Colorado,Rio Blanco,28.731045490822027,Percent,8103,799
Colorado,Rio Grande,49.77711738484398,Percent,8105,802
Colorado,Routt,18.53305161485059,Percent,8107,809
Colorado,Saguache,77.41935483870968,Percent,8109,811
Colorado,San Juan,55.4054054054054,Percent,8111,347
Colorado,San Miguel,22.795341098169715,Percent,8113,359
Colorado,Sedgwick,37.54740834386852,Percent,8115,366
Colorado,Summit,27.32458642327439,Percent,8117,373
Colorado,Teller,27.63572679509632,Percent,8119,375
Colorado,Washington,36.75496688741722,Percent,8121,377
Colorado,Weld,37.07527045558434,Percent,8123,382
Colorado,Yuma,45.37396121883657,Percent,8125,385
Connecticut,Fairfield,31.633226568795415,Percent,9001,410
Connecticut,Hartford,36.18988247462118,Percent,9003,432
Connecticut,Litchfield,20.45785639958377,Percent,9005,443
Connecticut,Middlesex,19.51414716821242,Percent,9007,450
Connecticut,New Haven,38.34302050099504,Percent,9009,466
Connecticut,New London,32.0191836629451,Percent,9011,517
Connecticut,Tolland,16.195008353161544,Percent,9013,524
Connecticut,Windham,37.787749868873476,Percent,9015,529
Delaware,Kent,37.44853095121781,Percent,10001,532
Delaware,New Castle,36.27865168539326,Percent,10003,536
Delaware,Sussex,41.31413141314131,Percent,10005,609
District of Columbia,District of Columbia,64.33164210551809,Percent,11001,630
Florida,Alachua,38.7192118226601,Percent,12001,639
