State,County,SNAP Broad-based Categorical Eligibility 2016 (SNAP_BBCE16),Units,FIPS,FID
Florida,Holmes,1,Classification,12059,948
Florida,Indian River,1,Classification,12061,949
Florida,Jackson,1,Classification,12063,950
Florida,Jefferson,1,Classification,12065,951
Florida,Lafayette,1,Classification,12067,952
Florida,Lake,1,Classification,12069,953
Florida,Lee,1,Classification,12071,954
Florida,Leon,1,Classification,12073,955
Florida,Levy,1,Classification,12075,956
Florida,Liberty,1,Classification,12077,957
Florida,Madison,1,Classification,12079,958
Florida,Manatee,1,Classification,12081,959
Florida,Marion,1,Classification,12083,960
Florida,Martin,1,Classification,12085,961
Florida,Miami-Dade,1,Classification,12086,962
Florida,Monroe,1,Classification,12087,963
Florida,Nassau,1,Classification,12089,964
Florida,Okaloosa,1,Classification,12091,965
Florida,Okeechobee,1,Classification,12093,966
Florida,Orange,1,Classification,12095,967
Florida,Osceola,1,Classification,12097,968
Florida,Palm Beach,1,Classification,12099,969
Florida,Pasco,1,Classification,12101,970
Florida,Pinellas,1,Classification,12103,971
Florida,Polk,1,Classification,12105,972
Florida,Putnam,1,Classification,12107,973
Florida,St. Johns,1,Classification,12109,974
Florida,St. Lucie,1,Classification,12111,975
Florida,Santa Rosa,1,Classification,12113,976
Florida,Sarasota,1,Classification,12115,977
Florida,Seminole,1,Classification,12117,978
Florida,Sumter,1,Classification,12119,979
Florida,Suwannee,1,Classification,12121,980
Florida,Taylor,1,Classification,12123,981
Florida,Union,1,Classification,12125,982
Florida,Volusia,1,Classification,12127,983
Florida,Wakulla,1,Classification,12129,984
Florida,Walton,1,Classification,12131,985
Florida,Washington,1,Classification,12133,986
Georgia,Appling,1,Classification,13001,987
Georgia,Atkinson,1,Classification,13003,988
Georgia,Bacon,1,Classification,13005,989
Georgia,Baker,1,Classification,13007,990
Georgia,Baldwin,1,Classification,13009,991
Georgia,Banks,1,Classification,13011,992
Georgia,Barrow,1,Classification,13013,993
Georgia,Bartow,1,Classification,13015,994
Georgia,Ben Hill,1,Classification,13017,995
Georgia,Berrien,1,Classification,13019,996
Georgia,Bibb,1,Classification,13021,997
Georgia,Bleckley,1,Classification,13023,998
Georgia,Brantley,1,Classification,13025,999
Georgia,Brooks,1,Classification,13027,565
Georgia,Bryan,1,Classification,13029,573
Georgia,Bulloch,1,Classification,13031,579
Georgia,Burke,1,Classification,13033,583
Georgia,Butts,1,Classification,13035,588
Georgia,Calhoun,1,Classification,13037,592
Georgia,Camden,1,Classification,13039,603
Georgia,Candler,1,Classification,13043,616
Georgia,Carroll,1,Classification,13045,620
Georgia,Catoosa,1,Classification,13047,626
Georgia,Charlton,1,Classification,13049,635
Georgia,Chatham,1,Classification,13051,646
Georgia,Chattahoochee,1,Classification,13053,656
Georgia,Chattooga,1,Classification,13055,659
Georgia,Cherokee,1,Classification,13057,662
Georgia,Clarke,1,Classification,13059,666
Georgia,Clay,1,Classification,13061,670
Georgia,Clayton,1,Classification,13063,673
Georgia,Clinch,1,Classification,13065,676
Georgia,Cobb,1,Classification,13067,680
Georgia,Coffee,1,Classification,13069,684
Georgia,Colquitt,1,Classification,13071,689
Georgia,Columbia,1,Classification,13073,692
Georgia,Cook,1,Classification,13075,697
Georgia,Coweta,1,Classification,13077,700
Georgia,Crawford,1,Classification,13079,704
Georgia,Crisp,1,Classification,13081,707
Georgia,Dade,1,Classification,13083,708
Georgia,Dawson,1,Classification,13085,713
Georgia,Decatur,1,Classification,13087,714
Georgia,DeKalb,1,Classification,13089,718
Georgia,Dodge,1,Classification,13091,720
Georgia,Dooly,1,Classification,13093,724
Georgia,Dougherty,1,Classification,13095,728
Georgia,Douglas,1,Classification,13097,731
Georgia,Early,1,Classification,13099,735
Georgia,Echols,1,Classification,13101,737
Georgia,Effingham,1,Classification,13103,742
Georgia,Elbert,1,Classification,13105,746
Georgia,Emanuel,1,Classification,13107,750
Georgia,Evans,1,Classification,13109,754
Georgia,Fannin,1,Classification,13111,755
Georgia,Fayette,1,Classification,13113,760
Georgia,Floyd,1,Classification,13115,764
Georgia,Forsyth,1,Classification,13117,768
Georgia,Franklin,1,Classification,13119,772
Georgia,Fulton,1,Classification,13121,779
Georgia,Gilmer,1,Classification,13123,781
Georgia,Glascock,1,Classification,13125,783
Georgia,Glynn,1,Classification,13127,793
Georgia,Gordon,1,Classification,13129,796
Georgia,Grady,1,Classification,13131,797
Georgia,Greene,1,Classification,13133,800
Georgia,Gwinnett,1,Classification,13135,804
Georgia,Habersham,1,Classification,13137,806
Georgia,Hall,1,Classification,13139,808
Georgia,Hancock,1,Classification,13141,810
Georgia,Haralson,1,Classification,13143,813
Georgia,Harris,1,Classification,13145,814
Georgia,Hart,1,Classification,13147,816
Georgia,Heard,1,Classification,13149,817
Georgia,Henry,1,Classification,13151,820
Georgia,Houston,1,Classification,13153,823
Georgia,Irwin,1,Classification,13155,825
Georgia,Jackson,1,Classification,13157,828
Georgia,Jasper,1,Classification,13159,830
Georgia,Jeff Davis,1,Classification,13161,832
Georgia,Jefferson,1,Classification,13163,834
Georgia,Jenkins,1,Classification,13165,835
Georgia,Johnson,1,Classification,13167,837
Georgia,Jones,1,Classification,13169,839
Georgia,Lamar,1,Classification,13171,841
Georgia,Lanier,1,Classification,13173,845
Georgia,Laurens,1,Classification,13175,847
Georgia,Lee,1,Classification,13177,849
Georgia,Liberty,1,Classification,13179,855
Georgia,Lincoln,1,Classification,13181,857
Georgia,Long,1,Classification,13183,860
Georgia,Lowndes,1,Classification,13185,863
Georgia,Lumpkin,1,Classification,13187,865
Georgia,McDuffie,1,Classification,13189,868
Georgia,McIntosh,1,Classification,13191,871
Georgia,Macon,1,Classification,13193,874
Georgia,Madison,1,Classification,13195,875
Georgia,Marion,1,Classification,13197,877
Georgia,Meriwether,1,Classification,13199,879
Georgia,Miller,1,Classification,13201,881
Georgia,Mitchell,1,Classification,13205,883
Georgia,Monroe,1,Classification,13207,885
Georgia,Montgomery,1,Classification,13209,887
Georgia,Morgan,1,Classification,13211,890
Georgia,Murray,1,Classification,13213,892
Georgia,Muscogee,1,Classification,13215,896
Georgia,Newton,1,Classification,13217,899
Georgia,Oconee,1,Classification,13219,901
Georgia,Oglethorpe,1,Classification,13221,905
Georgia,Paulding,1,Classification,13223,908
Georgia,Peach,1,Classification,13225,910
Georgia,Pickens,1,Classification,13227,912
Georgia,Pierce,1,Classification,13229,915
Georgia,Pike,1,Classification,13231,7
Georgia,Polk,1,Classification,13233,8
Georgia,Pulaski,1,Classification,13235,11
Georgia,Putnam,1,Classification,13237,13
Georgia,Quitman,1,Classification,13239,16
Georgia,Rabun,1,Classification,13241,18
Georgia,Randolph,1,Classification,13243,23
Georgia,Richmond,1,Classification,13245,24
Georgia,Rockdale,1,Classification,13247,28
Georgia,Schley,1,Classification,13249,31
Georgia,Screven,1,Classification,13251,34
Georgia,Seminole,1,Classification,13253,38
Georgia,Spalding,1,Classification,13255,41
Georgia,Stephens,1,Classification,13257,45
Georgia,Stewart,1,Classification,13259,48
Georgia,Sumter,1,Classification,13261,52
Georgia,Talbot,1,Classification,13263,57
Georgia,Taliaferro,1,Classification,13265,60
Georgia,Tattnall,1,Classification,13267,63
Georgia,Taylor,1,Classification,13269,69
Georgia,Telfair,1,Classification,13271,75
Georgia,Terrell,1,Classification,13273,78
Georgia,Thomas,1,Classification,13275,83
Georgia,Tift,1,Classification,13277,87
Georgia,Toombs,1,Classification,13279,91
Georgia,Towns,1,Classification,13281,95
Georgia,Treutlen,1,Classification,13283,102
Georgia,Troup,1,Classification,13285,105
Georgia,Turner,1,Classification,13287,108
Georgia,Twiggs,1,Classification,13289,116
Georgia,Union,1,Classification,13291,120
Georgia,Upson,1,Classification,13293,123
Georgia,Walker,1,Classification,13295,126
Georgia,Walton,1,Classification,13297,127
Georgia,Ware,1,Classification,13299,132
Georgia,Warren,1,Classification,13301,135
Georgia,Washington,1,Classification,13303,143
Georgia,Wayne,1,Classification,13305,147
Georgia,Webster,1,Classification,13307,149
Georgia,Wheeler,1,Classification,13309,154
Georgia,White,1,Classification,13311,157
Georgia,Whitfield,1,Classification,13313,159
Georgia,Wilcox,1,Classification,13315,163
Georgia,Wilkes,1,Classification,13317,167
Georgia,Wilkinson,1,Classification,13319,169
Georgia,Worth,1,Classification,13321,173
Hawaii,Hawaii,1,Classification,15001,198
Hawaii,Honolulu,1,Classification,15003,234
Hawaii,Kalawao,1,Classification,15005,247
Hawaii,Kauai,1,Classification,15007,261
Hawaii,Maui,1,Classification,15009,323
Idaho,Ada,1,Classification,16001,336
Idaho,Adams,1,Classification,16003,338
Idaho,Bannock,1,Classification,16005,343
Idaho,Bear Lake,1,Classification,16007,349
Idaho,Benewah,1,Classification,16009,354
Idaho,Bingham,1,Classification,16011,362
Idaho,Blaine,1,Classification,16013,371
Idaho,Boise,1,Classification,16015,380
Idaho,Bonner,1,Classification,16017,387
Idaho,Bonneville,1,Classification,16019,395
Idaho,Boundary,1,Classification,16021,405
Idaho,Butte,1,Classification,16023,414
Idaho,Camas,1,Classification,16025,429
Idaho,Canyon,1,Classification,16027,441
Idaho,Caribou,1,Classification,16029,449
Idaho,Cassia,1,Classification,16031,456
Idaho,Clark,1,Classification,16033,464
Idaho,Clearwater,1,Classification,16035,474
Idaho,Custer,1,Classification,16037,484
Idaho,Elmore,1,Classification,16039,490
Idaho,Franklin,1,Classification,16041,498
Idaho,Fremont,1,Classification,16043,502
Idaho,Gem,1,Classification,16045,510
Idaho,Gooding,1,Classification,16047,519
Idaho,Idaho,1,Classification,16049,528
Idaho,Jefferson,1,Classification,16051,540
Idaho,Jerome,1,Classification,16053,547
Idaho,Kootenai,1,Classification,16055,552
Idaho,Latah,1,Classification,16057,559
Idaho,Lemhi,1,Classification,16059,566
Idaho,Lewis,1,Classification,16061,574
Idaho,Lincoln,1,Classification,16063,578
Idaho,Madison,1,Classification,16065,581
Idaho,Minidoka,1,Classification,16067,585
Idaho,Nez Perce,1,Classification,16069,589
Idaho,Oneida,1,Classification,16071,593
Idaho,Owyhee,1,Classification,16073,601
Idaho,Payette,1,Classification,16075,606
Idaho,Power,1,Classification,16077,613
Idaho,Shoshone,1,Classification,16079,621
