State,County,FDPIR Sites 2012-15 (PCH_FDPIR_12_15),Units,FIPS,FID
Georgia,Camden,0.0,Count,13039,603
Georgia,Candler,0.0,Count,13043,616
Georgia,Carroll,0.0,Count,13045,620
Georgia,Catoosa,0.0,Count,13047,626
Georgia,Charlton,0.0,Count,13049,635
Georgia,Chatham,0.0,Count,13051,646
Georgia,Chattahoochee,0.0,Count,13053,656
Georgia,Chattooga,0.0,Count,13055,659
Georgia,Cherokee,0.0,Count,13057,662
Georgia,Clarke,0.0,Count,13059,666
Georgia,Clay,0.0,Count,13061,670
Georgia,Clayton,0.0,Count,13063,673
Georgia,Clinch,0.0,Count,13065,676
Georgia,Cobb,0.0,Count,13067,680
Georgia,Coffee,0.0,Count,13069,684
Georgia,Colquitt,0.0,Count,13071,689
Georgia,Columbia,0.0,Count,13073,692
Georgia,Cook,0.0,Count,13075,697
Georgia,Coweta,0.0,Count,13077,700
Georgia,Crawford,0.0,Count,13079,704
Georgia,Crisp,0.0,Count,13081,707
Georgia,Dade,0.0,Count,13083,708
Georgia,Dawson,0.0,Count,13085,713
Georgia,Decatur,0.0,Count,13087,714
Georgia,DeKalb,0.0,Count,13089,718
Georgia,Dodge,0.0,Count,13091,720
Georgia,Dooly,0.0,Count,13093,724
Georgia,Dougherty,0.0,Count,13095,728
Georgia,Douglas,0.0,Count,13097,731
Georgia,Early,0.0,Count,13099,735
Georgia,Echols,0.0,Count,13101,737
Georgia,Effingham,0.0,Count,13103,742
Georgia,Elbert,0.0,Count,13105,746
Georgia,Emanuel,0.0,Count,13107,750
Georgia,Evans,0.0,Count,13109,754
Georgia,Fannin,0.0,Count,13111,755
Georgia,Fayette,0.0,Count,13113,760
Georgia,Floyd,0.0,Count,13115,764
Georgia,Forsyth,0.0,Count,13117,768
Georgia,Franklin,0.0,Count,13119,772
Georgia,Fulton,0.0,Count,13121,779
Georgia,Gilmer,0.0,Count,13123,781
Georgia,Glascock,0.0,Count,13125,783
Georgia,Glynn,0.0,Count,13127,793
Georgia,Gordon,0.0,Count,13129,796
Georgia,Grady,0.0,Count,13131,797
Georgia,Greene,0.0,Count,13133,800
Georgia,Gwinnett,0.0,Count,13135,804
Georgia,Habersham,0.0,Count,13137,806
Georgia,Hall,0.0,Count,13139,808
Georgia,Hancock,0.0,Count,13141,810
Georgia,Haralson,0.0,Count,13143,813
Georgia,Harris,0.0,Count,13145,814
Georgia,Hart,0.0,Count,13147,816
Georgia,Heard,0.0,Count,13149,817
Georgia,Henry,0.0,Count,13151,820
Georgia,Houston,0.0,Count,13153,823
Georgia,Irwin,0.0,Count,13155,825
Georgia,Jackson,0.0,Count,13157,828
Georgia,Jasper,0.0,Count,13159,830
Georgia,Jeff Davis,0.0,Count,13161,832
Georgia,Jefferson,0.0,Count,13163,834
Georgia,Jenkins,0.0,Count,13165,835
Georgia,Johnson,0.0,Count,13167,837
Georgia,Jones,0.0,Count,13169,839
Georgia,Lamar,0.0,Count,13171,841
Georgia,Lanier,0.0,Count,13173,845
Georgia,Laurens,0.0,Count,13175,847
Georgia,Lee,0.0,Count,13177,849
Georgia,Liberty,0.0,Count,13179,855
Georgia,Lincoln,0.0,Count,13181,857
Georgia,Long,0.0,Count,13183,860
Georgia,Lowndes,0.0,Count,13185,863
Georgia,Lumpkin,0.0,Count,13187,865
Georgia,McDuffie,0.0,Count,13189,868
Georgia,McIntosh,0.0,Count,13191,871
Georgia,Macon,0.0,Count,13193,874
Georgia,Madison,0.0,Count,13195,875
Georgia,Marion,0.0,Count,13197,877
Georgia,Meriwether,0.0,Count,13199,879
Georgia,Miller,0.0,Count,13201,881
Georgia,Mitchell,0.0,Count,13205,883
Georgia,Monroe,0.0,Count,13207,885
Georgia,Montgomery,0.0,Count,13209,887
Georgia,Morgan,0.0,Count,13211,890
Georgia,Murray,0.0,Count,13213,892
Georgia,Muscogee,0.0,Count,13215,896
Georgia,Newton,0.0,Count,13217,899
Georgia,Oconee,0.0,Count,13219,901
Georgia,Oglethorpe,0.0,Count,13221,905
Georgia,Paulding,0.0,Count,13223,908
Georgia,Peach,0.0,Count,13225,910
Georgia,Pickens,0.0,Count,13227,912
Georgia,Pierce,0.0,Count,13229,915
Georgia,Pike,0.0,Count,13231,7
Georgia,Polk,0.0,Count,13233,8
Georgia,Pulaski,0.0,Count,13235,11
Georgia,Putnam,0.0,Count,13237,13
Georgia,Quitman,0.0,Count,13239,16
Georgia,Rabun,0.0,Count,13241,18
Georgia,Randolph,0.0,Count,13243,23
Georgia,Richmond,0.0,Count,13245,24
Georgia,Rockdale,0.0,Count,13247,28
Georgia,Schley,0.0,Count,13249,31
Georgia,Screven,0.0,Count,13251,34
Georgia,Seminole,0.0,Count,13253,38
Georgia,Spalding,0.0,Count,13255,41
Georgia,Stephens,0.0,Count,13257,45
Georgia,Stewart,0.0,Count,13259,48
Georgia,Sumter,0.0,Count,13261,52
Georgia,Talbot,0.0,Count,13263,57
Georgia,Taliaferro,0.0,Count,13265,60
Georgia,Tattnall,0.0,Count,13267,63
Georgia,Taylor,0.0,Count,13269,69
Georgia,Telfair,0.0,Count,13271,75
Georgia,Terrell,0.0,Count,13273,78
Georgia,Thomas,0.0,Count,13275,83
Georgia,Tift,0.0,Count,13277,87
Georgia,Toombs,0.0,Count,13279,91
Georgia,Towns,0.0,Count,13281,95
Georgia,Treutlen,0.0,Count,13283,102
Georgia,Troup,0.0,Count,13285,105
Georgia,Turner,0.0,Count,13287,108
Georgia,Twiggs,0.0,Count,13289,116
Georgia,Union,0.0,Count,13291,120
Georgia,Upson,0.0,Count,13293,123
Georgia,Walker,0.0,Count,13295,126
Georgia,Walton,0.0,Count,13297,127
Georgia,Ware,0.0,Count,13299,132
Georgia,Warren,0.0,Count,13301,135
Georgia,Washington,0.0,Count,13303,143
Georgia,Wayne,0.0,Count,13305,147
Georgia,Webster,0.0,Count,13307,149
Georgia,Wheeler,0.0,Count,13309,154
Georgia,White,0.0,Count,13311,157
Georgia,Whitfield,0.0,Count,13313,159
Georgia,Wilcox,0.0,Count,13315,163
Georgia,Wilkes,0.0,Count,13317,167
Georgia,Wilkinson,0.0,Count,13319,169
Georgia,Worth,0.0,Count,13321,173
Hawaii,Hawaii,0.0,Count,15001,198
Hawaii,Honolulu,0.0,Count,15003,234
Hawaii,Kalawao,0.0,Count,15005,247
Hawaii,Kauai,0.0,Count,15007,261
Hawaii,Maui,0.0,Count,15009,323
Idaho,Ada,0.0,Count,16001,336
Idaho,Adams,0.0,Count,16003,338
Idaho,Bannock,0.0,Count,16005,343
Idaho,Bear Lake,0.0,Count,16007,349
Idaho,Benewah,0.0,Count,16009,354
Idaho,Bingham,0.0,Count,16011,362
Idaho,Blaine,0.0,Count,16013,371
Idaho,Boise,0.0,Count,16015,380
Idaho,Bonner,0.0,Count,16017,387
Idaho,Bonneville,0.0,Count,16019,395
Idaho,Boundary,0.0,Count,16021,405
Idaho,Butte,0.0,Count,16023,414
Idaho,Camas,0.0,Count,16025,429
Idaho,Canyon,0.0,Count,16027,441
Idaho,Caribou,0.0,Count,16029,449
Idaho,Cassia,0.0,Count,16031,456
Idaho,Clark,0.0,Count,16033,464
Idaho,Clearwater,0.0,Count,16035,474
Idaho,Custer,0.0,Count,16037,484
Idaho,Elmore,0.0,Count,16039,490
Idaho,Franklin,0.0,Count,16041,498
Idaho,Fremont,0.0,Count,16043,502
Idaho,Gem,0.0,Count,16045,510
Idaho,Gooding,0.0,Count,16047,519
Idaho,Idaho,0.0,Count,16049,528
Idaho,Jefferson,0.0,Count,16051,540
Idaho,Jerome,0.0,Count,16053,547
Idaho,Kootenai,0.0,Count,16055,552
Idaho,Latah,0.0,Count,16057,559
Idaho,Lemhi,0.0,Count,16059,566
Idaho,Lewis,0.0,Count,16061,574
Idaho,Lincoln,0.0,Count,16063,578
Idaho,Madison,0.0,Count,16065,581
Idaho,Minidoka,0.0,Count,16067,585
Idaho,Nez Perce,0.0,Count,16069,589
Idaho,Oneida,0.0,Count,16071,593
Idaho,Owyhee,0.0,Count,16073,601
Idaho,Payette,0.0,Count,16075,606
Idaho,Power,0.0,Count,16077,613
Idaho,Shoshone,0.0,Count,16079,621
Idaho,Teton,0.0,Count,16081,627
Idaho,Twin Falls,0.0,Count,16083,634
Idaho,Valley,0.0,Count,16085,643
Idaho,Washington,0.0,Count,16087,649
Illinois,Adams,0.0,Count,17001,650
Illinois,Alexander,0.0,Count,17003,651
Illinois,Bond,0.0,Count,17005,652
Illinois,Boone,0.0,Count,17007,653
Illinois,Brown,0.0,Count,17009,654
Illinois,Bureau,0.0,Count,17011,2
Illinois,Calhoun,0.0,Count,17013,4
Illinois,Carroll,0.0,Count,17015,6
Illinois,Cass,0.0,Count,17017,10
Illinois,Champaign,0.0,Count,17019,12
Illinois,Christian,0.0,Count,17021,14
Illinois,Clark,0.0,Count,17023,19
Illinois,Clay,0.0,Count,17025,22
Illinois,Clinton,0.0,Count,17027,27
Illinois,Coles,0.0,Count,17029,30
Illinois,Cook,0.0,Count,17031,36
Illinois,Crawford,0.0,Count,17033,40
Illinois,Cumberland,0.0,Count,17035,44
Illinois,DeKalb,0.0,Count,17037,49
Illinois,De Witt,0.0,Count,17039,53
Illinois,Douglas,0.0,Count,17041,55
Illinois,DuPage,0.0,Count,17043,64
Illinois,Edgar,0.0,Count,17045,66
Illinois,Edwards,0.0,Count,17047,71
Illinois,Effingham,0.0,Count,17049,76
Illinois,Fayette,0.0,Count,17051,79
Illinois,Ford,0.0,Count,17053,81
Illinois,Franklin,0.0,Count,17055,85
Illinois,Fulton,0.0,Count,17057,89
Illinois,Gallatin,0.0,Count,17059,92
Illinois,Greene,0.0,Count,17061,96
Illinois,Grundy,0.0,Count,17063,99
Illinois,Hamilton,0.0,Count,17065,106
