State,County,WIC participants (change % pop) 2012-17 (PCH_WIC_12_17),Units,FIPS,FID
Georgia,Berrien,-0.7914029327721739,Percentage points,13019,996
Georgia,Bibb,-0.7914029327721739,Percentage points,13021,997
Georgia,Bleckley,-0.7914029327721739,Percentage points,13023,998
Georgia,Brantley,-0.7914029327721739,Percentage points,13025,999
Georgia,Brooks,-0.7914029327721739,Percentage points,13027,565
Georgia,Bryan,-0.7914029327721739,Percentage points,13029,573
Georgia,Bulloch,-0.7914029327721739,Percentage points,13031,579
Georgia,Burke,-0.7914029327721739,Percentage points,13033,583
Georgia,Butts,-0.7914029327721739,Percentage points,13035,588
Georgia,Calhoun,-0.7914029327721739,Percentage points,13037,592
Georgia,Camden,-0.7914029327721739,Percentage points,13039,603
Georgia,Candler,-0.7914029327721739,Percentage points,13043,616
Georgia,Carroll,-0.7914029327721739,Percentage points,13045,620
Georgia,Catoosa,-0.7914029327721739,Percentage points,13047,626
Georgia,Charlton,-0.7914029327721739,Percentage points,13049,635
Georgia,Chatham,-0.7914029327721739,Percentage points,13051,646
Georgia,Chattahoochee,-0.7914029327721739,Percentage points,13053,656
Georgia,Chattooga,-0.7914029327721739,Percentage points,13055,659
Georgia,Cherokee,-0.7914029327721739,Percentage points,13057,662
Georgia,Clarke,-0.7914029327721739,Percentage points,13059,666
Georgia,Clay,-0.7914029327721739,Percentage points,13061,670
Georgia,Clayton,-0.7914029327721739,Percentage points,13063,673
Georgia,Clinch,-0.7914029327721739,Percentage points,13065,676
Georgia,Cobb,-0.7914029327721739,Percentage points,13067,680
Georgia,Coffee,-0.7914029327721739,Percentage points,13069,684
Georgia,Colquitt,-0.7914029327721739,Percentage points,13071,689
Georgia,Columbia,-0.7914029327721739,Percentage points,13073,692
Georgia,Cook,-0.7914029327721739,Percentage points,13075,697
Georgia,Coweta,-0.7914029327721739,Percentage points,13077,700
Georgia,Crawford,-0.7914029327721739,Percentage points,13079,704
Georgia,Crisp,-0.7914029327721739,Percentage points,13081,707
Georgia,Dade,-0.7914029327721739,Percentage points,13083,708
Georgia,Dawson,-0.7914029327721739,Percentage points,13085,713
Georgia,Decatur,-0.7914029327721739,Percentage points,13087,714
Georgia,DeKalb,-0.7914029327721739,Percentage points,13089,718
Georgia,Dodge,-0.7914029327721739,Percentage points,13091,720
Georgia,Dooly,-0.7914029327721739,Percentage points,13093,724
Georgia,Dougherty,-0.7914029327721739,Percentage points,13095,728
Georgia,Douglas,-0.7914029327721739,Percentage points,13097,731
Georgia,Early,-0.7914029327721739,Percentage points,13099,735
Georgia,Echols,-0.7914029327721739,Percentage points,13101,737
Georgia,Effingham,-0.7914029327721739,Percentage points,13103,742
Georgia,Elbert,-0.7914029327721739,Percentage points,13105,746
Georgia,Emanuel,-0.7914029327721739,Percentage points,13107,750
Georgia,Evans,-0.7914029327721739,Percentage points,13109,754
Georgia,Fannin,-0.7914029327721739,Percentage points,13111,755
Georgia,Fayette,-0.7914029327721739,Percentage points,13113,760
Georgia,Floyd,-0.7914029327721739,Percentage points,13115,764
Georgia,Forsyth,-0.7914029327721739,Percentage points,13117,768
Georgia,Franklin,-0.7914029327721739,Percentage points,13119,772
