State,County,School Breakfast Program participants (change % children) 2012-17 (PCH_SBP_12_17),Units,FIPS,FID
California,Shasta,5.2112098952010975,Percentage points,6089,431
California,Sierra,5.2112098952010975,Percentage points,6091,439
California,Siskiyou,5.2112098952010975,Percentage points,6093,446
California,Solano,5.2112098952010975,Percentage points,6095,453
California,Sonoma,5.2112098952010975,Percentage points,6097,463
California,Stanislaus,5.2112098952010975,Percentage points,6099,473
California,Sutter,5.2112098952010975,Percentage points,6101,483
California,Tehama,5.2112098952010975,Percentage points,6103,492
California,Trinity,5.2112098952010975,Percentage points,6105,500
California,Tulare,5.2112098952010975,Percentage points,6107,501
California,Tuolumne,5.2112098952010975,Percentage points,6109,513
California,Ventura,5.2112098952010975,Percentage points,6111,521
California,Yolo,5.2112098952010975,Percentage points,6113,525
California,Yuba,5.2112098952010975,Percentage points,6115,541
Colorado,Adams,3.7190190257610034,Percentage points,8001,545
Colorado,Alamosa,3.7190190257610034,Percentage points,8003,549
Colorado,Arapahoe,3.7190190257610034,Percentage points,8005,558
Colorado,Archuleta,3.7190190257610034,Percentage points,8007,560
Colorado,Baca,3.7190190257610034,Percentage points,8009,563
Colorado,Bent,3.7190190257610034,Percentage points,8011,564
Colorado,Boulder,3.7190190257610034,Percentage points,8013,570
Colorado,Broomfield,3.7190190257610034,Percentage points,8014,577
Colorado,Chaffee,3.7190190257610034,Percentage points,8015,582
Colorado,Cheyenne,3.7190190257610034,Percentage points,8017,587
Colorado,Clear Creek,3.7190190257610034,Percentage points,8019,591
Colorado,Conejos,3.7190190257610034,Percentage points,8021,596
Colorado,Costilla,3.7190190257610034,Percentage points,8023,599
Colorado,Crowley,3.7190190257610034,Percentage points,8025,605
Colorado,Custer,3.7190190257610034,Percentage points,8027,610
Colorado,Delta,3.7190190257610034,Percentage points,8029,617
Colorado,Denver,3.7190190257610034,Percentage points,8031,628
Colorado,Dolores,3.7190190257610034,Percentage points,8033,636
Colorado,Douglas,3.7190190257610034,Percentage points,8035,644
Colorado,Eagle,3.7190190257610034,Percentage points,8037,648
Colorado,Elbert,3.7190190257610034,Percentage points,8039,655
Colorado,El Paso,3.7190190257610034,Percentage points,8041,661
Colorado,Fremont,3.7190190257610034,Percentage points,8043,664
Colorado,Garfield,3.7190190257610034,Percentage points,8045,667
Colorado,Gilpin,3.7190190257610034,Percentage points,8047,672
Colorado,Grand,3.7190190257610034,Percentage points,8049,677
Colorado,Gunnison,3.7190190257610034,Percentage points,8051,682
Colorado,Hinsdale,3.7190190257610034,Percentage points,8053,688
Colorado,Huerfano,3.7190190257610034,Percentage points,8055,693
Colorado,Jackson,3.7190190257610034,Percentage points,8057,701
