PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
VT0002776,ROCKY RIDGE GOLF CLUB,"05495, Saint George, Vermont",05495,Vermont,Region 1,Transient non-community system,60,ST. GEORGE,Chittenden,2,4,1,-73.062932,44.463511,-73.062932,44.463511,-73.161932,-72.963932,44.364511,44.562511
VT0006685,DOVER ELEMENTARY SCHOOL,"05341, East Dover, Vermont",05341,Vermont,Region 1,Non-Transient non-community system,150,DOVER,Windham,5,13,12,-72.772581,42.948473,-72.772581,42.948473,-72.879581,-72.665581,42.841473,43.055473
VT0005539,MOUNTAIN GREEN CONDOMINIUM,"05901, Averill, Vermont",05901,Vermont,Region 1,Community water system,1300,KILLINGTON,Rutland,16,93,10,-71.686412,44.994151,-71.686412,44.994151,-71.801412,-71.571412,44.879151,45.109151
VT0005005,STARKSBORO VILLAGE WATER COOP,"05487, Starksboro, Vermont",05487,Vermont,Region 1,Community water system,150,STARKSBORO,Addison,5,7,14,-73.055906,44.220801,-73.055906,44.220801,-73.189906,-72.921906,44.086801,44.354801
VT0020600,INJUN JOE COURT,"05641, Orange, Vermont",05641,Vermont,Region 1,Transient non-community system,115,DANVILLE,Caledonia,2,14,1,-72.502662,44.198177,-72.502662,44.198177,-72.683662,-72.321662,44.017177,44.379177
VT0000226,CASEYS CABOOSE,"05751, Killington, Vermont",05751,Vermont,Region 1,Transient non-community system,144,KILLINGTON,Rutland,3,14,2,-72.783087,43.643342,-72.783087,43.643342,-72.881087,-72.685087,43.545342,43.741342
VT0003173,DEERHILL INN,"05356, Mount Snow, Vermont",05356,Vermont,Region 1,Transient non-community system,65,DOVER,Windham,4,9,3,-72.882722,42.954161,-72.882722,42.954161,-73.008722,-72.756722,42.828161,43.080161
VT0008270,RIVERS BEND CAMPGROUND,"05769, Salisbury, Vermont",05769,Vermont,Region 1,Transient non-community system,220,NEW HAVEN,Addison,4,11,3,-73.080846,43.920765,-73.080846,43.920765,-73.207846,-72.953846,43.793765,44.047765
VT0006212,CHILD CARE CENTER IN NORWICH,"05055, Norwich, Vermont",05055,Vermont,Region 1,Non-Transient non-community system,65,NORWICH,Windsor,4,7,7,-72.313196,43.717651,-72.313196,43.717651,-72.424196,-72.202196,43.606651,43.828651
VT0021350,CLOUDLAND FARM LLC,"05091, Woodstock, Vermont",05091,Vermont,Region 1,Transient non-community system,25,POMFRET,Windsor,4,1,1,-72.517052,43.62546,-72.517052,43.62546,-72.675052,-72.359052,43.46746,43.78346
VT0021201,NEWFANE REDEVELOPMENT CORP,"05345, Newfane, Vermont",05345,Vermont,Region 1,Transient non-community system,32,NEWFANE,Windham,4,2,1,-72.632312,42.992955,-72.632312,42.992955,-72.754312,-72.510312,42.870955,43.114955
VT0020827,FERRISBURG ARTISANS GUILD,"05456, Ferrisburgh, Vermont",05456,Vermont,Region 1,Transient non-community system,159,FERRISBURG,Addison,8,21,3,-73.246461,44.205694,-73.246461,44.205694,-73.349461,-73.143461,44.102694,44.308694
VT0021318,LIQUID ART,"05751, Killington, Vermont",05751,Vermont,Region 1,Transient non-community system,25,KILLINGTON,Rutland,2,0,1,-72.783087,43.643342,-72.783087,43.643342,-72.881087,-72.685087,43.545342,43.741342
VT0002218,INN AT WEATHERSFIELD,"05151, Perkinsville, Vermont",05151,Vermont,Region 1,Transient non-community system,71,WEATHERSFIELD,Windsor,3,3,3,-72.527026,43.348439,-72.527026,43.348439,-72.651026,-72.403026,43.224439,43.472439
VT0006690,E TAYLOR HATTON SCHOOL,"05853, Morgan Ctr, Vermont",05853,Vermont,Region 1,Transient non-community system,25,MORGAN,Orleans,4,5,6,-71.973257,44.912336,-71.973257,44.912336,-72.072257,-71.874257,44.813336,45.011336
VT0000211,ARLINGTON PLAZA WATER SYSTEM,"37072, Goodlettsvlle, Tennessee",37072,Vermont,Region 1,Transient non-community system,48,ARLINGTON,Bennington,3,28,3,-86.708412,36.319411,-86.708412,36.319411,-86.862412,-86.554412,36.165411,36.473411
