PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NM3580607,SIERRA VISTA GROWERS,"88027, Chamberino, New Mexico",88027,New Mexico,Region 6,Transient non-community system,25,CHAMBERINO,Dona Ana,3,8,4,-106.70899,32.03187,-106.70899,32.03187,-106.73699,-106.68099,32.00387,32.05987
NM3581923,COTTONWOOD MONTESSORI,"87048, Corrales, New Mexico",87048,New Mexico,Region 6,Non-Transient non-community system,85,CORRALES,Sandoval,5,39,6,-106.613917,35.226264,-106.613917,35.226264,-106.674917,-106.552917,35.165264,35.287264
NM3540407,SONTERA ACRES MOBILE MANOR,"88007, Las Cruces, New Mexico",88007,New Mexico,Region 6,Community water system,171,MESILLA PARK,Dona Ana,7,9,13,-106.796132,32.33523,-106.796132,32.33523,-107.078132,-106.514132,32.05323,32.61723
NM3590827,ELEPHANT BUTTE STATE PARK,"87935, Elephant Btte, New Mexico",87935,New Mexico,Region 6,Transient non-community system,50,ELEPHANT BUTTE,Sierra,5,12,9,-107.228572,33.18794,-107.228572,33.18794,-107.259572,-107.197572,33.15694,33.21894
NM3596517,KAMP KIWANIS,"87410, Aztec, New Mexico",87410,New Mexico,Region 6,Transient non-community system,150,GALLUP,McKinley,6,23,5,-107.995832,36.82023,-107.995832,36.82023,-108.236832,-107.754832,36.57923,37.06123
NM3568007,WHITE SANDS MISSILE RANGE (MAIN POST)-FF,"88001, Las Cruces, New Mexico",88001,New Mexico,Region 6,Community water system,4300,WHITE SANDS MISSILE RANG,Dona Ana,28,7,14,-106.772147,32.311072,-106.772147,32.311072,-106.909147,-106.635147,32.174072,32.448072
NM3575026,SHALOM MOBILE HOME PARK,"87144, Rio Rancho, New Mexico",87144,New Mexico,Region 6,Community water system,50,SANTA FE,Santa Fe,4,5,7,-106.589754,35.297683,-106.589754,35.297683,-106.943754,-106.235754,34.943683,35.651683
NM3513607,VALLE DEL RIO WATER SYSTEM,"88021, Anthony, New Mexico",88021,New Mexico,Region 6,Community water system,243,LA MESA,Dona Ana,9,5,9,-106.592102,32.00573,-106.592102,32.00573,-106.740102,-106.444102,31.85773,32.15373
NM3523930,ENCINO WATER SYSTEM,"88321, Encino, New Mexico",88321,New Mexico,Region 6,Community water system,100,ENCINO,Torrance,5,20,11,-105.47689,34.656731,-105.47689,34.656731,-105.86189,-105.09189,34.271731,35.041731
NM3592507,ANTHONY COUNTRY CLUB,"88021, Anthony, New Mexico",88021,New Mexico,Region 6,Transient non-community system,60,ANTHONY,Dona Ana,3,20,10,-106.592102,32.00573,-106.592102,32.00573,-106.740102,-106.444102,31.85773,32.15373
