PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Longitude,Latitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
IA2223430,OSBORNE OUTDOOR EDUCATION CENTER,"52043, Elkader, Iowa",52043,Iowa,Region 7,Transient non-community system,84,ELKADER,Clayton,7,9,5,-91.404241,42.8572,-91.404241,42.8572,-91.576241,-91.232241,42.6852,43.0292
IA2330036,DE WITT WATER SUPPLY,"52742, De Witt, Iowa",52742,Iowa,Region 7,Community water system,5322,DE WITT,Clinton,18,4,7,-90.539117,41.822442,-90.539117,41.822442,-90.733117,-90.345117,41.628442,42.016442
IA9433161,KOCH NITROGEN CO - FT DODGE,"50501, Fort Dodge, Iowa",50501,Iowa,Region 7,Non-Transient non-community system,70,FORT DODGE,Webster,7,0,7,-94.181632,42.50691,-94.181632,42.50691,-94.392632,-93.970632,42.29591,42.71791
IA4647090,LIVERMORE WATER SUPPLY,"50558, Livermore, Iowa",50558,Iowa,Region 7,Community water system,384,LIVERMORE,Humboldt,9,0,8,-94.183517,42.868268,-94.183517,42.868268,-94.286517,-94.080517,42.765268,42.971268
IA3379009,WESTGATE WATER SUPPLY,"50681, Westgate, Iowa",50681,Iowa,Region 7,Community water system,211,WESTGATE,Fayette,8,12,7,-91.996876,42.768868,-91.996876,42.768868,-92.081876,-91.911876,42.683868,42.853868
IA2154039,PETERSON MUNICIPAL WATER SUPPLY,"50588, Lakeside, Iowa",50588,Iowa,Region 7,Community water system,334,PETERSON,Clay,10,2,6,-95.203473,42.645346,-95.203473,42.645346,-95.373473,-95.033473,42.475346,42.815346
IA9630101,WINDRIDGE IMPLEMENTS L.L.C.,"52101, Decorah, Iowa",52101,Iowa,Region 7,Transient non-community system,45,DECORAH,Winneshiek,6,8,13,-91.787316,43.302193,-91.787316,43.302193,-92.009316,-91.565316,43.080193,43.524193
IA6040076,INWOOD WATER SUPPLY,"51240, Inwood, Iowa",51240,Iowa,Region 7,Community water system,814,INWOOD,Lyon,14,6,6,-96.428791,43.306351,-96.428791,43.306351,-96.588791,-96.268791,43.146351,43.466351
IA6342036,KNOXVILLE WATER WORKS,"50138, Pershing, Iowa",50138,Iowa,Region 7,Community water system,8118,KNOXVILLE,Marion,15,2,6,-93.099141,41.31867,-93.099141,41.31867,-93.309141,-92.889141,41.10867,41.52867
IA4910000,BELLEVUE MUNICIPAL UTILITIES,"52031, Bellevue, Iowa",52031,Iowa,Region 7,Community water system,2191,BELLEVUE,Jackson,14,6,5,-90.428451,42.258591,-90.428451,42.258591,-90.613451,-90.243451,42.073591,42.443591
IA4515901,LIDTKE PARK,"52136, Cresco, Iowa",52136,Iowa,Region 7,Transient non-community system,50,LIME SPRINGS,Howard,4,4,13,-92.117306,43.372442,-92.117306,43.372442,-92.322306,-91.912306,43.167442,43.577442
IA9725094,CUSHING WATER SUPPLY,"50588, Lakeside, Iowa",50588,Iowa,Region 7,Community water system,220,CUSHING,Woodbury,8,15,6,-95.203473,42.645346,-95.203473,42.645346,-95.373473,-95.033473,42.475346,42.815346
IA4003012,BLAIRSBURG WATER SUPPLY,"50075, Ellsworth, Iowa",50075,Iowa,Region 7,Community water system,215,BLAIRSBURG,Hamilton,9,6,5,-93.581606,42.311982,-93.581606,42.311982,-93.672606,-93.490606,42.220982,42.402982
