PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
AK2220304,ESSENTIAL ONE,"6401 Lake Otis Pkwy, Anchorage, Alaska, 99507",99507,Alaska,Region 10,Transient non-community system,35,WASILLA,Matanuska-Susitna Borough,2,0,1,-149.8343,61.162309,-149.833141,61.16238,-149.8353,-149.8333,61.161309,61.163309
AK2240846,GWIN'S LODGE & BAR,"99572, Cooper Lndg, Alaska",99572,Alaska,Region 10,Transient non-community system,170,COOPER LANDING,Kenai Peninsula Borough,5,15,6,-149.810592,60.494515,-149.810592,60.494515,-150.629592,-148.991592,59.675515,61.313515
AK2121026,KNUDSON COVE MARINA,"407 Knudson Cove Rd, Ketchikan, Alaska, 99901",99901,Alaska,Region 10,Transient non-community system,218,KETCHIKAN,Ketchikan Gateway Borough,6,25,6,-131.794201,55.471371,-131.798311,55.47235,-131.795201,-131.793201,55.470371,55.472371
AK2110601,SKAGWAY,"99840, Skagway, Alaska",99840,Alaska,Region 10,Community water system,9216,SKAGWAY,Skagway Municipality,10,250,11,-135.313951,59.456235,-135.313951,59.456235,-135.722951,-134.904951,59.047235,59.865235
AK2292186,CRBRHA MCKINLEY BLDG WATER SUPPLY,"99588, Glennallen, Alaska",99588,Alaska,Region 10,Community water system,30,COPPER CENTER,Valdez-Cordova Census Area,5,221,7,-145.53031,62.108869,-145.53031,62.108869,-150.05831,-141.00231,57.580869,66.636869
AK2299001,CRBRHA CHITINA HUD HOUSING,"99588, Glennallen, Alaska",99588,Alaska,Region 10,Community water system,50,COPPER CENTER,Valdez-Cordova Census Area,3,187,6,-145.53031,62.108869,-145.53031,62.108869,-150.05831,-141.00231,57.580869,66.636869
AK2291279,TAZLINA RIVER MHP,"99588, Glennallen, Alaska",99588,Alaska,Region 10,Community water system,25,GLENNALLEN,Valdez-Cordova Census Area,3,202,8,-145.53031,62.108869,-145.53031,62.108869,-150.05831,-141.00231,57.580869,66.636869
AK2250315,OCEAN BEAUTY SEAFOOD ALITAK,"98107, Seattle, Washington",98107,Alaska,Region 10,Transient non-community system,197,KODIAK,Kodiak Island Borough,6,110,5,-122.379091,47.670055,-122.379091,47.670055,-122.410091,-122.348091,47.639055,47.701055
AK2218735,SPI WATER HAULER,"99567, Chugiak, Alaska",99567,Alaska,Region 10,Transient non-community system,40,EAGLE RIVER,Anchorage Municipality,3,20,2,-149.426359,61.410738,-149.426359,61.410738,-149.701359,-149.151359,61.135738,61.685738
AK2249220,FRONTIER ICE AND BAKERY,"99669, Soldotna, Alaska",99669,Alaska,Region 10,Transient non-community system,28,SOLDOTNA,Kenai Peninsula Borough,4,28,5,-150.51009,60.210368,-150.51009,60.210368,-151.24309,-149.77709,59.477368,60.943368
AK2241745,"TESORO ALASKA COMPANY, LLC.","99611, Kenai, Alaska",99611,Alaska,Region 10,Non-Transient non-community system,150,KENAI,Kenai Peninsula Borough,4,50,7,-151.251236,60.557071,-151.251236,60.557071,-152.499236,-150.003236,59.309071,61.805071
AK2217259,CHAPEL OF THE CROSS,"12230 Hillside Dr, Anchorage, Alaska, 99507",99507,Alaska,Region 10,Transient non-community system,120,ANCHORAGE,Anchorage Municipality,5,31,5,-149.744567,61.109979,-149.746511,61.10997,-149.745567,-149.743567,61.108979,61.110979
AK2220075,LAMB OF GOD,"1221 N Church Rd, Wasilla, Alaska, 99654",99654,Alaska,Region 10,Transient non-community system,50,WASILLA,Matanuska-Susitna Borough,2,3,3,-149.511413,61.592609,-149.509341,61.59261,-149.512413,-149.510413,61.591609,61.593609
AK2224840,FISHHOOK FOOD MART,"189 E Nelson Ave, Wasilla, Alaska, 99654",99654,Alaska,Region 10,Transient non-community system,304,WASILLA,Matanuska-Susitna Borough,3,7,6,-149.447762,61.585024,-149.447762,61.585024,-149.457762,-149.437762,61.575024,61.595024
AK2222822,FIRST BAPTIST CHURCH OF WASILLA,"99687, Wasilla, Alaska",99687,Alaska,Region 10,Transient non-community system,203,WASILLA,Matanuska-Susitna Borough,3,3,7,-150.163395,61.28521,-150.163395,61.28521,-150.673395,-149.653395,60.77521,61.79521
