State,County,Farms with direct sales (%) 2012 (PCT_LOCLFARM12),Units,FIPS,FID
California,San Benito,9.554140127388536,Percent,6069.0,295
California,San Bernardino,18.014411529223377,Percent,6071.0,302
California,San Diego,12.508722958827633,Percent,6073.0,315
California,San Francisco,16.666666666666664,Percent,6075.0,331
California,San Joaquin,6.927374301675977,Percent,6077.0,339
California,San Luis Obispo,12.2655663915979,Percent,6079.0,351
California,San Mateo,19.760479041916167,Percent,6081.0,368
California,Santa Barbara,11.208515967438949,Percent,6083.0,391
California,Santa Clara,18.344965104685944,Percent,6085.0,406
California,Santa Cruz,16.79160419790105,Percent,6087.0,415
California,Shasta,17.033678756476682,Percent,6089.0,431
California,Sierra,4.166666666666666,Percent,6091.0,439
California,Siskiyou,9.68783638320775,Percent,6093.0,446
California,Solano,12.790697674418606,Percent,6095.0,453
California,Sonoma,13.942442022911427,Percent,6097.0,463
California,Stanislaus,5.310161718561429,Percent,6099.0,473
California,Sutter,5.964653902798233,Percent,6101.0,483
California,Tehama,9.695926563396442,Percent,6103.0,492
California,Trinity,29.554655870445345,Percent,6105.0,500
California,Tulare,7.6455080105455275,Percent,6107.0,501
California,Tuolumne,16.36828644501279,Percent,6109.0,513
California,Ventura,8.976744186046512,Percent,6111.0,521
California,Yolo,13.452027695351138,Percent,6113.0,525
California,Yuba,15.345911949685535,Percent,6115.0,541
Colorado,Adams,11.414982164090368,Percent,8001.0,545
Colorado,Alamosa,5.279503105590062,Percent,8003.0,549
Colorado,Arapahoe,10.463576158940398,Percent,8005.0,558
Colorado,Archuleta,11.827956989247312,Percent,8007.0,560
Colorado,Baca,1.0854816824966078,Percent,8009.0,563
Colorado,Bent,4.332129963898916,Percent,8011.0,564
Colorado,Boulder,14.736842105263156,Percent,8013.0,570
Colorado,Broomfield,0.0,Percent,8014.0,577
Colorado,Chaffee,12.556053811659194,Percent,8015.0,582
Colorado,Cheyenne,1.4492753623188406,Percent,8017.0,587
Colorado,Clear Creek,12.0,Percent,8019.0,591
Colorado,Conejos,3.8016528925619832,Percent,8021.0,596
Colorado,Costilla,5.577689243027888,Percent,8023.0,599
Colorado,Crowley,7.456140350877193,Percent,8025.0,605
Colorado,Custer,4.040404040404041,Percent,8027.0,610
Colorado,Delta,14.48,Percent,8029.0,617
Colorado,Denver,20.0,Percent,8031.0,628
Colorado,Dolores,3.53356890459364,Percent,8033.0,636
Colorado,Douglas,11.11111111111111,Percent,8035.0,644
Colorado,Eagle,13.333333333333334,Percent,8037.0,648
Colorado,Elbert,9.699248120300751,Percent,8039.0,655
Colorado,El Paso,8.208955223880597,Percent,8041.0,661
Colorado,Fremont,8.281829419035846,Percent,8043.0,664
Colorado,Garfield,9.76,Percent,8045.0,667
Colorado,Gilpin,0.0,Percent,8047.0,672
Colorado,Grand,6.341463414634147,Percent,8049.0,677
Colorado,Gunnison,6.147540983606557,Percent,8051.0,682
Colorado,Hinsdale,0.0,Percent,8053.0,688
Colorado,Huerfano,4.914004914004914,Percent,8055.0,693
Colorado,Jackson,8.571428571428571,Percent,8057.0,701
Colorado,Jefferson,9.021113243761997,Percent,8059.0,706
Colorado,Kiowa,2.278481012658228,Percent,8061.0,711
Colorado,Kit Carson,4.261363636363636,Percent,8063.0,716
Colorado,Lake,13.043478260869565,Percent,8065.0,721
Colorado,La Plata,10.320284697508896,Percent,8067.0,727
Colorado,Larimer,12.553846153846154,Percent,8069.0,734
Colorado,Las Animas,3.488372093023256,Percent,8071.0,741
Colorado,Lincoln,5.818965517241379,Percent,8073.0,747
Colorado,Logan,3.0303030303030303,Percent,8075.0,749
Colorado,Mesa,14.090106007067138,Percent,8077.0,751
Colorado,Mineral,0.0,Percent,8079.0,757
Colorado,Moffat,4.878048780487805,Percent,8081.0,758
Colorado,Montezuma,8.43585237258348,Percent,8083.0,766
Colorado,Montrose,9.042553191489363,Percent,8085.0,769
Colorado,Morgan,4.641909814323608,Percent,8087.0,775
Colorado,Otero,4.066543438077634,Percent,8089.0,777
Colorado,Ouray,10.185185185185185,Percent,8091.0,780
Colorado,Park,11.483253588516746,Percent,8093.0,782
Colorado,Phillips,2.19435736677116,Percent,8095.0,785
Colorado,Pitkin,9.75609756097561,Percent,8097.0,789
Colorado,Prowers,1.8083182640144666,Percent,8099.0,792
Colorado,Pueblo,4.697986577181208,Percent,8101.0,795
Colorado,Rio Blanco,5.7507987220447285,Percent,8103.0,799
Colorado,Rio Grande,8.488063660477453,Percent,8105.0,802
Colorado,Routt,7.634543178973717,Percent,8107.0,809
Colorado,Saguache,8.664259927797833,Percent,8109.0,811
Colorado,San Juan,nan,Percent,8111.0,347
Colorado,San Miguel,14.074074074074074,Percent,8113.0,359
Colorado,Sedgwick,3.5398230088495577,Percent,8115.0,366
Colorado,Summit,5.263157894736842,Percent,8117.0,373
Colorado,Teller,23.577235772357724,Percent,8119.0,375
Colorado,Washington,3.033980582524272,Percent,8121.0,377
Colorado,Weld,7.0638297872340425,Percent,8123.0,382
Colorado,Yuma,1.5587529976019185,Percent,8125.0,385
Connecticut,Fairfield,22.55125284738041,Percent,9001.0,410
Connecticut,Hartford,28.25361512791991,Percent,9003.0,432
Connecticut,Litchfield,23.860811930405966,Percent,9005.0,443
Connecticut,Middlesex,16.988416988416986,Percent,9007.0,450
Connecticut,New Haven,21.72661870503597,Percent,9009.0,466
Connecticut,New London,20.231822971549,Percent,9011.0,517
Connecticut,Tolland,27.33564013840831,Percent,9013.0,524
Connecticut,Windham,27.45664739884393,Percent,9015.0,529
Delaware,Kent,6.952491309385864,Percent,10001.0,532
Delaware,New Castle,13.101604278074866,Percent,10003.0,536
Delaware,Sussex,5.766062602965404,Percent,10005.0,609
District of Columbia,District of Columbia,nan,Percent,11001.0,630
Florida,Alachua,9.14560770156438,Percent,12001.0,639
Florida,Baker,7.611548556430446,Percent,12003.0,641
Florida,Bay,7.82608695652174,Percent,12005.0,658
Florida,Bradford,7.234042553191489,Percent,12007.0,665
Florida,Brevard,19.49317738791423,Percent,12009.0,686
Florida,Broward,6.991869918699186,Percent,12011.0,695
Florida,Calhoun,6.422018348623854,Percent,12013.0,699
Florida,Charlotte,6.338028169014084,Percent,12015.0,743
Florida,Citrus,7.8711985688729875,Percent,12017.0,843
Florida,Clay,9.67741935483871,Percent,12019.0,852
Florida,Collier,2.8213166144200628,Percent,12021.0,894
Florida,Columbia,6.455026455026455,Percent,12023.0,903
Florida,DeSoto,4.784688995215311,Percent,12027.0,906
Florida,Dixie,2.941176470588235,Percent,12029.0,918
Florida,Duval,12.5,Percent,12031.0,924
Florida,Escambia,12.071330589849108,Percent,12033.0,931
Florida,Flagler,8.47457627118644,Percent,12035.0,935
Florida,Franklin,5.0,Percent,12037.0,937
Florida,Gadsden,5.472636815920398,Percent,12039.0,938
Florida,Gilchrist,4.475043029259897,Percent,12041.0,939
Florida,Glades,3.3232628398791544,Percent,12043.0,940
Florida,Gulf,14.705882352941178,Percent,12045.0,941
Florida,Hamilton,2.3972602739726026,Percent,12047.0,942
Florida,Hardee,1.7311608961303464,Percent,12049.0,943
Florida,Hendry,2.4630541871921183,Percent,12051.0,944
Florida,Hernando,7.509386733416772,Percent,12053.0,945
Florida,Highlands,4.437564499484004,Percent,12055.0,946
Florida,Hillsborough,8.19140308191403,Percent,12057.0,947
Florida,Holmes,2.3720349563046192,Percent,12059.0,948
Florida,Indian River,5.206073752711497,Percent,12061.0,949
Florida,Jackson,6.293103448275862,Percent,12063.0,950
Florida,Jefferson,9.886547811993516,Percent,12065.0,951
Florida,Lafayette,5.88235294117647,Percent,12067.0,952
Florida,Lake,7.791479820627803,Percent,12069.0,953
Florida,Lee,13.981042654028435,Percent,12071.0,954
Florida,Leon,13.028169014084506,Percent,12073.0,955
Florida,Levy,4.273504273504273,Percent,12075.0,956
Florida,Liberty,0.0,Percent,12077.0,957
Florida,Madison,3.1390134529147984,Percent,12079.0,958
Florida,Manatee,6.2409288824383164,Percent,12081.0,959
Florida,Marion,4.4186046511627906,Percent,12083.0,960
Florida,Martin,8.517887563884157,Percent,12085.0,961
Florida,Miami-Dade,16.790792146242385,Percent,12086.0,962
Florida,Monroe,3.571428571428571,Percent,12087.0,963
Florida,Nassau,7.657657657657657,Percent,12089.0,964
Florida,Okaloosa,8.59538784067086,Percent,12091.0,965
Florida,Okeechobee,2.6548672566371683,Percent,12093.0,966
Florida,Orange,7.099697885196375,Percent,12095.0,967
Florida,Osceola,2.4657534246575343,Percent,12097.0,968
Florida,Palm Beach,7.523066004258339,Percent,12099.0,969
Florida,Pasco,7.230046948356808,Percent,12101.0,970
Florida,Pinellas,9.322033898305085,Percent,12103.0,971
Florida,Polk,4.43064182194617,Percent,12105.0,972
Florida,Putnam,8.604651162790699,Percent,12107.0,973
Florida,St. Johns,11.170212765957446,Percent,12109.0,974
Florida,St. Lucie,5.41871921182266,Percent,12111.0,975
Florida,Santa Rosa,6.606606606606606,Percent,12113.0,976
Florida,Sarasota,7.06713780918728,Percent,12115.0,977
Florida,Seminole,13.782051282051283,Percent,12117.0,978
Florida,Sumter,4.169714703730797,Percent,12119.0,979
Florida,Suwannee,6.872037914691943,Percent,12121.0,980
Florida,Taylor,8.287292817679557,Percent,12123.0,981
Florida,Union,6.185567010309279,Percent,12125.0,982
Florida,Volusia,8.437270726338959,Percent,12127.0,983
Florida,Wakulla,11.695906432748536,Percent,12129.0,984
Florida,Walton,7.611940298507462,Percent,12131.0,985
Florida,Washington,6.157635467980295,Percent,12133.0,986
Georgia,Appling,1.8947368421052633,Percent,13001.0,987
Georgia,Atkinson,11.855670103092782,Percent,13003.0,988
Georgia,Bacon,3.731343283582089,Percent,13005.0,989
