State,County,Direct farm sales per capita (% change) 2007 - 12 (PCH_PC_DIRSALES_07_12),Units,FIPS,FID
California,Riverside,-24.26049407613908,% change,6065.0,281
California,Sacramento,6.641976295811629,% change,6067.0,289
California,San Benito,160.75880926192957,% change,6069.0,295
California,San Bernardino,-1.3532890413467196,% change,6071.0,302
California,San Diego,-8.560232222340527,% change,6073.0,315
California,San Francisco,nan,% change,6075.0,331
California,San Joaquin,-28.23749343882993,% change,6077.0,339
California,San Luis Obispo,31.607775012715102,% change,6079.0,351
California,San Mateo,4.111874749285023,% change,6081.0,368
California,Santa Barbara,30.34906064743949,% change,6083.0,391
California,Santa Clara,72.17493021150887,% change,6085.0,406
California,Santa Cruz,-11.22313441696135,% change,6087.0,415
California,Shasta,24.812229094516486,% change,6089.0,431
California,Sierra,nan,% change,6091.0,439
California,Siskiyou,44.943588640075454,% change,6093.0,446
California,Solano,96.19617686389547,% change,6095.0,453
California,Sonoma,61.65751922295096,% change,6097.0,463
California,Stanislaus,5.408302093044666,% change,6099.0,473
California,Sutter,-23.188736708286335,% change,6101.0,483
California,Tehama,-19.272882949772036,% change,6103.0,492
California,Trinity,133.8595854973998,% change,6105.0,500
California,Tulare,23.52840980239261,% change,6107.0,501
California,Tuolumne,28.060037689680446,% change,6109.0,513
California,Ventura,0.6786952201468678,% change,6111.0,521
California,Yolo,41.23576936832959,% change,6113.0,525
California,Yuba,12.376137037091706,% change,6115.0,541
Colorado,Adams,-79.95626044998735,% change,8001.0,545
Colorado,Alamosa,-1.6870117514639178,% change,8003.0,549
Colorado,Arapahoe,15.021766195046743,% change,8005.0,558
Colorado,Archuleta,-39.16471967487322,% change,8007.0,560
Colorado,Baca,-15.130157483044297,% change,8009.0,563
Colorado,Bent,-13.58787461678033,% change,8011.0,564
Colorado,Boulder,130.63515274310302,% change,8013.0,570
Colorado,Broomfield,nan,% change,8014.0,577
Colorado,Chaffee,519.0988179407866,% change,8015.0,582
Colorado,Cheyenne,-24.887512700179016,% change,8017.0,587
Colorado,Clear Creek,nan,% change,8019.0,591
Colorado,Conejos,64.51302231657434,% change,8021.0,596
Colorado,Costilla,1782.0605387392386,% change,8023.0,599
Colorado,Crowley,59.648495199409155,% change,8025.0,605
Colorado,Custer,-71.71383647798743,% change,8027.0,610
Colorado,Delta,7.092285106948661,% change,8029.0,617
Colorado,Denver,nan,% change,8031.0,628
Colorado,Dolores,71.098845960863,% change,8033.0,636
Colorado,Douglas,-7.914291864740525,% change,8035.0,644
Colorado,Eagle,116.48896924467698,% change,8037.0,648
Colorado,Elbert,-21.082524714994484,% change,8039.0,655
Colorado,El Paso,-52.072679529869426,% change,8041.0,661
Colorado,Fremont,68.57200204273511,% change,8043.0,664
Colorado,Garfield,-41.86998245745268,% change,8045.0,667
Colorado,Gilpin,-100.0,% change,8047.0,672
Colorado,Grand,38.95697937270414,% change,8049.0,677
Colorado,Gunnison,-37.413769446964835,% change,8051.0,682
Colorado,Hinsdale,nan,% change,8053.0,688
Colorado,Huerfano,nan,% change,8055.0,693
Colorado,Jackson,12.991104521868044,% change,8057.0,701
Colorado,Jefferson,-28.91798979288408,% change,8059.0,706
Colorado,Kiowa,66.39271715766846,% change,8061.0,711
Colorado,Kit Carson,68.81638696939781,% change,8063.0,716
