State,County,WIC-authorized stores per 1000 pop 2011 (WICSPTH11),Units,FIPS,FID
Colorado,Huerfano,0.3064194917678833,"# per 1,000 pop",8055,693
Colorado,Jackson,0.7369197010993958,"# per 1,000 pop",8057,701
Colorado,Jefferson,0.07397065311670303,"# per 1,000 pop",8059,706
Colorado,Kiowa,0.6988120079040527,"# per 1,000 pop",8061,711
Colorado,Kit Carson,0.48959606885910034,"# per 1,000 pop",8063,716
Colorado,Lake,0.13620266318321228,"# per 1,000 pop",8065,721
Colorado,La Plata,0.09653627872467041,"# per 1,000 pop",8067,727
Colorado,Larimer,0.075351282954216,"# per 1,000 pop",8069,734
Colorado,Las Animas,0.19945482909679413,"# per 1,000 pop",8071,741
Colorado,Lincoln,0.3691399097442627,"# per 1,000 pop",8073,747
Colorado,Logan,0.13718047738075256,"# per 1,000 pop",8075,749
Colorado,Mesa,0.09505380690097809,"# per 1,000 pop",8077,751
Colorado,Mineral,0,"# per 1,000 pop",8079,757
Colorado,Moffat,0.22353029251098633,"# per 1,000 pop",8081,758
Colorado,Montezuma,0.19627855718135834,"# per 1,000 pop",8083,766
Colorado,Montrose,0.17084838449954987,"# per 1,000 pop",8085,769
Colorado,Morgan,0.17572839558124542,"# per 1,000 pop",8087,775
Colorado,Otero,0.2650129795074463,"# per 1,000 pop",8089,777
Colorado,Ouray,0.45218178629875183,"# per 1,000 pop",8091,780
Colorado,Park,0.0622858926653862,"# per 1,000 pop",8093,782
Colorado,Phillips,0.4545454680919647,"# per 1,000 pop",8095,785
Colorado,Pitkin,0.11644832789897919,"# per 1,000 pop",8097,789
Colorado,Prowers,0.31925931572914124,"# per 1,000 pop",8099,792
Colorado,Pueblo,0.08736458420753479,"# per 1,000 pop",8101,795
Colorado,Rio Blanco,0.29489827156066895,"# per 1,000 pop",8103,799
Colorado,Rio Grande,0.2518045902252197,"# per 1,000 pop",8105,802
Colorado,Routt,0.12895460426807404,"# per 1,000 pop",8107,809
Colorado,Saguache,0.3232584595680237,"# per 1,000 pop",8109,811
Colorado,San Juan,0,"# per 1,000 pop",8111,347
Colorado,San Miguel,0.2671653628349304,"# per 1,000 pop",8113,359
Colorado,Sedgwick,0.42176297307014465,"# per 1,000 pop",8115,366
Colorado,Summit,0.10696712881326675,"# per 1,000 pop",8117,373
Colorado,Teller,0.2139861285686493,"# per 1,000 pop",8119,375
Colorado,Washington,0.2099958062171936,"# per 1,000 pop",8121,377
Colorado,Weld,0.057963620871305466,"# per 1,000 pop",8123,382
Colorado,Yuma,0.39471086859703064,"# per 1,000 pop",8125,385
Connecticut,Fairfield,0.1444125771522522,"# per 1,000 pop",9001,410
Connecticut,Hartford,0.20294922590255737,"# per 1,000 pop",9003,432
Connecticut,Litchfield,0.1058189868927002,"# per 1,000 pop",9005,443
Connecticut,Middlesex,0.12035432457923889,"# per 1,000 pop",9007,450
Connecticut,New Haven,0.18985283374786377,"# per 1,000 pop",9009,466
Connecticut,New London,0.1355246752500534,"# per 1,000 pop",9011,517
Connecticut,Tolland,0.10455670952796936,"# per 1,000 pop",9013,524
Connecticut,Windham,0.1690545678138733,"# per 1,000 pop",9015,529
Delaware,Kent,0.11508385837078094,"# per 1,000 pop",10001,532
Delaware,New Castle,0.09227373450994492,"# per 1,000 pop",10003,536
Delaware,Sussex,0.09483262151479721,"# per 1,000 pop",10005,609
District of Columbia,District of Columbia,0.04357635974884033,"# per 1,000 pop",11001,630
Florida,Alachua,0.10408076643943787,"# per 1,000 pop",12001,639
Florida,Baker,0.14791257679462433,"# per 1,000 pop",12003,641
Florida,Bay,0.13566039502620697,"# per 1,000 pop",12005,658
Florida,Bradford,0.10551491379737854,"# per 1,000 pop",12007,665
Florida,Brevard,0.09553221613168716,"# per 1,000 pop",12009,686
Florida,Broward,0.09177623689174652,"# per 1,000 pop",12011,695
Florida,Calhoun,0.20387360453605652,"# per 1,000 pop",12013,699
Florida,Charlotte,0.11886069178581238,"# per 1,000 pop",12015,743
Florida,Citrus,0.10732991993427277,"# per 1,000 pop",12017,843
Florida,Clay,0.10921686142683029,"# per 1,000 pop",12019,852
Florida,Collier,0.11293157935142517,"# per 1,000 pop",12021,894
Florida,Columbia,0.10399798303842545,"# per 1,000 pop",12023,903
Florida,DeSoto,0.1722109019756317,"# per 1,000 pop",12027,906
Florida,Dixie,0.12191405147314072,"# per 1,000 pop",12029,918
Florida,Duval,0.11349345743656158,"# per 1,000 pop",12031,924
Florida,Escambia,0.10021479427814484,"# per 1,000 pop",12033,931
Florida,Flagler,0.10260093212127686,"# per 1,000 pop",12035,935
Florida,Franklin,0.3487662374973297,"# per 1,000 pop",12037,937
Florida,Gadsden,0.1900097131729126,"# per 1,000 pop",12039,938
Florida,Gilchrist,0.11771630495786667,"# per 1,000 pop",12041,939
Florida,Glades,0.07790589332580566,"# per 1,000 pop",12043,940
Florida,Gulf,0.19037948548793793,"# per 1,000 pop",12045,941
Florida,Hamilton,0.13706140220165253,"# per 1,000 pop",12047,942
Florida,Hardee,0.21674734354019165,"# per 1,000 pop",12049,943
Florida,Hendry,0.20524924993515015,"# per 1,000 pop",12051,944
Florida,Hernando,0.13307875394821167,"# per 1,000 pop",12053,945
Florida,Highlands,0.12185586243867874,"# per 1,000 pop",12055,946
Florida,Hillsborough,0.10699310153722763,"# per 1,000 pop",12057,947
Florida,Holmes,0.10081661492586136,"# per 1,000 pop",12059,948
Florida,Indian River,0.10064701735973358,"# per 1,000 pop",12061,949
Florida,Jackson,0.20330162346363068,"# per 1,000 pop",12063,950
Florida,Jefferson,0.0688420757651329,"# per 1,000 pop",12065,951
Florida,Lafayette,0.11362345516681671,"# per 1,000 pop",12067,952
Florida,Lake,0.10982135683298111,"# per 1,000 pop",12069,953
Florida,Lee,0.11409898847341537,"# per 1,000 pop",12071,954
Florida,Leon,0.10059855878353119,"# per 1,000 pop",12073,955
Florida,Levy,0.1494358777999878,"# per 1,000 pop",12075,956
Florida,Liberty,0.12105072289705276,"# per 1,000 pop",12077,957
Florida,Madison,0.15681354701519012,"# per 1,000 pop",12079,958
Florida,Manatee,0.10990721732378006,"# per 1,000 pop",12081,959
Florida,Marion,0.11436310410499573,"# per 1,000 pop",12083,960
Florida,Martin,0.14202143251895905,"# per 1,000 pop",12085,961
Florida,Miami-Dade,0.09728171676397324,"# per 1,000 pop",12086,962
Florida,Monroe,0.13520273566246033,"# per 1,000 pop",12087,963
Florida,Nassau,0.1213935986161232,"# per 1,000 pop",12089,964
Florida,Okaloosa,0.1201607957482338,"# per 1,000 pop",12091,965
Florida,Okeechobee,0.1755661964416504,"# per 1,000 pop",12093,966
Florida,Orange,0.09995505958795547,"# per 1,000 pop",12095,967
Florida,Osceola,0.12561145424842834,"# per 1,000 pop",12097,968
Florida,Palm Beach,0.10248967260122299,"# per 1,000 pop",12099,969
Florida,Pasco,0.11791744828224182,"# per 1,000 pop",12101,970
Florida,Pinellas,0.13719810545444489,"# per 1,000 pop",12103,971
Florida,Polk,0.10820683091878891,"# per 1,000 pop",12105,972
Florida,Putnam,0.12221784889698029,"# per 1,000 pop",12107,973
Florida,St. Johns,0.11219452321529388,"# per 1,000 pop",12109,974
Florida,St. Lucie,0.08558590710163116,"# per 1,000 pop",12111,975
Florida,Santa Rosa,0.10274720191955566,"# per 1,000 pop",12113,976
Florida,Sarasota,0.10726722329854965,"# per 1,000 pop",12115,977
Florida,Seminole,0.11024918407201767,"# per 1,000 pop",12117,978
Florida,Sumter,0.11227697879076004,"# per 1,000 pop",12119,979
Florida,Suwannee,0.11531365662813187,"# per 1,000 pop",12121,980
Florida,Taylor,0.1765536665916443,"# per 1,000 pop",12123,981
Florida,Union,0.06536374986171722,"# per 1,000 pop",12125,982
Florida,Volusia,0.10921866446733475,"# per 1,000 pop",12127,983
Florida,Wakulla,0.09686793386936188,"# per 1,000 pop",12129,984
Florida,Walton,0.17988847196102142,"# per 1,000 pop",12131,985
Florida,Washington,0.1632186770439148,"# per 1,000 pop",12133,986
Georgia,Appling,0.2167081981897354,"# per 1,000 pop",13001,987
Georgia,Atkinson,0.35885167121887207,"# per 1,000 pop",13003,988
Georgia,Bacon,0.3590986728668213,"# per 1,000 pop",13005,989
Georgia,Baker,0.30165913701057434,"# per 1,000 pop",13007,990
Georgia,Baldwin,0.17709693312644958,"# per 1,000 pop",13009,991
Georgia,Banks,0,"# per 1,000 pop",13011,992
Georgia,Barrow,0.1718336045742035,"# per 1,000 pop",13013,993
Georgia,Bartow,0.09985022246837616,"# per 1,000 pop",13015,994
Georgia,Ben Hill,0.4554252624511719,"# per 1,000 pop",13017,995
Georgia,Berrien,0.25803786516189575,"# per 1,000 pop",13019,996
Georgia,Bibb,0.19851434230804443,"# per 1,000 pop",13021,997
