State,County,National School Lunch Program participants (% children) 2012 (PCT_NSLP12),Units,FIPS,FID
Colorado,San Miguel,44.34082798339872,Percent,8113,359
Colorado,Sedgwick,44.34082798339872,Percent,8115,366
Colorado,Summit,44.34082798339872,Percent,8117,373
Colorado,Teller,44.34082798339872,Percent,8119,375
Colorado,Washington,44.34082798339872,Percent,8121,377
Colorado,Weld,44.34082798339872,Percent,8123,382
Colorado,Yuma,44.34082798339872,Percent,8125,385
Connecticut,Fairfield,48.46595838485677,Percent,9001,410
Connecticut,Hartford,48.46595838485677,Percent,9003,432
Connecticut,Litchfield,48.46595838485677,Percent,9005,443
Connecticut,Middlesex,48.46595838485677,Percent,9007,450
Connecticut,New Haven,48.46595838485677,Percent,9009,466
Connecticut,New London,48.46595838485677,Percent,9011,517
Connecticut,Tolland,48.46595838485677,Percent,9013,524
Connecticut,Windham,48.46595838485677,Percent,9015,529
Delaware,Kent,64.22415115789192,Percent,10001,532
Delaware,New Castle,64.22415115789192,Percent,10003,536
Delaware,Sussex,64.22415115789192,Percent,10005,609
District of Columbia,District of Columbia,68.91295807587919,Percent,11001,630
Florida,Alachua,56.51336544123301,Percent,12001,639
Florida,Baker,56.51336544123301,Percent,12003,641
Florida,Bay,56.51336544123301,Percent,12005,658
Florida,Bradford,56.51336544123301,Percent,12007,665
Florida,Brevard,56.51336544123301,Percent,12009,686
Florida,Broward,56.51336544123301,Percent,12011,695
Florida,Calhoun,56.51336544123301,Percent,12013,699
Florida,Charlotte,56.51336544123301,Percent,12015,743
Florida,Citrus,56.51336544123301,Percent,12017,843
Florida,Clay,56.51336544123301,Percent,12019,852
Florida,Collier,56.51336544123301,Percent,12021,894
Florida,Columbia,56.51336544123301,Percent,12023,903
Florida,DeSoto,56.51336544123301,Percent,12027,906
Florida,Dixie,56.51336544123301,Percent,12029,918
Florida,Duval,56.51336544123301,Percent,12031,924
Florida,Escambia,56.51336544123301,Percent,12033,931
Florida,Flagler,56.51336544123301,Percent,12035,935
Florida,Franklin,56.51336544123301,Percent,12037,937
Florida,Gadsden,56.51336544123301,Percent,12039,938
Florida,Gilchrist,56.51336544123301,Percent,12041,939
Florida,Glades,56.51336544123301,Percent,12043,940
Florida,Gulf,56.51336544123301,Percent,12045,941
Florida,Hamilton,56.51336544123301,Percent,12047,942
Florida,Hardee,56.51336544123301,Percent,12049,943
Florida,Hendry,56.51336544123301,Percent,12051,944
Florida,Hernando,56.51336544123301,Percent,12053,945
Florida,Highlands,56.51336544123301,Percent,12055,946
Florida,Hillsborough,56.51336544123301,Percent,12057,947
Florida,Holmes,56.51336544123301,Percent,12059,948
Florida,Indian River,56.51336544123301,Percent,12061,949
Florida,Jackson,56.51336544123301,Percent,12063,950
Florida,Jefferson,56.51336544123301,Percent,12065,951
Florida,Lafayette,56.51336544123301,Percent,12067,952
Florida,Lake,56.51336544123301,Percent,12069,953
Florida,Lee,56.51336544123301,Percent,12071,954
Florida,Leon,56.51336544123301,Percent,12073,955
Florida,Levy,56.51336544123301,Percent,12075,956
Florida,Liberty,56.51336544123301,Percent,12077,957
Florida,Madison,56.51336544123301,Percent,12079,958
Florida,Manatee,56.51336544123301,Percent,12081,959
Florida,Marion,56.51336544123301,Percent,12083,960
Florida,Martin,56.51336544123301,Percent,12085,961
Florida,Miami-Dade,56.51336544123301,Percent,12086,962
Florida,Monroe,56.51336544123301,Percent,12087,963
Florida,Nassau,56.51336544123301,Percent,12089,964
Florida,Okaloosa,56.51336544123301,Percent,12091,965
Florida,Okeechobee,56.51336544123301,Percent,12093,966
Florida,Orange,56.51336544123301,Percent,12095,967
Florida,Osceola,56.51336544123301,Percent,12097,968
Florida,Palm Beach,56.51336544123301,Percent,12099,969
Florida,Pasco,56.51336544123301,Percent,12101,970
Florida,Pinellas,56.51336544123301,Percent,12103,971
Florida,Polk,56.51336544123301,Percent,12105,972
Florida,Putnam,56.51336544123301,Percent,12107,973
Florida,St. Johns,56.51336544123301,Percent,12109,974
Florida,St. Lucie,56.51336544123301,Percent,12111,975
Florida,Santa Rosa,56.51336544123301,Percent,12113,976
Florida,Sarasota,56.51336544123301,Percent,12115,977
Florida,Seminole,56.51336544123301,Percent,12117,978
Florida,Sumter,56.51336544123301,Percent,12119,979
Florida,Suwannee,56.51336544123301,Percent,12121,980
Florida,Taylor,56.51336544123301,Percent,12123,981
Florida,Union,56.51336544123301,Percent,12125,982
Florida,Volusia,56.51336544123301,Percent,12127,983
Florida,Wakulla,56.51336544123301,Percent,12129,984
Florida,Walton,56.51336544123301,Percent,12131,985
Florida,Washington,56.51336544123301,Percent,12133,986
Georgia,Appling,71.5134984269653,Percent,13001,987
Georgia,Atkinson,71.5134984269653,Percent,13003,988
Georgia,Bacon,71.5134984269653,Percent,13005,989
Georgia,Baker,71.5134984269653,Percent,13007,990
Georgia,Baldwin,71.5134984269653,Percent,13009,991
Georgia,Banks,71.5134984269653,Percent,13011,992
Georgia,Barrow,71.5134984269653,Percent,13013,993
Georgia,Bartow,71.5134984269653,Percent,13015,994
Georgia,Ben Hill,71.5134984269653,Percent,13017,995
Georgia,Berrien,71.5134984269653,Percent,13019,996
Georgia,Bibb,71.5134984269653,Percent,13021,997
Georgia,Bleckley,71.5134984269653,Percent,13023,998
Georgia,Brantley,71.5134984269653,Percent,13025,999
Georgia,Brooks,71.5134984269653,Percent,13027,565
Georgia,Bryan,71.5134984269653,Percent,13029,573
Georgia,Bulloch,71.5134984269653,Percent,13031,579
Georgia,Burke,71.5134984269653,Percent,13033,583
Georgia,Butts,71.5134984269653,Percent,13035,588
Georgia,Calhoun,71.5134984269653,Percent,13037,592
Georgia,Camden,71.5134984269653,Percent,13039,603
Georgia,Candler,71.5134984269653,Percent,13043,616
Georgia,Carroll,71.5134984269653,Percent,13045,620
Georgia,Catoosa,71.5134984269653,Percent,13047,626
Georgia,Charlton,71.5134984269653,Percent,13049,635
Georgia,Chatham,71.5134984269653,Percent,13051,646
Georgia,Chattahoochee,71.5134984269653,Percent,13053,656
Georgia,Chattooga,71.5134984269653,Percent,13055,659
Georgia,Cherokee,71.5134984269653,Percent,13057,662
Georgia,Clarke,71.5134984269653,Percent,13059,666
Georgia,Clay,71.5134984269653,Percent,13061,670
Georgia,Clayton,71.5134984269653,Percent,13063,673
Georgia,Clinch,71.5134984269653,Percent,13065,676
Georgia,Cobb,71.5134984269653,Percent,13067,680
Georgia,Coffee,71.5134984269653,Percent,13069,684
Georgia,Colquitt,71.5134984269653,Percent,13071,689
Georgia,Columbia,71.5134984269653,Percent,13073,692
Georgia,Cook,71.5134984269653,Percent,13075,697
Georgia,Coweta,71.5134984269653,Percent,13077,700
Georgia,Crawford,71.5134984269653,Percent,13079,704
Georgia,Crisp,71.5134984269653,Percent,13081,707
Georgia,Dade,71.5134984269653,Percent,13083,708
Georgia,Dawson,71.5134984269653,Percent,13085,713
Georgia,Decatur,71.5134984269653,Percent,13087,714
Georgia,DeKalb,71.5134984269653,Percent,13089,718
Georgia,Dodge,71.5134984269653,Percent,13091,720
Georgia,Dooly,71.5134984269653,Percent,13093,724
Georgia,Dougherty,71.5134984269653,Percent,13095,728
Georgia,Douglas,71.5134984269653,Percent,13097,731
Georgia,Early,71.5134984269653,Percent,13099,735
Georgia,Echols,71.5134984269653,Percent,13101,737
Georgia,Effingham,71.5134984269653,Percent,13103,742
Georgia,Elbert,71.5134984269653,Percent,13105,746
Georgia,Emanuel,71.5134984269653,Percent,13107,750
Georgia,Evans,71.5134984269653,Percent,13109,754
Georgia,Fannin,71.5134984269653,Percent,13111,755
Georgia,Fayette,71.5134984269653,Percent,13113,760
Georgia,Floyd,71.5134984269653,Percent,13115,764
Georgia,Forsyth,71.5134984269653,Percent,13117,768
Georgia,Franklin,71.5134984269653,Percent,13119,772
Georgia,Fulton,71.5134984269653,Percent,13121,779
Georgia,Gilmer,71.5134984269653,Percent,13123,781
Georgia,Glascock,71.5134984269653,Percent,13125,783
Georgia,Glynn,71.5134984269653,Percent,13127,793
Georgia,Gordon,71.5134984269653,Percent,13129,796
Georgia,Grady,71.5134984269653,Percent,13131,797
Georgia,Greene,71.5134984269653,Percent,13133,800
Georgia,Gwinnett,71.5134984269653,Percent,13135,804
Georgia,Habersham,71.5134984269653,Percent,13137,806
Georgia,Hall,71.5134984269653,Percent,13139,808
Georgia,Hancock,71.5134984269653,Percent,13141,810
Georgia,Haralson,71.5134984269653,Percent,13143,813
Georgia,Harris,71.5134984269653,Percent,13145,814
Georgia,Hart,71.5134984269653,Percent,13147,816
Georgia,Heard,71.5134984269653,Percent,13149,817
Georgia,Henry,71.5134984269653,Percent,13151,820
Georgia,Houston,71.5134984269653,Percent,13153,823
Georgia,Irwin,71.5134984269653,Percent,13155,825
Georgia,Jackson,71.5134984269653,Percent,13157,828
Georgia,Jasper,71.5134984269653,Percent,13159,830
Georgia,Jeff Davis,71.5134984269653,Percent,13161,832
Georgia,Jefferson,71.5134984269653,Percent,13163,834
Georgia,Jenkins,71.5134984269653,Percent,13165,835
Georgia,Johnson,71.5134984269653,Percent,13167,837
Georgia,Jones,71.5134984269653,Percent,13169,839
Georgia,Lamar,71.5134984269653,Percent,13171,841
Georgia,Lanier,71.5134984269653,Percent,13173,845
Georgia,Laurens,71.5134984269653,Percent,13175,847
Georgia,Lee,71.5134984269653,Percent,13177,849
Georgia,Liberty,71.5134984269653,Percent,13179,855
Georgia,Lincoln,71.5134984269653,Percent,13181,857
Georgia,Long,71.5134984269653,Percent,13183,860
Georgia,Lowndes,71.5134984269653,Percent,13185,863
Georgia,Lumpkin,71.5134984269653,Percent,13187,865
Georgia,McDuffie,71.5134984269653,Percent,13189,868
Georgia,McIntosh,71.5134984269653,Percent,13191,871
Georgia,Macon,71.5134984269653,Percent,13193,874
Georgia,Madison,71.5134984269653,Percent,13195,875
Georgia,Marion,71.5134984269653,Percent,13197,877
Georgia,Meriwether,71.5134984269653,Percent,13199,879
Georgia,Miller,71.5134984269653,Percent,13201,881
Georgia,Mitchell,71.5134984269653,Percent,13205,883
Georgia,Monroe,71.5134984269653,Percent,13207,885
Georgia,Montgomery,71.5134984269653,Percent,13209,887
Georgia,Morgan,71.5134984269653,Percent,13211,890
Georgia,Murray,71.5134984269653,Percent,13213,892
Georgia,Muscogee,71.5134984269653,Percent,13215,896
Georgia,Newton,71.5134984269653,Percent,13217,899
Georgia,Oconee,71.5134984269653,Percent,13219,901
Georgia,Oglethorpe,71.5134984269653,Percent,13221,905
Georgia,Paulding,71.5134984269653,Percent,13223,908
Georgia,Peach,71.5134984269653,Percent,13225,910
Georgia,Pickens,71.5134984269653,Percent,13227,912
Georgia,Pierce,71.5134984269653,Percent,13229,915
Georgia,Pike,71.5134984269653,Percent,13231,7
Georgia,Polk,71.5134984269653,Percent,13233,8
Georgia,Pulaski,71.5134984269653,Percent,13235,11
Georgia,Putnam,71.5134984269653,Percent,13237,13
Georgia,Quitman,71.5134984269653,Percent,13239,16
Georgia,Rabun,71.5134984269653,Percent,13241,18
Georgia,Randolph,71.5134984269653,Percent,13243,23
Georgia,Richmond,71.5134984269653,Percent,13245,24
Georgia,Rockdale,71.5134984269653,Percent,13247,28
Georgia,Schley,71.5134984269653,Percent,13249,31
Georgia,Screven,71.5134984269653,Percent,13251,34
Georgia,Seminole,71.5134984269653,Percent,13253,38
Georgia,Spalding,71.5134984269653,Percent,13255,41
