State,County,Low income & low access to store (%) 2010 (PCT_LACCESS_LOWI10),Units,FIPS,FID
Florida,Brevard,10.759017134385434,Percent,12009,686
Florida,Broward,2.7571973601769444,Percent,12011,695
Florida,Calhoun,13.213051140561435,Percent,12013,699
Florida,Charlotte,11.980294655395243,Percent,12015,743
Florida,Citrus,10.809498114891671,Percent,12017,843
Florida,Clay,5.501943364000157,Percent,12019,852
Florida,Collier,8.145051419774601,Percent,12021,894
Florida,Columbia,7.616125924668937,Percent,12023,903
Florida,DeSoto,5.679219649099335,Percent,12027,906
Florida,Dixie,3.0513420651980394,Percent,12029,918
Florida,Duval,6.865518309665669,Percent,12031,924
Florida,Escambia,12.957183475174737,Percent,12033,931
Florida,Flagler,10.246760311263534,Percent,12035,935
Florida,Franklin,1.3499644968902935,Percent,12037,937
Florida,Gadsden,5.801935174200521,Percent,12039,938
Florida,Gilchrist,0.1842570679515373,Percent,12041,939
Florida,Glades,7.231451565430899,Percent,12043,940
Florida,Gulf,6.006496951088445,Percent,12045,941
Florida,Hamilton,10.318001103894655,Percent,12047,942
Florida,Hardee,20.28250111448891,Percent,12049,943
Florida,Hendry,14.330097045002606,Percent,12051,944
Florida,Hernando,10.54845848060216,Percent,12053,945
Florida,Highlands,15.86911909428674,Percent,12055,946
Florida,Hillsborough,7.0319210518277355,Percent,12057,947
Florida,Holmes,10.079450620548954,Percent,12059,948
Florida,Indian River,14.59649572467869,Percent,12061,949
Florida,Jackson,2.3419230491097975,Percent,12063,950
Florida,Jefferson,8.538197327013616,Percent,12065,951
Florida,Lafayette,1.6199712453886357,Percent,12067,952
Florida,Lake,9.213515772550968,Percent,12069,953
Florida,Lee,8.987683519032185,Percent,12071,954
Florida,Leon,8.257850170884144,Percent,12073,955
Florida,Levy,4.406251868435014,Percent,12075,956
Florida,Liberty,7.747121754206432,Percent,12077,957
Florida,Madison,8.734095141282252,Percent,12079,958
Florida,Manatee,5.738129369884429,Percent,12081,959
Florida,Marion,8.543427159742619,Percent,12083,960
Florida,Martin,7.372644253085403,Percent,12085,961
Florida,Miami-Dade,1.8165510648023402,Percent,12086,962
Florida,Monroe,8.640897831254057,Percent,12087,963
Florida,Nassau,7.481437593596107,Percent,12089,964
Florida,Okaloosa,8.257073571034496,Percent,12091,965
Florida,Okeechobee,21.489378105843485,Percent,12093,966
Florida,Orange,6.1098376460016,Percent,12095,967
Florida,Osceola,7.825262445993859,Percent,12097,968
Florida,Palm Beach,4.883083433603725,Percent,12099,969
Florida,Pasco,7.289068484052641,Percent,12101,970
Florida,Pinellas,4.95631440761844,Percent,12103,971
Florida,Polk,10.66771257270572,Percent,12105,972
Florida,Putnam,12.581087342989013,Percent,12107,973
Florida,St. Johns,5.7340914978946955,Percent,12109,974
Florida,St. Lucie,10.775239800249398,Percent,12111,975
Florida,Santa Rosa,10.251872191087784,Percent,12113,976
Florida,Sarasota,6.469585635885523,Percent,12115,977
Florida,Seminole,7.115874877575499,Percent,12117,978
Florida,Sumter,2.651286001133323,Percent,12119,979
Florida,Suwannee,8.36011355896946,Percent,12121,980
Florida,Taylor,10.059372445214843,Percent,12123,981
Florida,Union,9.607941595832186,Percent,12125,982
Florida,Volusia,9.356167833364,Percent,12127,983
Florida,Wakulla,0.30910458639641475,Percent,12129,984
Florida,Walton,7.2360816564150205,Percent,12131,985
Florida,Washington,19.41869587600623,Percent,12133,986
Georgia,Appling,5.840546910619654,Percent,13001,987
Georgia,Atkinson,10.92485537593261,Percent,13003,988
Georgia,Bacon,2.7299776476296955,Percent,13005,989
Georgia,Baker,43.51253280025297,Percent,13007,990
Georgia,Baldwin,8.57830569394241,Percent,13009,991
Georgia,Banks,3.640640276061701,Percent,13011,992
Georgia,Barrow,5.727092290676503,Percent,13013,993
Georgia,Bartow,11.585265548570243,Percent,13015,994
Georgia,Ben Hill,12.208713527138483,Percent,13017,995
Georgia,Berrien,6.202227865473193,Percent,13019,996
Georgia,Bibb,7.745138603645843,Percent,13021,997
Georgia,Bleckley,2.781676306578328,Percent,13023,998
Georgia,Brantley,5.5217227521575145,Percent,13025,999
Georgia,Brooks,3.940972466243638,Percent,13027,565
Georgia,Bryan,1.916185218346833,Percent,13029,573
Georgia,Bulloch,10.187304781377089,Percent,13031,579
Georgia,Burke,5.461851987947846,Percent,13033,583
Georgia,Butts,1.2231379881029676,Percent,13035,588
Georgia,Calhoun,9.325714964499046,Percent,13037,592
Georgia,Camden,11.219549803951775,Percent,13039,603
Georgia,Candler,3.761538998727132,Percent,13043,616
Georgia,Carroll,10.687321146231689,Percent,13045,620
Georgia,Catoosa,11.080922435642645,Percent,13047,626
Georgia,Charlton,11.047830829214856,Percent,13049,635
Georgia,Chatham,5.866539094242479,Percent,13051,646
Georgia,Chattahoochee,21.712733804559154,Percent,13053,656
Georgia,Chattooga,3.8505969982779167,Percent,13055,659
Georgia,Cherokee,5.968438474046589,Percent,13057,662
Georgia,Clarke,21.395262661918707,Percent,13059,666
Georgia,Clay,1.062391011197336,Percent,13061,670
Georgia,Clayton,14.26130876963716,Percent,13063,673
Georgia,Clinch,2.991931753816578,Percent,13065,676
Georgia,Cobb,8.64401886337934,Percent,13067,680
Georgia,Coffee,8.041171080363986,Percent,13069,684
Georgia,Colquitt,8.182154474573673,Percent,13071,689
Georgia,Columbia,2.217675630409978,Percent,13073,692
Georgia,Cook,5.439195427847484,Percent,13075,697
Georgia,Coweta,6.8431327634006225,Percent,13077,700
Georgia,Crawford,0.040953337884793745,Percent,13079,704
Georgia,Crisp,19.007201669256155,Percent,13081,707
Georgia,Dade,1.3907413429824684,Percent,13083,708
Georgia,Dawson,0.0,Percent,13085,713
Georgia,Decatur,6.794312824489944,Percent,13087,714
Georgia,DeKalb,8.50154787960316,Percent,13089,718
Georgia,Dodge,1.1527048956633557,Percent,13091,720
Georgia,Dooly,15.40868574380118,Percent,13093,724
Georgia,Dougherty,20.55538777876244,Percent,13095,728
Georgia,Douglas,10.06048018902555,Percent,13097,731
Georgia,Early,5.540939599831913,Percent,13099,735
Georgia,Echols,2.697442204206396,Percent,13101,737
Georgia,Effingham,4.005106907544173,Percent,13103,742
Georgia,Elbert,8.117206140747347,Percent,13105,746
Georgia,Emanuel,15.515010973272721,Percent,13107,750
Georgia,Evans,1.9144767818456545,Percent,13109,754
Georgia,Fannin,0.038286209330751796,Percent,13111,755
Georgia,Fayette,6.799889347613294,Percent,13113,760
Georgia,Floyd,9.92252376311239,Percent,13115,764
Georgia,Forsyth,3.636495117127524,Percent,13117,768
Georgia,Franklin,1.4061901383880004,Percent,13119,772
Georgia,Fulton,6.435660816088437,Percent,13121,779
Georgia,Gilmer,2.2480506504331434,Percent,13123,781
Georgia,Glascock,29.19871773863676,Percent,13125,783
Georgia,Glynn,8.80563774932453,Percent,13127,793
Georgia,Gordon,5.746022360932392,Percent,13129,796
Georgia,Grady,5.372358895033865,Percent,13131,797
Georgia,Greene,1.7033589665945166,Percent,13133,800
Georgia,Gwinnett,7.675397368611411,Percent,13135,804
Georgia,Habersham,10.850318130614253,Percent,13137,806
Georgia,Hall,9.902249987903874,Percent,13139,808
Georgia,Hancock,17.963359563609608,Percent,13141,810
Georgia,Haralson,1.800412057239277,Percent,13143,813
Georgia,Harris,0.19123826862435517,Percent,13145,814
Georgia,Hart,1.9214179596416334,Percent,13147,816
Georgia,Heard,1.486222663177176,Percent,13149,817
Georgia,Henry,7.552758079425417,Percent,13151,820
Georgia,Houston,9.40979883774439,Percent,13153,823
Georgia,Irwin,2.6624528332176243,Percent,13155,825
Georgia,Jackson,0.4607720107569679,Percent,13157,828
Georgia,Jasper,2.947939806515345,Percent,13159,830
Georgia,Jeff Davis,5.903827696832678,Percent,13161,832
Georgia,Jefferson,0.9791810321222033,Percent,13163,834
Georgia,Jenkins,6.9905040562221705,Percent,13165,835
Georgia,Johnson,7.595194808032706,Percent,13167,837
Georgia,Jones,3.3106020277467367,Percent,13169,839
Georgia,Lamar,2.045378570452312,Percent,13171,841
Georgia,Lanier,2.435281303307938,Percent,13173,845
Georgia,Laurens,4.840890553584568,Percent,13175,847
