State,County,WIC redemptions per WIC-authorized stores 2011 (REDEMP_WICS11),Units,FIPS,FID
Colorado,Morgan,169211.609375,Dollars/store,8087,775
Colorado,Otero,110322.1640625,Dollars/store,8089,777
Colorado,Ouray,5991.544921875,Dollars/store,8091,780
Colorado,Park,20598.91015625,Dollars/store,8093,782
Colorado,Phillips,47367.37890625,Dollars/store,8095,785
Colorado,Pitkin,5826.009765625,Dollars/store,8097,789
Colorado,Prowers,88990.0859375,Dollars/store,8099,792
Colorado,Pueblo,231840.546875,Dollars/store,8101,795
Colorado,Rio Blanco,34806.71484375,Dollars/store,8103,799
Colorado,Rio Grande,93272.7734375,Dollars/store,8105,802
Colorado,Routt,39359.51171875,Dollars/store,8107,809
Colorado,Saguache,60452.421875,Dollars/store,8109,811
Colorado,San Juan,0,Dollars/store,8111,347
Colorado,San Miguel,27579.720703125,Dollars/store,8113,359
Colorado,Sedgwick,32979.71875,Dollars/store,8115,366
Colorado,Summit,84848.125,Dollars/store,8117,373
Colorado,Teller,37792.3046875,Dollars/store,8119,375
Colorado,Washington,33010.05859375,Dollars/store,8121,377
Colorado,Weld,186034.390625,Dollars/store,8123,382
Colorado,Yuma,69024.0625,Dollars/store,8125,385
Connecticut,Fairfield,75536.359375,Dollars/store,9001,410
Connecticut,Hartford,64488.640625,Dollars/store,9003,432
Connecticut,Litchfield,54621.51171875,Dollars/store,9005,443
Connecticut,Middlesex,39335.25390625,Dollars/store,9007,450
Connecticut,New Haven,73138.390625,Dollars/store,9009,466
Connecticut,New London,76981.921875,Dollars/store,9011,517
Connecticut,Tolland,38597.6015625,Dollars/store,9013,524
Connecticut,Windham,64118.98828125,Dollars/store,9015,529
Delaware,Kent,92241.6328125,Dollars/store,10001,532
Delaware,New Castle,88826.0390625,Dollars/store,10003,536
Delaware,Sussex,78887.4765625,Dollars/store,10005,609
District of Columbia,District of Columbia,319009.375,Dollars/store,11001,630
Florida,Alachua,152122.8125,Dollars/store,12001,639
Florida,Baker,176473.3125,Dollars/store,12003,641
Florida,Bay,156587.671875,Dollars/store,12005,658
Florida,Bradford,240729.5,Dollars/store,12007,665
Florida,Brevard,135193.171875,Dollars/store,12009,686
Florida,Broward,179779.640625,Dollars/store,12011,695
Florida,Calhoun,100082.0,Dollars/store,12013,699
Florida,Charlotte,99717.875,Dollars/store,12015,743
Florida,Citrus,116714.890625,Dollars/store,12017,843
Florida,Clay,106870.3671875,Dollars/store,12019,852
Florida,Collier,160697.109375,Dollars/store,12021,894
Florida,Columbia,208693.8125,Dollars/store,12023,903
Florida,DeSoto,188342.359375,Dollars/store,12027,906
Florida,Dixie,112136.53125,Dollars/store,12029,918
Florida,Duval,176704.921875,Dollars/store,12031,924
Florida,Escambia,208203.59375,Dollars/store,12033,931
Florida,Flagler,128137.0859375,Dollars/store,12035,935
Florida,Franklin,42032.22265625,Dollars/store,12037,937
Florida,Gadsden,146774.9375,Dollars/store,12039,938
Florida,Gilchrist,79755.328125,Dollars/store,12041,939
Florida,Glades,66699.4296875,Dollars/store,12043,940
Florida,Gulf,68492.8515625,Dollars/store,12045,941
Florida,Hamilton,143710.90625,Dollars/store,12047,942
Florida,Hardee,186713.1875,Dollars/store,12049,943
Florida,Hendry,199590.203125,Dollars/store,12051,944
Florida,Hernando,127754.328125,Dollars/store,12053,945
Florida,Highlands,184628.328125,Dollars/store,12055,946
Florida,Hillsborough,177055.390625,Dollars/store,12057,947
Florida,Holmes,158908.484375,Dollars/store,12059,948
Florida,Indian River,149838.421875,Dollars/store,12061,949
Florida,Jackson,108840.8984375,Dollars/store,12063,950
Florida,Jefferson,205463.359375,Dollars/store,12065,951
Florida,Lafayette,96471.2265625,Dollars/store,12067,952
Florida,Lake,147864.921875,Dollars/store,12069,953
Florida,Lee,151042.796875,Dollars/store,12071,954
Florida,Leon,133848.671875,Dollars/store,12073,955
Florida,Levy,159135.609375,Dollars/store,12075,956
Florida,Liberty,112778.8671875,Dollars/store,12077,957
Florida,Madison,154089.671875,Dollars/store,12079,958
Florida,Manatee,158348.28125,Dollars/store,12081,959
Florida,Marion,175839.53125,Dollars/store,12083,960
Florida,Martin,292184.59375,Dollars/store,12085,961
Florida,Miami-Dade,210671.28125,Dollars/store,12086,962
Florida,Monroe,82115.8515625,Dollars/store,12087,963
Florida,Nassau,112222.703125,Dollars/store,12089,964
Florida,Okaloosa,146104.953125,Dollars/store,12091,965
Florida,Okeechobee,172123.828125,Dollars/store,12093,966
Florida,Orange,200983.21875,Dollars/store,12095,967
Florida,Osceola,221939.0,Dollars/store,12097,968
Florida,Palm Beach,143088.046875,Dollars/store,12099,969
Florida,Pasco,118453.8515625,Dollars/store,12101,970
Florida,Pinellas,97946.1484375,Dollars/store,12103,971
Florida,Polk,207663.28125,Dollars/store,12105,972
Florida,Putnam,226285.109375,Dollars/store,12107,973
Florida,St. Johns,73041.84375,Dollars/store,12109,974
Florida,St. Lucie,245287.28125,Dollars/store,12111,975
Florida,Santa Rosa,142607.140625,Dollars/store,12113,976
Florida,Sarasota,79693.5078125,Dollars/store,12115,977
Florida,Seminole,119544.4921875,Dollars/store,12117,978
Florida,Sumter,84949.03125,Dollars/store,12119,979
Florida,Suwannee,194514.46875,Dollars/store,12121,980
Florida,Taylor,133494.8125,Dollars/store,12123,981
Florida,Union,162185.671875,Dollars/store,12125,982
Florida,Volusia,135288.953125,Dollars/store,12127,983
Florida,Wakulla,108356.3828125,Dollars/store,12129,984
Florida,Walton,90034.6484375,Dollars/store,12131,985
Florida,Washington,145410.21875,Dollars/store,12133,986
Georgia,Appling,125990.5,Dollars/store,13001,987
Georgia,Atkinson,106352.0,Dollars/store,13003,988
Georgia,Bacon,93770.75,Dollars/store,13005,989
Georgia,Baker,57333.0,Dollars/store,13007,990
Georgia,Baldwin,159020.5,Dollars/store,13009,991
Georgia,Banks,0,Dollars/store,13011,992
Georgia,Barrow,87618.5,Dollars/store,13013,993
Georgia,Bartow,124986.6015625,Dollars/store,13015,994
Georgia,Ben Hill,100731.375,Dollars/store,13017,995
Georgia,Berrien,76648.203125,Dollars/store,13019,996
Georgia,Bibb,203366.9375,Dollars/store,13021,997
Georgia,Bleckley,108995.6640625,Dollars/store,13023,998
Georgia,Brantley,165849.5,Dollars/store,13025,999
Georgia,Brooks,90924.0,Dollars/store,13027,565
Georgia,Bryan,70715.0,Dollars/store,13029,573
Georgia,Bulloch,210082.578125,Dollars/store,13031,579
Georgia,Burke,117178.6015625,Dollars/store,13033,583
Georgia,Butts,89296.3984375,Dollars/store,13035,588
Georgia,Calhoun,38502.5,Dollars/store,13037,592
Georgia,Camden,135282.203125,Dollars/store,13039,603
Georgia,Candler,187060.5,Dollars/store,13043,616
Georgia,Carroll,139989.9375,Dollars/store,13045,620
Georgia,Catoosa,106098.2734375,Dollars/store,13047,626
Georgia,Charlton,90261.3359375,Dollars/store,13049,635
Georgia,Chatham,110453.28125,Dollars/store,13051,646
Georgia,Chattahoochee,322102.5,Dollars/store,13053,656
Georgia,Chattooga,81709.4296875,Dollars/store,13055,659
Georgia,Cherokee,141243.125,Dollars/store,13057,662
Georgia,Clarke,122188.765625,Dollars/store,13059,666
Georgia,Clay,83697.0,Dollars/store,13061,670
Georgia,Clayton,310645.3125,Dollars/store,13063,673
Georgia,Clinch,84850.3359375,Dollars/store,13065,676
Georgia,Cobb,145008.59375,Dollars/store,13067,680
Georgia,Coffee,110157.609375,Dollars/store,13069,684
Georgia,Colquitt,163964.0,Dollars/store,13071,689
Georgia,Columbia,75893.2265625,Dollars/store,13073,692
Georgia,Cook,145989.5,Dollars/store,13075,697
Georgia,Coweta,95543.9453125,Dollars/store,13077,700
Georgia,Crawford,125367.0,Dollars/store,13079,704
Georgia,Crisp,144095.421875,Dollars/store,13081,707
Georgia,Dade,57962.5,Dollars/store,13083,708
Georgia,Dawson,165637.0,Dollars/store,13085,713
Georgia,Decatur,114981.140625,Dollars/store,13087,714
Georgia,DeKalb,225751.765625,Dollars/store,13089,718
Georgia,Dodge,112940.3984375,Dollars/store,13091,720
Georgia,Dooly,96475.6640625,Dollars/store,13093,724
Georgia,Dougherty,123934.546875,Dollars/store,13095,728
Georgia,Douglas,157792.1875,Dollars/store,13097,731
Georgia,Early,75948.0,Dollars/store,13099,735
Georgia,Echols,50845.0,Dollars/store,13101,737
Georgia,Effingham,94679.5703125,Dollars/store,13103,742
Georgia,Elbert,94277.0,Dollars/store,13105,746
Georgia,Emanuel,112013.140625,Dollars/store,13107,750
Georgia,Evans,204642.5,Dollars/store,13109,754
Georgia,Fannin,56625.33203125,Dollars/store,13111,755
Georgia,Fayette,85040.96875,Dollars/store,13113,760
Georgia,Floyd,128301.578125,Dollars/store,13115,764
Georgia,Forsyth,62101.2265625,Dollars/store,13117,768
Georgia,Franklin,87294.5,Dollars/store,13119,772
Georgia,Fulton,379554.15625,Dollars/store,13121,779
Georgia,Gilmer,125390.3359375,Dollars/store,13123,781
Georgia,Glascock,3974.0,Dollars/store,13125,783
Georgia,Glynn,125922.1875,Dollars/store,13127,793
Georgia,Gordon,175911.21875,Dollars/store,13129,796
Georgia,Grady,191502.25,Dollars/store,13131,797
Georgia,Greene,85762.0,Dollars/store,13133,800
Georgia,Gwinnett,168578.828125,Dollars/store,13135,804
Georgia,Habersham,121060.140625,Dollars/store,13137,806
Georgia,Hall,159103.46875,Dollars/store,13139,808
Georgia,Hancock,187881.0,Dollars/store,13141,810
Georgia,Haralson,54352.24609375,Dollars/store,13143,813
Georgia,Harris,27279.0,Dollars/store,13145,814
Georgia,Hart,91085.6640625,Dollars/store,13147,816
Georgia,Heard,105014.0,Dollars/store,13149,817
Georgia,Henry,139941.6875,Dollars/store,13151,820
Georgia,Houston,131566.0,Dollars/store,13153,823
Georgia,Irwin,153052.0,Dollars/store,13155,825
Georgia,Jackson,104749.296875,Dollars/store,13157,828
Georgia,Jasper,78815.3359375,Dollars/store,13159,830
Georgia,Jeff Davis,138654.5,Dollars/store,13161,832
Georgia,Jefferson,82075.6640625,Dollars/store,13163,834
Georgia,Jenkins,223479.0,Dollars/store,13165,835
Georgia,Johnson,81202.5,Dollars/store,13167,837
Georgia,Jones,97624.6640625,Dollars/store,13169,839
Georgia,Lamar,122175.0,Dollars/store,13171,841
Georgia,Lanier,217000.0,Dollars/store,13173,845
Georgia,Laurens,129862.0859375,Dollars/store,13175,847
Georgia,Lee,114489.5703125,Dollars/store,13177,849
Georgia,Liberty,319278.0,Dollars/store,13179,855
Georgia,Lincoln,102740.0,Dollars/store,13181,857
Georgia,Long,97564.0,Dollars/store,13183,860
Georgia,Lowndes,198544.125,Dollars/store,13185,863
Georgia,Lumpkin,92261.0,Dollars/store,13187,865
Georgia,McDuffie,115622.6015625,Dollars/store,13189,868
Georgia,McIntosh,138179.0,Dollars/store,13191,871
Georgia,Macon,103025.75,Dollars/store,13193,874
Georgia,Madison,112117.75,Dollars/store,13195,875
Georgia,Marion,77753.6640625,Dollars/store,13197,877
Georgia,Meriwether,86981.203125,Dollars/store,13199,879
Georgia,Miller,62225.5,Dollars/store,13201,881
Georgia,Mitchell,109562.0,Dollars/store,13205,883
Georgia,Monroe,94469.75,Dollars/store,13207,885
Georgia,Montgomery,18190.5,Dollars/store,13209,887
Georgia,Morgan,93431.0,Dollars/store,13211,890
Georgia,Murray,151631.0,Dollars/store,13213,892
Georgia,Muscogee,152789.0,Dollars/store,13215,896
