State,County,Vegetable acres harvested for fresh market per 1000 pop 2012 (FRESHVEG_ACRESPTH12),Units,FIPS,FID
California,Butte,0.8363282927601093,"Acres/1,000 pop",6007.0,486
California,Calaveras,0.9831303764942464,"Acres/1,000 pop",6009.0,489
California,Colusa,155.7323350491343,"Acres/1,000 pop",6011.0,497
California,Contra Costa,nan,"Acres/1,000 pop",6013.0,503
California,Del Norte,1.914825715400163,"Acres/1,000 pop",6015.0,511
California,El Dorado,1.174001406586591,"Acres/1,000 pop",6017.0,522
California,Fresno,70.11405351620164,"Acres/1,000 pop",6019.0,527
California,Glenn,nan,"Acres/1,000 pop",6021.0,537
California,Humboldt,4.4097013429545,"Acres/1,000 pop",6023.0,551
California,Imperial,592.8687689023807,"Acres/1,000 pop",6025.0,557
California,Inyo,nan,"Acres/1,000 pop",6027.0,562
California,Kern,70.2751419605499,"Acres/1,000 pop",6029.0,84
California,Kings,35.17833876760074,"Acres/1,000 pop",6031.0,94
California,Lake,1.688185825491606,"Acres/1,000 pop",6033.0,100
California,Lassen,18.70879610381897,"Acres/1,000 pop",6035.0,104
California,Los Angeles,1.7461623543845024,"Acres/1,000 pop",6037.0,139
California,Madera,21.451104100946374,"Acres/1,000 pop",6039.0,153
California,Marin,0.7265029040586514,"Acres/1,000 pop",6041.0,168
California,Mariposa,0.056006720806496775,"Acres/1,000 pop",6043.0,178
California,Mendocino,3.81618335961244,"Acres/1,000 pop",6045.0,190
California,Merced,137.0078078445154,"Acres/1,000 pop",6047.0,204
California,Modoc,152.14829101039322,"Acres/1,000 pop",6049.0,207
California,Mono,nan,"Acres/1,000 pop",6051.0,214
California,Monterey,579.9911359367416,"Acres/1,000 pop",6053.0,228
California,Napa,0.5033979360684621,"Acres/1,000 pop",6055.0,236
California,Nevada,2.095881491128113,"Acres/1,000 pop",6057.0,243
California,Orange,nan,"Acres/1,000 pop",6059.0,257
California,Placer,0.43741262129202835,"Acres/1,000 pop",6061.0,266
California,Plumas,1.3453378867846424,"Acres/1,000 pop",6063.0,275
California,Riverside,15.629602973421605,"Acres/1,000 pop",6065.0,281
California,Sacramento,1.1066880410033788,"Acres/1,000 pop",6067.0,289
California,San Benito,150.42629867276085,"Acres/1,000 pop",6069.0,295
California,San Bernardino,0.4943434224914717,"Acres/1,000 pop",6071.0,302
California,San Diego,0.6148806132978767,"Acres/1,000 pop",6073.0,315
