State,County,Direct farm sales per capita 2007 (PC_DIRSALES07),Units,FIPS,FID
Florida,Gadsden,1.6133603680205812,Dollars,12039.0,938
Florida,Gilchrist,6.080674292594822,Dollars,12041.0,939
Florida,Glades,7.121469612365461,Dollars,12043.0,940
Florida,Gulf,nan,Dollars,12045.0,941
Florida,Hamilton,4.729590787579683,Dollars,12047.0,942
Florida,Hardee,6.802721088435374,Dollars,12049.0,943
Florida,Hendry,0.9742090960365072,Dollars,12051.0,944
Florida,Hernando,3.302117239877333,Dollars,12053.0,945
Florida,Highlands,1.363319632812579,Dollars,12055.0,946
Florida,Hillsborough,1.9912449374771037,Dollars,12057.0,947
Florida,Holmes,6.502926316842579,Dollars,12059.0,948
Florida,Indian River,3.477898992301061,Dollars,12061.0,949
Florida,Jackson,5.251405888190539,Dollars,12063.0,950
Florida,Jefferson,7.717444204964194,Dollars,12065.0,951
Florida,Lafayette,5.477494641581329,Dollars,12067.0,952
Florida,Lake,1.7867675718932492,Dollars,12069.0,953
Florida,Lee,0.9409375640796671,Dollars,12071.0,954
Florida,Leon,0.07448262506563781,Dollars,12073.0,955
Florida,Levy,6.690876529698538,Dollars,12075.0,956
Florida,Liberty,9.614199433008752,Dollars,12077.0,957
Florida,Madison,7.29738122347583,Dollars,12079.0,958
Florida,Manatee,2.948705793116526,Dollars,12081.0,959
Florida,Marion,1.787282654759638,Dollars,12083.0,960
Florida,Martin,0.7593596299340959,Dollars,12085.0,961
Florida,Miami-Dade,0.7919436192444369,Dollars,12086.0,962
Florida,Monroe,0.0,Dollars,12087.0,963
Florida,Nassau,0.800354442681759,Dollars,12089.0,964
Florida,Okaloosa,1.2535787209117732,Dollars,12091.0,965
Florida,Okeechobee,16.34036144578313,Dollars,12093.0,966
Florida,Orange,0.13264732256830655,Dollars,12095.0,967
Florida,Osceola,0.2364792962376144,Dollars,12097.0,968
Florida,Palm Beach,0.7414972648544287,Dollars,12099.0,969
Florida,Pasco,0.8135297269053462,Dollars,12101.0,970
Florida,Pinellas,nan,Dollars,12103.0,971
Florida,Polk,1.8072227474564064,Dollars,12105.0,972
Florida,Putnam,2.4232095543691,Dollars,12107.0,973
Florida,St. Johns,0.25097251850922325,Dollars,12109.0,974
Florida,St. Lucie,0.4234430038222289,Dollars,12111.0,975
Florida,Santa Rosa,1.2247020347842745,Dollars,12113.0,976
Florida,Sarasota,0.23712782255378673,Dollars,12115.0,977
Florida,Seminole,0.5150264404419072,Dollars,12117.0,978
Florida,Sumter,3.666216002241142,Dollars,12119.0,979
Florida,Suwannee,3.0266193654022673,Dollars,12121.0,980
Florida,Taylor,1.008942903003898,Dollars,12123.0,981
Florida,Union,4.085868084830404,Dollars,12125.0,982
Florida,Volusia,0.8999168228326335,Dollars,12127.0,983
Florida,Wakulla,1.853924723660277,Dollars,12129.0,984
Florida,Walton,0.8786171330340942,Dollars,12131.0,985
Florida,Washington,2.9826579743491415,Dollars,12133.0,986
Georgia,Appling,4.114539894356408,Dollars,13001.0,987
Georgia,Atkinson,1.557632398753894,Dollars,13003.0,988
Georgia,Bacon,1.8234865061998542,Dollars,13005.0,989
Georgia,Baker,0.0,Dollars,13007.0,990
Georgia,Baldwin,1.056278519520027,Dollars,13009.0,991
Georgia,Banks,1.8233618233618234,Dollars,13011.0,992
Georgia,Barrow,0.20074119827053738,Dollars,13013.0,993
Georgia,Bartow,0.5641807885993689,Dollars,13015.0,994
Georgia,Ben Hill,0.7336757153338225,Dollars,13017.0,995
Georgia,Berrien,8.600383456587236,Dollars,13019.0,996
Georgia,Bibb,nan,Dollars,13021.0,997
Georgia,Bleckley,1.7670559311616472,Dollars,13023.0,998
Georgia,Brantley,6.337946272822421,Dollars,13025.0,999
Georgia,Brooks,3.489867140145717,Dollars,13027.0,565
Georgia,Bryan,0.35333192000565333,Dollars,13029.0,573
Georgia,Bulloch,4.014110205571098,Dollars,13031.0,579
Georgia,Burke,5.310813163851646,Dollars,13033.0,583
Georgia,Butts,0.21566597653554176,Dollars,13035.0,588
Georgia,Calhoun,nan,Dollars,13037.0,592
Georgia,Camden,0.20430261303042066,Dollars,13039.0,603
Georgia,Candler,3.6841110901190253,Dollars,13043.0,616
Georgia,Carroll,0.7710171000578263,Dollars,13045.0,620
Georgia,Catoosa,2.3665232894673722,Dollars,13047.0,626
Georgia,Charlton,nan,Dollars,13049.0,635
Georgia,Chatham,0.0,Dollars,13051.0,646
Georgia,Chattahoochee,0.0,Dollars,13053.0,656
Georgia,Chattooga,1.105604269919939,Dollars,13055.0,659
Georgia,Cherokee,0.5184058772414882,Dollars,13057.0,662
Georgia,Clarke,nan,Dollars,13059.0,666
Georgia,Clay,0.0,Dollars,13061.0,670
Georgia,Clayton,nan,Dollars,13063.0,673
Georgia,Clinch,nan,Dollars,13065.0,676
Georgia,Cobb,0.0909852961795125,Dollars,13067.0,680
Georgia,Coffee,0.5327005496501126,Dollars,13069.0,684
Georgia,Colquitt,4.388246737089733,Dollars,13071.0,689
Georgia,Columbia,0.11297078401724107,Dollars,13073.0,692
Georgia,Cook,0.29677113010446343,Dollars,13075.0,697
Georgia,Coweta,0.30468194590202785,Dollars,13077.0,700
Georgia,Crawford,nan,Dollars,13079.0,704
Georgia,Crisp,nan,Dollars,13081.0,707
Georgia,Dade,1.9221528111484862,Dollars,13083.0,708
Georgia,Dawson,0.23246083035008602,Dollars,13085.0,713
Georgia,Decatur,0.14345658645052542,Dollars,13087.0,714
Georgia,DeKalb,0.0,Dollars,13089.0,718
Georgia,Dodge,0.23557126030624265,Dollars,13091.0,720
Georgia,Dooly,3.8941371601644192,Dollars,13093.0,724
Georgia,Dougherty,0.09521592856689448,Dollars,13095.0,728
