State,County,Direct farm sales (%) 2007 (PCT_LOCLSALE07),Units,FIPS,FID
Florida,Duval,nan,Percent,12031.0,924
Florida,Escambia,1.267724668983003,Percent,12033.0,931
Florida,Flagler,0.022766078542970976,Percent,12035.0,935
Florida,Franklin,nan,Percent,12037.0,937
Florida,Gadsden,0.07706005477512001,Percent,12039.0,938
Florida,Gilchrist,0.13173340289552626,Percent,12041.0,939
Florida,Glades,0.10314474254837841,Percent,12043.0,940
Florida,Gulf,nan,Percent,12045.0,941
Florida,Hamilton,0.47860165082888256,Percent,12047.0,942
Florida,Hardee,0.08061769536857806,Percent,12049.0,943
Florida,Hendry,0.006696873088967959,Percent,12051.0,944
Florida,Hernando,1.5723975559168115,Percent,12053.0,945
Florida,Highlands,0.0414107888908657,Percent,12055.0,946
Florida,Hillsborough,0.48318381057719884,Percent,12057.0,947
Florida,Holmes,0.5401362805384743,Percent,12059.0,948
Florida,Indian River,0.3439077621745552,Percent,12061.0,949
Florida,Jackson,0.36450261179036797,Percent,12063.0,950
Florida,Jefferson,0.5022169939372003,Percent,12065.0,951
Florida,Lafayette,0.03317180108457367,Percent,12067.0,952
Florida,Lake,0.2747733650189106,Percent,12069.0,953
Florida,Lee,0.49026365672927796,Percent,12071.0,954
Florida,Leon,0.4523863379325944,Percent,12073.0,955
Florida,Levy,0.3553876235269249,Percent,12075.0,956
Florida,Liberty,6.678082191780822,Percent,12077.0,957
Florida,Madison,0.32518450184501846,Percent,12079.0,958
Florida,Manatee,0.29922451780915055,Percent,12081.0,959
Florida,Marion,0.3349852364754028,Percent,12083.0,960
Florida,Martin,0.06876624523683347,Percent,12085.0,961
Florida,Miami-Dade,0.28936620783542577,Percent,12086.0,962
Florida,Monroe,0.0,Percent,12087.0,963
Florida,Nassau,0.6711409395973155,Percent,12089.0,964
Florida,Okaloosa,nan,Percent,12091.0,965
Florida,Okeechobee,0.36653547962096517,Percent,12093.0,966
Florida,Orange,0.0540901007705987,Percent,12095.0,967
Florida,Osceola,0.0660095053687731,Percent,12097.0,968
Florida,Palm Beach,0.10239006751948793,Percent,12099.0,969
Florida,Pasco,0.33161087396090766,Percent,12101.0,970
Florida,Pinellas,nan,Percent,12103.0,971
Florida,Polk,0.2654428057229369,Percent,12105.0,972
Florida,Putnam,0.48479036812103776,Percent,12107.0,973
Florida,St. Johns,0.08227990126411848,Percent,12109.0,974
Florida,St. Lucie,0.07831830499781679,Percent,12111.0,975
Florida,Santa Rosa,0.8618199325950892,Percent,12113.0,976
Florida,Sarasota,0.2868099642293191,Percent,12115.0,977
Florida,Seminole,1.022661801421164,Percent,12117.0,978
Florida,Sumter,1.0230092104815962,Percent,12119.0,979
Florida,Suwannee,0.061685323949074215,Percent,12121.0,980
Florida,Taylor,0.5983138428066358,Percent,12123.0,981
Florida,Union,nan,Percent,12125.0,982
Florida,Volusia,0.35764068660639614,Percent,12127.0,983
Florida,Wakulla,3.216019417475728,Percent,12129.0,984
Florida,Walton,0.18004618576069514,Percent,12131.0,985
Florida,Washington,1.2150668286755772,Percent,12133.0,986
Georgia,Appling,0.09847758969445332,Percent,13001.0,987
Georgia,Atkinson,0.021649707728945658,Percent,13003.0,988
Georgia,Bacon,0.03435835767050335,Percent,13005.0,989
Georgia,Baker,0.0,Percent,13007.0,990
Georgia,Baldwin,0.8382229673093042,Percent,13009.0,991
Georgia,Banks,0.022187092658845716,Percent,13011.0,992
Georgia,Barrow,0.03125751382543881,Percent,13013.0,993
Georgia,Bartow,0.05747371109881221,Percent,13015.0,994
Georgia,Ben Hill,0.06468949044585987,Percent,13017.0,995
Georgia,Berrien,0.256989458521574,Percent,13019.0,996
Georgia,Bibb,nan,Percent,13021.0,997
Georgia,Bleckley,0.12075392450254634,Percent,13023.0,998
Georgia,Brantley,1.3129366417730668,Percent,13025.0,999
Georgia,Brooks,0.07015989069827554,Percent,13027.0,565
Georgia,Bryan,0.5353319057815845,Percent,13029.0,573
Georgia,Bulloch,0.4750935790382954,Percent,13031.0,579
Georgia,Burke,0.250647162756297,Percent,13033.0,583
Georgia,Butts,0.14204545454545456,Percent,13035.0,588
Georgia,Calhoun,nan,Percent,13037.0,592
Georgia,Camden,2.3474178403755865,Percent,13039.0,603
Georgia,Candler,0.1595614106865232,Percent,13043.0,616
Georgia,Carroll,0.054131384603487605,Percent,13045.0,620
Georgia,Catoosa,0.5052056664959891,Percent,13047.0,626
Georgia,Charlton,nan,Percent,13049.0,635
Georgia,Chatham,0.0,Percent,13051.0,646
Georgia,Chattahoochee,nan,Percent,13053.0,656
Georgia,Chattooga,0.2612377263309612,Percent,13055.0,659
Georgia,Cherokee,0.2592976737294414,Percent,13057.0,662
