State,County,Direct farm sales (% change) 2007 - 12 (PCH_DIRSALES_07_12),Units,FIPS,FID
Colorado,Otero,1628.8888888888887,% change,8089.0,777
Colorado,Ouray,-38.333333333333336,% change,8091.0,780
Colorado,Park,140.0,% change,8093.0,782
Colorado,Phillips,57.14285714285714,% change,8095.0,785
Colorado,Pitkin,5.88235294117647,% change,8097.0,789
Colorado,Prowers,100.0,% change,8099.0,792
Colorado,Pueblo,-3.7848605577689245,% change,8101.0,795
Colorado,Rio Blanco,105.88235294117648,% change,8103.0,799
Colorado,Rio Grande,-38.07531380753138,% change,8105.0,802
Colorado,Routt,191.1764705882353,% change,8107.0,809
Colorado,Saguache,nan,% change,8109.0,811
Colorado,San Juan,nan,% change,8111.0,347
Colorado,San Miguel,7.6923076923076925,% change,8113.0,359
Colorado,Sedgwick,250.0,% change,8115.0,366
Colorado,Summit,nan,% change,8117.0,373
Colorado,Teller,138.88888888888889,% change,8119.0,375
Colorado,Washington,-38.04347826086957,% change,8121.0,377
Colorado,Weld,-20.154334997730366,% change,8123.0,382
Colorado,Yuma,-48.4472049689441,% change,8125.0,385
Connecticut,Fairfield,6.111578357162882,% change,9001.0,410
Connecticut,Hartford,-19.54355512696882,% change,9003.0,432
Connecticut,Litchfield,50.80238422741862,% change,9005.0,443
Connecticut,Middlesex,-20.486475152023484,% change,9007.0,450
Connecticut,New Haven,5.9145989613387195,% change,9009.0,466
Connecticut,New London,31.502890173410403,% change,9011.0,517
Connecticut,Tolland,52.89795918367347,% change,9013.0,524
Connecticut,Windham,15.586272640610105,% change,9015.0,529
Delaware,Kent,-22.22222222222222,% change,10001.0,532
Delaware,New Castle,45.99406528189911,% change,10003.0,536
Delaware,Sussex,53.25476992143658,% change,10005.0,609
District of Columbia,District of Columbia,nan,% change,11001.0,630
Florida,Alachua,1.3254786450662739,% change,12001.0,639
Florida,Baker,276.3157894736842,% change,12003.0,641
Florida,Bay,-22.857142857142858,% change,12005.0,658
Florida,Bradford,-67.6056338028169,% change,12007.0,665
Florida,Brevard,33.45454545454545,% change,12009.0,686
Florida,Broward,62.33766233766234,% change,12011.0,695
Florida,Calhoun,-10.0,% change,12013.0,699
Florida,Charlotte,-36.53846153846153,% change,12015.0,743
Florida,Citrus,20.98765432098765,% change,12017.0,843
Florida,Clay,39.53488372093023,% change,12019.0,852
Florida,Collier,-94.28571428571428,% change,12021.0,894
Florida,Columbia,20.224719101123593,% change,12023.0,903
Florida,DeSoto,-47.038327526132406,% change,12027.0,906
Florida,Dixie,-47.368421052631575,% change,12029.0,918
Florida,Duval,40.98360655737705,% change,12031.0,924
Florida,Escambia,-26.41975308641975,% change,12033.0,931
Florida,Flagler,175.0,% change,12035.0,935
Florida,Franklin,nan,% change,12037.0,937
Florida,Gadsden,-21.62162162162162,% change,12039.0,938
Florida,Gilchrist,233.66336633663366,% change,12041.0,939
Florida,Glades,-71.5909090909091,% change,12043.0,940
Florida,Gulf,nan,% change,12045.0,941
Florida,Hamilton,-73.91304347826086,% change,12047.0,942
Florida,Hardee,-9.090909090909092,% change,12049.0,943
Florida,Hendry,260.5263157894737,% change,12051.0,944
Florida,Hernando,-58.110516934046345,% change,12053.0,945
Florida,Highlands,62.96296296296296,% change,12055.0,946
Florida,Hillsborough,-21.74650275540483,% change,12057.0,947
Florida,Holmes,-30.76923076923077,% change,12059.0,948
Florida,Indian River,-80.55555555555556,% change,12061.0,949
Florida,Jackson,211.0236220472441,% change,12063.0,950
Florida,Jefferson,28.82882882882883,% change,12065.0,951
Florida,Lafayette,-45.65217391304348,% change,12067.0,952
Florida,Lake,224.9034749034749,% change,12069.0,953
Florida,Lee,68.0140597539543,% change,12071.0,954
Florida,Leon,nan,% change,12073.0,955
Florida,Levy,-40.520446096654275,% change,12075.0,956
Florida,Liberty,-100.0,% change,12077.0,957
Florida,Madison,-73.75886524822694,% change,12079.0,958
Florida,Manatee,-35.79849946409432,% change,12081.0,959
