State,County,Greenhouse veg and fresh herb sq feet 2007 (GHVEG_SQFT07),Units,FIPS,FID
Georgia,Catoosa,0.0,Sq ft,13047.0,626
Georgia,Charlton,nan,Sq ft,13049.0,635
Georgia,Chatham,0.0,Sq ft,13051.0,646
Georgia,Chattahoochee,0.0,Sq ft,13053.0,656
Georgia,Chattooga,0.0,Sq ft,13055.0,659
Georgia,Cherokee,0.0,Sq ft,13057.0,662
Georgia,Clarke,nan,Sq ft,13059.0,666
Georgia,Clay,0.0,Sq ft,13061.0,670
Georgia,Clayton,nan,Sq ft,13063.0,673
Georgia,Clinch,0.0,Sq ft,13065.0,676
Georgia,Cobb,0.0,Sq ft,13067.0,680
Georgia,Coffee,0.0,Sq ft,13069.0,684
Georgia,Colquitt,0.0,Sq ft,13071.0,689
Georgia,Columbia,0.0,Sq ft,13073.0,692
Georgia,Cook,0.0,Sq ft,13075.0,697
Georgia,Coweta,nan,Sq ft,13077.0,700
Georgia,Crawford,0.0,Sq ft,13079.0,704
Georgia,Crisp,0.0,Sq ft,13081.0,707
Georgia,Dade,0.0,Sq ft,13083.0,708
Georgia,Dawson,0.0,Sq ft,13085.0,713
Georgia,Decatur,0.0,Sq ft,13087.0,714
Georgia,DeKalb,0.0,Sq ft,13089.0,718
Georgia,Dodge,0.0,Sq ft,13091.0,720
Georgia,Dooly,0.0,Sq ft,13093.0,724
Georgia,Dougherty,0.0,Sq ft,13095.0,728
Georgia,Douglas,0.0,Sq ft,13097.0,731
Georgia,Early,nan,Sq ft,13099.0,735
Georgia,Echols,0.0,Sq ft,13101.0,737
Georgia,Effingham,0.0,Sq ft,13103.0,742
Georgia,Elbert,nan,Sq ft,13105.0,746
Georgia,Emanuel,0.0,Sq ft,13107.0,750
Georgia,Evans,nan,Sq ft,13109.0,754
Georgia,Fannin,0.0,Sq ft,13111.0,755
Georgia,Fayette,0.0,Sq ft,13113.0,760
Georgia,Floyd,0.0,Sq ft,13115.0,764
Georgia,Forsyth,nan,Sq ft,13117.0,768
Georgia,Franklin,0.0,Sq ft,13119.0,772
Georgia,Fulton,0.0,Sq ft,13121.0,779
Georgia,Gilmer,nan,Sq ft,13123.0,781
Georgia,Glascock,0.0,Sq ft,13125.0,783
Georgia,Glynn,0.0,Sq ft,13127.0,793
Georgia,Gordon,0.0,Sq ft,13129.0,796
Georgia,Grady,0.0,Sq ft,13131.0,797
Georgia,Greene,0.0,Sq ft,13133.0,800
Georgia,Gwinnett,nan,Sq ft,13135.0,804
Georgia,Habersham,0.0,Sq ft,13137.0,806
Georgia,Hall,nan,Sq ft,13139.0,808
Georgia,Hancock,0.0,Sq ft,13141.0,810
Georgia,Haralson,0.0,Sq ft,13143.0,813
Georgia,Harris,0.0,Sq ft,13145.0,814
Georgia,Hart,0.0,Sq ft,13147.0,816
Georgia,Heard,0.0,Sq ft,13149.0,817
Georgia,Henry,0.0,Sq ft,13151.0,820
Georgia,Houston,0.0,Sq ft,13153.0,823
Georgia,Irwin,0.0,Sq ft,13155.0,825
Georgia,Jackson,0.0,Sq ft,13157.0,828
Georgia,Jasper,0.0,Sq ft,13159.0,830
Georgia,Jeff Davis,0.0,Sq ft,13161.0,832
Georgia,Jefferson,0.0,Sq ft,13163.0,834
Georgia,Jenkins,0.0,Sq ft,13165.0,835
Georgia,Johnson,0.0,Sq ft,13167.0,837
Georgia,Jones,0.0,Sq ft,13169.0,839
Georgia,Lamar,0.0,Sq ft,13171.0,841
Georgia,Lanier,0.0,Sq ft,13173.0,845
Georgia,Laurens,nan,Sq ft,13175.0,847
Georgia,Lee,0.0,Sq ft,13177.0,849
Georgia,Liberty,0.0,Sq ft,13179.0,855
Georgia,Lincoln,0.0,Sq ft,13181.0,857
Georgia,Long,0.0,Sq ft,13183.0,860
Georgia,Lowndes,0.0,Sq ft,13185.0,863
