State,County,SNAP benefits per capita (% change) 2012-17 (PCH_PC_SNAPBEN_12_17),Units,FIPS,FID
Colorado,Sedgwick,-11.998751640319824,% change,8115,366
Colorado,Summit,-19.720691680908203,% change,8117,373
Colorado,Teller,-17.25261878967285,% change,8119,375
Colorado,Washington,-17.261375427246094,% change,8121,377
Colorado,Weld,-24.6690731048584,% change,8123,382
Colorado,Yuma,-12.948169708251953,% change,8125,385
Connecticut,Fairfield,-5.736557483673096,% change,9001,410
Connecticut,Hartford,-4.030045986175537,% change,9003,432
Connecticut,Litchfield,-1.4780457019805908,% change,9005,443
Connecticut,Middlesex,-3.1337339878082275,% change,9007,450
Connecticut,New Haven,-3.8253133296966553,% change,9009,466
Connecticut,New London,-2.5054848194122314,% change,9011,517
Connecticut,Tolland,-4.046670436859131,% change,9013,524
Connecticut,Windham,-3.024456262588501,% change,9015,529
Delaware,Kent,-14.434976577758789,% change,10001,532
Delaware,New Castle,-9.5936918258667,% change,10003,536
Delaware,Sussex,-21.940296173095703,% change,10005,609
District of Columbia,District of Columbia,-18.542211532592773,% change,11001,630
Florida,Alachua,-2.7973711490631104,% change,12001,639
Florida,Baker,-5.311264991760254,% change,12003,641
Florida,Bay,-18.41948890686035,% change,12005,658
Florida,Bradford,-3.4285452365875244,% change,12007,665
Florida,Brevard,-8.077661514282227,% change,12009,686
Florida,Broward,0.888059139251709,% change,12011,695
Florida,Calhoun,-10.86917495727539,% change,12013,699
Florida,Charlotte,-26.045488357543945,% change,12015,743
Florida,Citrus,-8.633217811584473,% change,12017,843
Florida,Clay,-5.78120231628418,% change,12019,852
Florida,Collier,-38.78993225097656,% change,12021,894
Florida,Columbia,3.5018150806427,% change,12023,903
Florida,DeSoto,-18.010454177856445,% change,12027,906
Florida,Dixie,-0.6534215807914734,% change,12029,918
Florida,Duval,-1.6338294744491577,% change,12031,924
Florida,Escambia,-13.902019500732422,% change,12033,931
Florida,Flagler,-13.84754753112793,% change,12035,935
Florida,Franklin,-6.116428375244141,% change,12037,937
Florida,Gadsden,-16.278423309326172,% change,12039,938
Florida,Gilchrist,-5.2447662353515625,% change,12041,939
Florida,Glades,-3.54913330078125,% change,12043,940
Florida,Gulf,-17.927875518798828,% change,12045,941
Florida,Hamilton,-3.1653575897216797,% change,12047,942
Florida,Hardee,-1.43929123878479,% change,12049,943
Florida,Hendry,-2.51631498336792,% change,12051,944
Florida,Hernando,-8.816123962402344,% change,12053,945
Florida,Highlands,5.042405128479004,% change,12055,946
Florida,Hillsborough,-9.596758842468262,% change,12057,947
Florida,Holmes,-29.836318969726562,% change,12059,948
Florida,Indian River,-15.746781349182129,% change,12061,949
Florida,Jackson,-3.5471994876861572,% change,12063,950
Florida,Jefferson,-17.78926658630371,% change,12065,951
Florida,Lafayette,10.99509334564209,% change,12067,952
Florida,Lake,-11.451953887939453,% change,12069,953
Florida,Lee,-12.061373710632324,% change,12071,954
Florida,Leon,-10.745064735412598,% change,12073,955
Florida,Levy,-3.556457042694092,% change,12075,956
Florida,Liberty,-13.809141159057617,% change,12077,957
Florida,Madison,-4.764398097991943,% change,12079,958
Florida,Manatee,-24.328689575195312,% change,12081,959
Florida,Marion,-9.030292510986328,% change,12083,960
Florida,Martin,-13.410079956054688,% change,12085,961
Florida,Miami-Dade,10.617387771606445,% change,12086,962
Florida,Monroe,-13.487446784973145,% change,12087,963
Florida,Nassau,-20.29715347290039,% change,12089,964
Florida,Okaloosa,-14.351484298706055,% change,12091,965
