State,County,Asian low access to store (%) 2015 (PCT_LACCESS_NHASIAN15),Units,FIPS,FID
Colorado,Summit,0.16186439065153035,Percent,8117,373
Colorado,Teller,0.09075267319117858,Percent,8119,375
Colorado,Washington,0.12412230583910656,Percent,8121,377
Colorado,Weld,0.10975763455618036,Percent,8123,382
Colorado,Yuma,0.0383566138881391,Percent,8125,385
Connecticut,Fairfield,1.0126642025710126,Percent,9001,410
Connecticut,Hartford,1.1216856849977068,Percent,9003,432
Connecticut,Litchfield,0.3840188043320529,Percent,9005,443
Connecticut,Middlesex,0.7770593656049518,Percent,9007,450
Connecticut,New Haven,0.9211830364666803,Percent,9009,466
Connecticut,New London,1.5541052793621315,Percent,9011,517
Connecticut,Tolland,1.177181510864897,Percent,9013,524
Connecticut,Windham,0.2232825788514017,Percent,9015,529
Delaware,Kent,0.3572603965085084,Percent,10001,532
Delaware,New Castle,1.327416988453726,Percent,10003,536
Delaware,Sussex,0.13225575403062922,Percent,10005,609
District of Columbia,District of Columbia,0.03489710791520334,Percent,11001,630
Florida,Alachua,0.7523780554217301,Percent,12001,639
Florida,Baker,0.19079874349875567,Percent,12003,641
Florida,Bay,0.6997169540959776,Percent,12005,658
Florida,Bradford,0.023383968896083976,Percent,12007,665
Florida,Brevard,0.7765346198531808,Percent,12009,686
Florida,Broward,0.32410912517926094,Percent,12011,695
Florida,Calhoun,0.04600656487407863,Percent,12013,699
Florida,Charlotte,0.4719997445054782,Percent,12015,743
Florida,Citrus,0.39667375588513765,Percent,12017,843
Florida,Clay,0.5314591756175465,Percent,12019,852
Florida,Collier,0.28774230942753265,Percent,12021,894
Florida,Columbia,0.13321301936497623,Percent,12023,903
Florida,DeSoto,0.019812003728958465,Percent,12027,906
Florida,Dixie,0.024140952397791744,Percent,12029,918
Florida,Duval,1.119092266368882,Percent,12031,924
Florida,Escambia,1.1627376871951927,Percent,12033,931
Florida,Flagler,0.8878755962448869,Percent,12035,935
Florida,Franklin,0.000153170676446275,Percent,12037,937
Florida,Gadsden,0.021341656457921902,Percent,12039,938
Florida,Gilchrist,0.0,Percent,12041,939
Florida,Glades,0.22945651406551848,Percent,12043,940
Florida,Gulf,0.06670386572312109,Percent,12045,941
Florida,Hamilton,0.1459072754303061,Percent,12047,942
Florida,Hardee,0.332759713422917,Percent,12049,943
Florida,Hendry,0.04587358027841952,Percent,12051,944
Florida,Hernando,0.3640915243056772,Percent,12053,945
Florida,Highlands,0.6995123385449952,Percent,12055,946
Florida,Hillsborough,0.9411866746464606,Percent,12057,947
Florida,Holmes,0.03884037209916475,Percent,12059,948
Florida,Indian River,0.42400790507615266,Percent,12061,949
Florida,Jackson,0.062107627898860006,Percent,12063,950
Florida,Jefferson,0.04610201366059955,Percent,12065,951
Florida,Lafayette,0.0,Percent,12067,952
Florida,Lake,0.37981701783109023,Percent,12069,953
Florida,Lee,0.33367094067750513,Percent,12071,954
Florida,Leon,0.8849438106367451,Percent,12073,955
Florida,Levy,0.03363946206669297,Percent,12075,956
Florida,Liberty,0.05416362368133568,Percent,12077,957
Florida,Madison,0.03938257693477507,Percent,12079,958
Florida,Manatee,0.3285061266380853,Percent,12081,959
Florida,Marion,0.3744150065197255,Percent,12083,960
Florida,Martin,0.28204592108491366,Percent,12085,961
Florida,Miami-Dade,0.08936816712336712,Percent,12086,962
Florida,Monroe,0.2534673723088781,Percent,12087,963
Florida,Nassau,0.21103464215491172,Percent,12089,964
Florida,Okaloosa,1.049423874002627,Percent,12091,965
Florida,Okeechobee,0.3171729703118237,Percent,12093,966
Florida,Orange,0.9457058875375931,Percent,12095,967
Florida,Osceola,0.461637891541277,Percent,12097,968
Florida,Palm Beach,0.41078529337918873,Percent,12099,969
Florida,Pasco,0.4562837573040863,Percent,12101,970
Florida,Pinellas,0.39790253381633245,Percent,12103,971
Florida,Polk,0.4839103943605859,Percent,12105,972
Florida,Putnam,0.14100900285379483,Percent,12107,973
Florida,St. Johns,0.3424629481092602,Percent,12109,974
Florida,St. Lucie,0.5609441109074298,Percent,12111,975
Florida,Santa Rosa,0.8354038479473217,Percent,12113,976
Florida,Sarasota,0.30250069151369097,Percent,12115,977
Florida,Seminole,1.1125317183250418,Percent,12117,978
Florida,Sumter,0.08556340619264621,Percent,12119,979
Florida,Suwannee,0.06648109869617674,Percent,12121,980
Florida,Taylor,0.10850184494544661,Percent,12123,981
Florida,Union,0.036141627333030765,Percent,12125,982
Florida,Volusia,0.46816010428285276,Percent,12127,983
Florida,Wakulla,0.0005639774794079022,Percent,12129,984
Florida,Walton,0.11844325194292826,Percent,12131,985
Florida,Washington,0.20596270395858207,Percent,12133,986
Georgia,Appling,0.24920598989104187,Percent,13001,987
Georgia,Atkinson,0.04776119431393886,Percent,13003,988
Georgia,Bacon,0.05048942512354569,Percent,13005,989
Georgia,Baker,0.5474072744553318,Percent,13007,990
Georgia,Baldwin,0.25275786477231627,Percent,13009,991
Georgia,Banks,0.02018791998497434,Percent,13011,992
Georgia,Barrow,0.4724773982022705,Percent,13013,993
Georgia,Bartow,0.1998896367683507,Percent,13015,994
Georgia,Ben Hill,0.1806303225543229,Percent,13017,995
Georgia,Berrien,0.026576067957035,Percent,13019,996
Georgia,Bibb,0.3276857346707497,Percent,13021,997
Georgia,Bleckley,0.03110283054180816,Percent,13023,998
Georgia,Brantley,0.0,Percent,13025,999
Georgia,Brooks,0.01184802235899175,Percent,13027,565
Georgia,Bryan,0.3758990796052955,Percent,13029,573
Georgia,Bulloch,0.10604657776227353,Percent,13031,579
Georgia,Burke,0.015665162483981,Percent,13033,583
Georgia,Butts,0.009427155816663368,Percent,13035,588
Georgia,Calhoun,0.1047782403525139,Percent,13037,592
Georgia,Camden,0.659787753399994,Percent,13039,603
Georgia,Candler,0.0023524041903677036,Percent,13043,616
Georgia,Carroll,0.18890205154889755,Percent,13045,620
Georgia,Catoosa,0.4422351602906197,Percent,13047,626
Georgia,Charlton,0.07290031463235486,Percent,13049,635
Georgia,Chatham,0.4332059693709642,Percent,13051,646
Georgia,Chattahoochee,2.1245545091803675,Percent,13053,656
Georgia,Chattooga,0.023211538412182355,Percent,13055,659
Georgia,Cherokee,0.5611963260130957,Percent,13057,662
Georgia,Clarke,1.2256986657737545,Percent,13059,666
Georgia,Clay,0.1256676148619865,Percent,13061,670
Georgia,Clayton,1.8440668193601788,Percent,13063,673
Georgia,Clinch,0.05011521882609635,Percent,13065,676
Georgia,Cobb,1.5767549535623866,Percent,13067,680
Georgia,Coffee,0.18539678536151008,Percent,13069,684
Georgia,Colquitt,0.09045509623116467,Percent,13071,689
Georgia,Columbia,0.860424618888999,Percent,13073,692
Georgia,Cook,0.04545107829606245,Percent,13075,697
Georgia,Coweta,0.40240138536024334,Percent,13077,700
Georgia,Crawford,0.0,Percent,13079,704
Georgia,Crisp,0.00598675525707944,Percent,13081,707
Georgia,Dade,0.06270471541258582,Percent,13083,708
Georgia,Dawson,0.01144082912642069,Percent,13085,713
Georgia,Decatur,0.050000912819671714,Percent,13087,714
Georgia,DeKalb,0.544101991348032,Percent,13089,718
Georgia,Dodge,0.008439330443456322,Percent,13091,720
Georgia,Dooly,0.008431586268788241,Percent,13093,724
Georgia,Dougherty,0.24034051824911015,Percent,13095,728
Georgia,Douglas,0.3684645273500842,Percent,13097,731
Georgia,Early,0.011438355939516897,Percent,13099,735
Georgia,Echols,0.0,Percent,13101,737
Georgia,Effingham,0.08117861303468497,Percent,13103,742
Georgia,Elbert,0.19169889327058415,Percent,13105,746
Georgia,Emanuel,0.1476930579176042,Percent,13107,750
Georgia,Evans,0.03422603695947728,Percent,13109,754
Georgia,Fannin,0.001238900324688945,Percent,13111,755
Georgia,Fayette,1.0360841353251569,Percent,13113,760
Georgia,Floyd,0.4573999236834536,Percent,13115,764
Georgia,Forsyth,1.5970939903504566,Percent,13117,768
Georgia,Franklin,0.011127357541694303,Percent,13119,772
Georgia,Fulton,1.001868229850286,Percent,13121,779
Georgia,Gilmer,0.0005059751061939807,Percent,13123,781
Georgia,Glascock,0.032446463093751425,Percent,13125,783
Georgia,Glynn,0.23072276525322005,Percent,13127,793
Georgia,Gordon,0.1376099195435828,Percent,13129,796
Georgia,Grady,0.04756672940246052,Percent,13131,797
Georgia,Greene,0.006252344554265487,Percent,13133,800
Georgia,Gwinnett,2.979307465074697,Percent,13135,804
Georgia,Habersham,0.7525694572280197,Percent,13137,806
Georgia,Hall,0.49706693755146314,Percent,13139,808
Georgia,Hancock,0.06713254830807605,Percent,13141,810
Georgia,Haralson,0.022500933874773837,Percent,13143,813
Georgia,Harris,0.009545576114806833,Percent,13145,814
Georgia,Hart,0.1253791366896736,Percent,13147,816
Georgia,Heard,0.04967543566079289,Percent,13149,817
Georgia,Henry,0.9407005506288582,Percent,13151,820
Georgia,Houston,0.7400397591716728,Percent,13153,823
Georgia,Irwin,0.09435940667452569,Percent,13155,825
Georgia,Jackson,0.031080061901319837,Percent,13157,828
Georgia,Jasper,0.05564734105224072,Percent,13159,830
Georgia,Jeff Davis,0.027550144508340653,Percent,13161,832
Georgia,Jefferson,0.04677216467802292,Percent,13163,834
Georgia,Jenkins,0.024580624760752515,Percent,13165,835
Georgia,Johnson,0.020040080248536173,Percent,13167,837
Georgia,Jones,0.004425953943466218,Percent,13169,839
Georgia,Lamar,0.019939371540566193,Percent,13171,841
Georgia,Lanier,0.030195457779690217,Percent,13173,845
Georgia,Laurens,0.11698948750264195,Percent,13175,847
Georgia,Lee,0.4698755563975581,Percent,13177,849
