State,County,Population low access to store (% change) 2010 -15 (PCH_LACCESS_POP_10_15),Units,FIPS,FID
Florida,Hillsborough,-2.9919134878245925,% change,12057,947
Florida,Holmes,-15.632693926041513,% change,12059,948
Florida,Indian River,-19.274590345632976,% change,12061,949
Florida,Jackson,-19.59615712194874,% change,12063,950
Florida,Jefferson,0.0,% change,12065,951
Florida,Lafayette,-19.11604624614385,% change,12067,952
Florida,Lake,-9.320217646213337,% change,12069,953
Florida,Lee,-8.235839681156373,% change,12071,954
Florida,Leon,-6.599243083337337,% change,12073,955
Florida,Levy,-17.60500771728794,% change,12075,956
Florida,Liberty,-0.35708224835534597,% change,12077,957
Florida,Madison,-5.289665438383814,% change,12079,958
Florida,Manatee,-5.628283739809426,% change,12081,959
Florida,Marion,8.736442372809716,% change,12083,960
Florida,Martin,-6.002185846798456,% change,12085,961
Florida,Miami-Dade,-18.141564012180336,% change,12086,962
Florida,Monroe,-16.97439338536284,% change,12087,963
Florida,Nassau,-2.1116339046698083,% change,12089,964
Florida,Okaloosa,-1.1120025488927785,% change,12091,965
Florida,Okeechobee,9.478618850620306,% change,12093,966
Florida,Orange,-4.820596503860551,% change,12095,967
Florida,Osceola,8.444547695988474,% change,12097,968
Florida,Palm Beach,-16.149291260443235,% change,12099,969
Florida,Pasco,6.133569385448773,% change,12101,970
Florida,Pinellas,-18.379676094822035,% change,12103,971
Florida,Polk,4.047739350350288,% change,12105,972
Florida,Putnam,-2.5977410137532613,% change,12107,973
Florida,St. Johns,0.5620695575343906,% change,12109,974
Florida,St. Lucie,3.767110689808985,% change,12111,975
Florida,Santa Rosa,-0.02630548783522915,% change,12113,976
Florida,Sarasota,-4.100374267742908,% change,12115,977
Florida,Seminole,-15.447795270558718,% change,12117,978
Florida,Sumter,18.454908928262657,% change,12119,979
Florida,Suwannee,-1.4808879085970055,% change,12121,980
Florida,Taylor,21.99129033625479,% change,12123,981
Florida,Union,-5.488615225669564,% change,12125,982
Florida,Volusia,13.944109259381152,% change,12127,983
Florida,Wakulla,6.141606237563314,% change,12129,984
Florida,Walton,-32.81555065606835,% change,12131,985
Florida,Washington,-10.74558735640328,% change,12133,986
Georgia,Appling,0.43206812239093545,% change,13001,987
Georgia,Atkinson,-0.28430731312197743,% change,13003,988
Georgia,Bacon,73.73127387205777,% change,13005,989
Georgia,Baker,-1.3122307903711943,% change,13007,990
Georgia,Baldwin,-7.812281010846648,% change,13009,991
Georgia,Banks,-63.0776419656914,% change,13011,992
Georgia,Barrow,-11.820480813164778,% change,13013,993
Georgia,Bartow,-2.7791479551140306,% change,13015,994
Georgia,Ben Hill,2.8307959710984285,% change,13017,995
Georgia,Berrien,39.80445736672012,% change,13019,996
Georgia,Bibb,8.337279721533987,% change,13021,997
Georgia,Bleckley,-4.977833699839416,% change,13023,998
Georgia,Brantley,-71.80962389899119,% change,13025,999
Georgia,Brooks,0.0,% change,13027,565
Georgia,Bryan,84.43027353357907,% change,13029,573
Georgia,Bulloch,-58.57631695285943,% change,13031,579
Georgia,Burke,-21.283584286516614,% change,13033,583
Georgia,Butts,16.44271321760032,% change,13035,588
Georgia,Calhoun,-1.091182959878658,% change,13037,592
Georgia,Camden,20.91736095601823,% change,13039,603
Georgia,Candler,-44.00019608816849,% change,13043,616
Georgia,Carroll,-12.024726421055497,% change,13045,620
Georgia,Catoosa,-11.704724859072407,% change,13047,626
Georgia,Charlton,-38.99452365422468,% change,13049,635
Georgia,Chatham,11.84218321571338,% change,13051,646
Georgia,Chattahoochee,26.03874638011044,% change,13053,656
Georgia,Chattooga,-30.03880644103894,% change,13055,659
Georgia,Cherokee,-0.0915074614990322,% change,13057,662
Georgia,Clarke,-5.10623100266458,% change,13059,666
Georgia,Clay,4584.874528619641,% change,13061,670
Georgia,Clayton,-3.492319539508463,% change,13063,673
Georgia,Clinch,37.086273234403386,% change,13065,676
Georgia,Cobb,-3.458128263940716,% change,13067,680
Georgia,Coffee,-2.032713283577702,% change,13069,684
Georgia,Colquitt,-6.347241564636502,% change,13071,689
Georgia,Columbia,6.754032923228706,% change,13073,692
Georgia,Cook,3.7620257112252213,% change,13075,697
Georgia,Coweta,-0.42423891694183047,% change,13077,700
Georgia,Crawford,787.6797412651077,% change,13079,704
Georgia,Crisp,-70.23408276998624,% change,13081,707
Georgia,Dade,34.01160116196796,% change,13083,708
Georgia,Dawson,nan,% change,13085,713
Georgia,Decatur,-14.309240450424978,% change,13087,714
Georgia,DeKalb,-7.470059860240314,% change,13089,718
Georgia,Dodge,35.306254316403574,% change,13091,720
Georgia,Dooly,-94.99589514358469,% change,13093,724
Georgia,Dougherty,-6.234103881034258,% change,13095,728
Georgia,Douglas,1.2478232830623825,% change,13097,731
Georgia,Early,4.1006286511575905,% change,13099,735
Georgia,Echols,0.0,% change,13101,737
Georgia,Effingham,9.812076170232036,% change,13103,742
Georgia,Elbert,58.27758290011494,% change,13105,746
Georgia,Emanuel,-10.832990255163645,% change,13107,750
Georgia,Evans,42.15085014687748,% change,13109,754
Georgia,Fannin,823.0816897814442,% change,13111,755
Georgia,Fayette,-17.21055735083184,% change,13113,760
Georgia,Floyd,-10.632402490397645,% change,13115,764
Georgia,Forsyth,-9.624286047050276,% change,13117,768
Georgia,Franklin,-72.33710087669145,% change,13119,772
Georgia,Fulton,8.282302232478319,% change,13121,779
Georgia,Gilmer,66.1535425498323,% change,13123,781
Georgia,Glascock,-0.842455598215224,% change,13125,783
Georgia,Glynn,-3.6067107219845322,% change,13127,793
Georgia,Gordon,15.375945948007638,% change,13129,796
Georgia,Grady,2.818467172241622,% change,13131,797
