State,County,Children low access to store (% change) 2010 - 15 (LACCESS_CHILD_10_15),Units,FIPS,FID
Florida,Madison,-4.516127765909276,% change,12079,958
Florida,Manatee,-3.990267554266136,% change,12081,959
Florida,Marion,7.612166028441054,% change,12083,960
Florida,Martin,-6.179556699621253,% change,12085,961
Florida,Miami-Dade,-18.611851941770517,% change,12086,962
Florida,Monroe,-22.212164485440212,% change,12087,963
Florida,Nassau,-3.907691277308948,% change,12089,964
Florida,Okaloosa,0.15797341427520853,% change,12091,965
Florida,Okeechobee,10.63411913874205,% change,12093,966
Florida,Orange,-3.398876577375778,% change,12095,967
Florida,Osceola,8.43917642535348,% change,12097,968
Florida,Palm Beach,-16.12199748195366,% change,12099,969
Florida,Pasco,6.577093660599164,% change,12101,970
Florida,Pinellas,-18.280464468285533,% change,12103,971
Florida,Polk,5.373026672765412,% change,12105,972
Florida,Putnam,-3.0112744704247736,% change,12107,973
Florida,St. Johns,0.1224178273901847,% change,12109,974
Florida,St. Lucie,8.328839337443496,% change,12111,975
Florida,Santa Rosa,-0.21537853305862548,% change,12113,976
Florida,Sarasota,-3.8967386485921733,% change,12115,977
Florida,Seminole,-14.746603253999407,% change,12117,978
Florida,Sumter,39.83501331776482,% change,12119,979
Florida,Suwannee,-1.407360901825431,% change,12121,980
Florida,Taylor,12.419474398870237,% change,12123,981
Florida,Union,-12.590955541424176,% change,12125,982
Florida,Volusia,13.944688662621482,% change,12127,983
Florida,Wakulla,1.4981147653460085,% change,12129,984
Florida,Walton,-41.15027711223183,% change,12131,985
Florida,Washington,-12.750173347370394,% change,12133,986
Georgia,Appling,0.6395989480785574,% change,13001,987
Georgia,Atkinson,-0.034022836041928704,% change,13003,988
Georgia,Bacon,99.18512081944891,% change,13005,989
Georgia,Baker,-1.4913429452443592,% change,13007,990
Georgia,Baldwin,-8.043895584423169,% change,13009,991
Georgia,Banks,-59.98636401950597,% change,13011,992
Georgia,Barrow,-10.974487672482864,% change,13013,993
Georgia,Bartow,-4.614650343065952,% change,13015,994
Georgia,Ben Hill,2.324045149567835,% change,13017,995
Georgia,Berrien,41.71114999413394,% change,13019,996
Georgia,Bibb,9.91709690340793,% change,13021,997
Georgia,Bleckley,-4.048686072818959,% change,13023,998
Georgia,Brantley,-73.85211453285841,% change,13025,999
Georgia,Brooks,0.0,% change,13027,565
Georgia,Bryan,101.33790072031866,% change,13029,573
Georgia,Bulloch,-43.93879307423189,% change,13031,579
Georgia,Burke,-21.69553467102038,% change,13033,583
Georgia,Butts,15.196217678203979,% change,13035,588
Georgia,Calhoun,-1.6318488069928443,% change,13037,592
Georgia,Camden,14.302532736965137,% change,13039,603
Georgia,Candler,-40.089558282892234,% change,13043,616
Georgia,Carroll,-8.671515555035567,% change,13045,620
Georgia,Catoosa,-12.786360314646597,% change,13047,626
Georgia,Charlton,-36.529845083529416,% change,13049,635
Georgia,Chatham,11.395278843906363,% change,13051,646
Georgia,Chattahoochee,55.83387062329878,% change,13053,656
Georgia,Chattooga,-16.430174976957222,% change,13055,659
Georgia,Cherokee,-0.08859821677280134,% change,13057,662
Georgia,Clarke,-8.396333927107632,% change,13059,666
Georgia,Clay,8282.707749903071,% change,13061,670
Georgia,Clayton,-4.117319101622064,% change,13063,673
Georgia,Clinch,35.55906744389319,% change,13065,676
Georgia,Cobb,-2.9139779236153416,% change,13067,680
Georgia,Coffee,-2.9786596128453713,% change,13069,684
Georgia,Colquitt,-8.255744100033612,% change,13071,689
Georgia,Columbia,9.261259531769433,% change,13073,692
Georgia,Cook,2.2364096311952495,% change,13075,697
Georgia,Coweta,1.5119170988120463,% change,13077,700
Georgia,Crawford,1470.6146082973003,% change,13079,704
Georgia,Crisp,-72.58364750589762,% change,13081,707
Georgia,Dade,36.15889480821078,% change,13083,708
Georgia,Dawson,0,% change,13085,713
Georgia,Decatur,-16.414048230295506,% change,13087,714
Georgia,DeKalb,-7.728826860481211,% change,13089,718
Georgia,Dodge,26.377557836948206,% change,13091,720
Georgia,Dooly,-95.29806809692266,% change,13093,724
Georgia,Dougherty,-5.361763750511277,% change,13095,728
Georgia,Douglas,0.844522519172383,% change,13097,731
Georgia,Early,-2.149133991043816,% change,13099,735
Georgia,Echols,0.0,% change,13101,737
Georgia,Effingham,5.2551876937739,% change,13103,742
Georgia,Elbert,67.66812924455321,% change,13105,746
Georgia,Emanuel,-11.24224060853054,% change,13107,750
Georgia,Evans,31.945598201756543,% change,13109,754
Georgia,Fannin,994.555311723565,% change,13111,755
Georgia,Fayette,-16.883788486981103,% change,13113,760
Georgia,Floyd,-11.349856462001192,% change,13115,764
Georgia,Forsyth,-8.03105498266067,% change,13117,768
Georgia,Franklin,-43.98398777907826,% change,13119,772
Georgia,Fulton,9.081330252098631,% change,13121,779
Georgia,Gilmer,54.64962552778525,% change,13123,781
Georgia,Glascock,-1.0756973647617514,% change,13125,783
Georgia,Glynn,-7.048187222516698,% change,13127,793
Georgia,Gordon,18.32612125612195,% change,13129,796
Georgia,Grady,3.1697854663852736,% change,13131,797
Georgia,Greene,-1.9956785923865277,% change,13133,800
Georgia,Gwinnett,-9.716745416774435,% change,13135,804
Georgia,Habersham,-17.548830615898627,% change,13137,806
Georgia,Hall,-6.002621117426134,% change,13139,808
