State,County,White low access to store (%) 2015 (PCT_LACCESS_WHITE15),Units,FIPS,FID
California,Del Norte,23.98057073849752,Percent,6015,511
California,El Dorado,25.28599582687083,Percent,6017,522
California,Fresno,4.906773031619969,Percent,6019,527
California,Glenn,6.69163427316688,Percent,6021,537
California,Humboldt,13.176661414201881,Percent,6023,551
California,Imperial,10.834375553738253,Percent,6025,557
California,Inyo,31.28316886124334,Percent,6027,562
California,Kern,9.63936009099763,Percent,6029,84
California,Kings,9.953398961115752,Percent,6031,94
California,Lake,14.483472787240794,Percent,6033,100
California,Lassen,30.20336117921737,Percent,6035,104
California,Los Angeles,3.787132595393093,Percent,6037,139
California,Madera,12.613135491922117,Percent,6039,153
California,Marin,10.283225306550005,Percent,6041,168
California,Mariposa,15.173935079396909,Percent,6043,178
California,Mendocino,13.38942514693856,Percent,6045,190
California,Merced,9.400116797659866,Percent,6047,204
California,Modoc,22.310530056203284,Percent,6049,207
California,Mono,42.76046404322532,Percent,6051,214
California,Monterey,8.377296307421341,Percent,6053,228
California,Napa,8.747576080470091,Percent,6055,236
California,Nevada,24.58514772224191,Percent,6057,243
California,Orange,4.865297782372721,Percent,6059,257
California,Placer,13.298507812415766,Percent,6061,266
California,Plumas,7.023540142846153,Percent,6063,275
California,Riverside,12.886411971775008,Percent,6065,281
California,Sacramento,8.365580026727812,Percent,6067,289
California,San Benito,13.230849458361217,Percent,6069,295
California,San Bernardino,13.3835904982307,Percent,6071,302
California,San Diego,10.234292112218604,Percent,6073,315
California,San Francisco,0.20933468902382532,Percent,6075,331
California,San Joaquin,6.284852930513157,Percent,6077,339
California,San Luis Obispo,13.144224369714951,Percent,6079,351
California,San Mateo,6.844392731013096,Percent,6081,368
California,Santa Barbara,10.360251829672206,Percent,6083,391
California,Santa Clara,3.9716026658762704,Percent,6085,406
California,Santa Cruz,10.448229390954639,Percent,6087,415
California,Shasta,20.219956974058732,Percent,6089,431
California,Sierra,82.44832870746235,Percent,6091,439
California,Siskiyou,16.279548412804946,Percent,6093,446
California,Solano,8.912357504295116,Percent,6095,453
California,Sonoma,12.417805310025336,Percent,6097,463
California,Stanislaus,7.882032795777709,Percent,6099,473
California,Sutter,20.825169017926047,Percent,6101,483
California,Tehama,16.597606232528715,Percent,6103,492
California,Trinity,15.17312850984593,Percent,6105,500
California,Tulare,7.765332496426335,Percent,6107,501
California,Tuolumne,26.18348453047864,Percent,6109,513
California,Ventura,12.04392586424192,Percent,6111,521
California,Yolo,4.369888840934538,Percent,6113,525
California,Yuba,13.159498780048478,Percent,6115,541
Colorado,Adams,11.136084435177818,Percent,8001,545
Colorado,Alamosa,4.951227292807886,Percent,8003,549
Colorado,Arapahoe,9.430069943595697,Percent,8005,558
Colorado,Archuleta,24.335841509738827,Percent,8007,560
Colorado,Baca,23.41765348882183,Percent,8009,563
Colorado,Bent,20.2744450375667,Percent,8011,564
Colorado,Boulder,12.885451006937505,Percent,8013,570
Colorado,Broomfield,25.56384774855446,Percent,8014,577
Colorado,Chaffee,9.599146746358471,Percent,8015,582
Colorado,Cheyenne,30.34552775650893,Percent,8017,587
Colorado,Clear Creek,13.037816544657902,Percent,8019,591
Colorado,Conejos,4.521433650326393,Percent,8021,596
Colorado,Costilla,67.97035871792508,Percent,8023,599
Colorado,Crowley,7.302869468894143,Percent,8025,605
Colorado,Custer,24.810210713225146,Percent,8027,610
Colorado,Delta,7.303585203142253,Percent,8029,617
Colorado,Denver,4.372871521358192,Percent,8031,628
Colorado,Dolores,93.02325560290068,Percent,8033,636
Colorado,Douglas,17.525028158365018,Percent,8035,644
Colorado,Eagle,12.848129585215759,Percent,8037,648
Colorado,Elbert,24.638976982463443,Percent,8039,655
Colorado,El Paso,21.57471025605138,Percent,8041,661
Colorado,Fremont,31.647669732894666,Percent,8043,664
Colorado,Garfield,11.972288975549734,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,2.7335714850439197,Percent,8049,677
Colorado,Gunnison,11.529970369859893,Percent,8051,682
Colorado,Hinsdale,11.010002267752087,Percent,8053,688
Colorado,Huerfano,33.06590671427403,Percent,8055,693
Colorado,Jackson,25.68584799762066,Percent,8057,701
Colorado,Jefferson,20.67623517047702,Percent,8059,706
Colorado,Kiowa,96.2804006504671,Percent,8061,711
Colorado,Kit Carson,10.463458061453592,Percent,8063,716
Colorado,Lake,14.882571802485362,Percent,8065,721
Colorado,La Plata,13.128331188616338,Percent,8067,727
Colorado,Larimer,17.35634648201689,Percent,8069,734
Colorado,Las Animas,33.216415223033536,Percent,8071,741
Colorado,Lincoln,21.201097564413757,Percent,8073,747
Colorado,Logan,18.48380820950544,Percent,8075,749
Colorado,Mesa,28.236055271423975,Percent,8077,751
Colorado,Mineral,12.469692437513062,Percent,8079,757
Colorado,Moffat,21.403437715998404,Percent,8081,758
Colorado,Montezuma,9.220285388158448,Percent,8083,766
Colorado,Montrose,16.377014732087993,Percent,8085,769
Colorado,Morgan,8.665355753736673,Percent,8087,775
Colorado,Otero,22.689402568223567,Percent,8089,777
Colorado,Ouray,6.005246198529757,Percent,8091,780
Colorado,Park,51.10387497690719,Percent,8093,782
Colorado,Phillips,4.619756582665894,Percent,8095,785
Colorado,Pitkin,8.585426179985888,Percent,8097,789
Colorado,Prowers,19.1840919854214,Percent,8099,792
Colorado,Pueblo,29.552348178832666,Percent,8101,795
Colorado,Rio Blanco,8.169677141715585,Percent,8103,799
Colorado,Rio Grande,11.191753990411701,Percent,8105,802
Colorado,Routt,21.08966555142303,Percent,8107,809
Colorado,Saguache,18.69141943125933,Percent,8109,811
Colorado,San Juan,91.83929206775079,Percent,8111,347
Colorado,San Miguel,9.49125786416009,Percent,8113,359
Colorado,Sedgwick,17.057911627193487,Percent,8115,366
Colorado,Summit,16.278222863381476,Percent,8117,373
Colorado,Teller,12.218771543254219,Percent,8119,375
Colorado,Washington,48.78025567398359,Percent,8121,377
Colorado,Weld,12.19603632276895,Percent,8123,382
Colorado,Yuma,21.299864944091006,Percent,8125,385
Connecticut,Fairfield,26.229440641804956,Percent,9001,410
Connecticut,Hartford,24.618526958106806,Percent,9003,432
Connecticut,Litchfield,17.098452055269078,Percent,9005,443
Connecticut,Middlesex,28.401542634171456,Percent,9007,450
Connecticut,New Haven,25.162746071533615,Percent,9009,466
Connecticut,New London,29.891950280278124,Percent,9011,517
Connecticut,Tolland,31.098411979493946,Percent,9013,524
Connecticut,Windham,14.27856586481153,Percent,9015,529
Delaware,Kent,11.17708869112322,Percent,10001,532
Delaware,New Castle,15.546895376616805,Percent,10003,536
Delaware,Sussex,11.23287475118887,Percent,10005,609
District of Columbia,District of Columbia,0.7700298090776005,Percent,11001,630
Florida,Alachua,10.2085415280913,Percent,12001,639
Florida,Baker,26.837080232278037,Percent,12003,641
Florida,Bay,28.443232651204603,Percent,12005,658
Florida,Bradford,3.937778174876964,Percent,12007,665
Florida,Brevard,33.790446779826304,Percent,12009,686
Florida,Broward,6.473852881939184,Percent,12011,695
Florida,Calhoun,14.923679472069882,Percent,12013,699
Florida,Charlotte,37.6748640522063,Percent,12015,743
Florida,Citrus,29.18678725715193,Percent,12017,843
Florida,Clay,20.682633627772194,Percent,12019,852
Florida,Collier,24.055410314088483,Percent,12021,894
Florida,Columbia,12.935888669261894,Percent,12023,903
Florida,DeSoto,6.667378601893007,Percent,12027,906
Florida,Dixie,8.949483319098466,Percent,12029,918
Florida,Duval,15.197911470579212,Percent,12031,924
Florida,Escambia,25.819923054820393,Percent,12033,931
Florida,Flagler,27.83298599320714,Percent,12035,935
Florida,Franklin,2.3044132365075853,Percent,12037,937
Florida,Gadsden,1.678818221135614,Percent,12039,938
Florida,Gilchrist,0.438734842318628,Percent,12041,939
Florida,Glades,36.84298662319101,Percent,12043,940
Florida,Gulf,17.24604575497882,Percent,12045,941
Florida,Hamilton,16.105510619121766,Percent,12047,942
Florida,Hardee,24.107652690571886,Percent,12049,943
Florida,Hendry,10.299592404892948,Percent,12051,944
Florida,Hernando,32.325089864338864,Percent,12053,945
Florida,Highlands,27.155478160178465,Percent,12055,946
Florida,Hillsborough,18.60500380039431,Percent,12057,947
Florida,Holmes,14.947304360924024,Percent,12059,948
Florida,Indian River,30.864529385522793,Percent,12061,949
Florida,Jackson,4.335844119317091,Percent,12063,950
Florida,Jefferson,9.583470460157983,Percent,12065,951
Florida,Lafayette,6.2151652077982416,Percent,12067,952
Florida,Lake,22.6057119510918,Percent,12069,953
Florida,Lee,20.910382739549803,Percent,12071,954
Florida,Leon,20.21497104906061,Percent,12073,955
Florida,Levy,7.358991640023578,Percent,12075,956
Florida,Liberty,23.810090290193784,Percent,12077,957
Florida,Madison,13.447709033088639,Percent,12079,958
Florida,Manatee,18.95989451426837,Percent,12081,959
Florida,Marion,22.18366693061081,Percent,12083,960
Florida,Martin,27.81135650982456,Percent,12085,961
Florida,Miami-Dade,4.154037473786059,Percent,12086,962
Florida,Monroe,26.115471561182108,Percent,12087,963
Florida,Nassau,21.4480172279596,Percent,12089,964
Florida,Okaloosa,28.335630431613524,Percent,12091,965
Florida,Okeechobee,35.59984555310156,Percent,12093,966
Florida,Orange,12.64243592178513,Percent,12095,967
Florida,Osceola,15.23878702991183,Percent,12097,968
Florida,Palm Beach,13.550687766787842,Percent,12099,969
Florida,Pasco,21.3092098016375,Percent,12101,970
Florida,Pinellas,11.78600912909523,Percent,12103,971
Florida,Polk,26.309951633328293,Percent,12105,972
Florida,Putnam,17.050790403432174,Percent,12107,973
Florida,St. Johns,22.592314920630397,Percent,12109,974
Florida,St. Lucie,27.779039083790718,Percent,12111,975
Florida,Santa Rosa,36.30221683836773,Percent,12113,976
Florida,Sarasota,24.761021495182817,Percent,12115,977
Florida,Seminole,21.64021668475317,Percent,12117,978
Florida,Sumter,11.577037201619461,Percent,12119,979
Florida,Suwannee,13.587442100956679,Percent,12121,980
Florida,Taylor,25.25592441322902,Percent,12123,981
Florida,Union,15.758731844407725,Percent,12125,982
Florida,Volusia,29.441924227161525,Percent,12127,983
Florida,Wakulla,1.2256017107839778,Percent,12129,984
Florida,Walton,11.334875658815271,Percent,12131,985
Florida,Washington,31.52627048613151,Percent,12133,986
Georgia,Appling,16.821661170711835,Percent,13001,987
Georgia,Atkinson,12.734409619191403,Percent,13003,988
Georgia,Bacon,8.432687531569846,Percent,13005,989
Georgia,Baker,38.26808290822428,Percent,13007,990
Georgia,Baldwin,7.60404370145748,Percent,13009,991
Georgia,Banks,2.6382858541526066,Percent,13011,992
Georgia,Barrow,10.64893255242513,Percent,13013,993
Georgia,Bartow,26.046096533478043,Percent,13015,994
Georgia,Ben Hill,14.874556675499207,Percent,13017,995
Georgia,Berrien,15.784111926655136,Percent,13019,996
Georgia,Bibb,11.710902700733218,Percent,13021,997
Georgia,Bleckley,5.5457620797121026,Percent,13023,998
Georgia,Brantley,4.0436597462286406,Percent,13025,999
Georgia,Brooks,5.311599335057644,Percent,13027,565
Georgia,Bryan,20.217644230568816,Percent,13029,573
Georgia,Bulloch,4.373251288784924,Percent,13031,579
Georgia,Burke,3.48474720226137,Percent,13033,583
Georgia,Butts,2.006902843677836,Percent,13035,588
Georgia,Calhoun,5.1146296898914105,Percent,13037,592
Georgia,Camden,31.768695888504144,Percent,13039,603
Georgia,Candler,1.601299489081533,Percent,13043,616
Georgia,Carroll,14.592301556891076,Percent,13045,620
Georgia,Catoosa,32.70798261525398,Percent,13047,626
Georgia,Charlton,13.264251898014379,Percent,13049,635
Georgia,Chatham,13.767142338029931,Percent,13051,646
Georgia,Chattahoochee,66.54084623389917,Percent,13053,656
Georgia,Chattooga,4.158402624776859,Percent,13055,659
Georgia,Cherokee,25.308478699418462,Percent,13057,662
Georgia,Clarke,19.173417883396766,Percent,13059,666
Georgia,Clay,22.513952010311655,Percent,13061,670
Georgia,Clayton,7.451694256779905,Percent,13063,673
Georgia,Clinch,7.821941679592026,Percent,13065,676
Georgia,Cobb,25.282615947873786,Percent,13067,680
Georgia,Coffee,10.469465127070002,Percent,13069,684
Georgia,Colquitt,12.694852117356412,Percent,13071,689
Georgia,Columbia,13.546936264075113,Percent,13073,692
Georgia,Cook,7.483831503565246,Percent,13075,697
Georgia,Coweta,19.295352673335138,Percent,13077,700
Georgia,Crawford,0.09964943900038639,Percent,13079,704
Georgia,Crisp,3.334433754267665,Percent,13081,707
Georgia,Dade,5.299856714193038,Percent,13083,708
Georgia,Dawson,0.5048571856569593,Percent,13085,713
Georgia,Decatur,8.181237452241936,Percent,13087,714
Georgia,DeKalb,4.730387985741799,Percent,13089,718
