State,County,SNAP-authorized stores per 1000 pop (% change) 2012-17 (PCH_SNAPSPTH_12_17),Units,FIPS,FID
Georgia,Henry,-2.4859812085464332,% change,13151,820
Georgia,Houston,0.5356166300399955,% change,13153,823
Georgia,Irwin,-13.15727070726588,% change,13155,825
Georgia,Jackson,-1.6645172242115578,% change,13157,828
Georgia,Jasper,5.522308329526892,% change,13159,830
Georgia,Jeff Davis,-16.67105548723142,% change,13161,832
Georgia,Jefferson,-0.5655392077021956,% change,13163,834
Georgia,Jenkins,20.099724616663114,% change,13165,835
Georgia,Johnson,-1.8386136457870454,% change,13167,837
Georgia,Jones,-24.244653425320255,% change,13169,839
Georgia,Lamar,-13.701453483162188,% change,13171,841
Georgia,Lanier,-23.114756602361425,% change,13173,845
Georgia,Laurens,-7.823840068188276,% change,13175,847
Georgia,Lee,16.820589304323672,% change,13177,849
Georgia,Liberty,8.218879440480489,% change,13179,855
Georgia,Lincoln,25.458967851099846,% change,13181,857
Georgia,Long,-27.968139628513306,% change,13183,860
Georgia,Lowndes,4.3368680448633015,% change,13185,863
Georgia,Lumpkin,-1.2858955566937134,% change,13187,865
Georgia,McDuffie,19.840228700021363,% change,13189,868
Georgia,McIntosh,10.09806701639968,% change,13191,871
Georgia,Macon,-5.56879697784011,% change,13193,874
Georgia,Madison,-0.8359816722185874,% change,13195,875
Georgia,Marion,-17.528994082840246,% change,13197,877
Georgia,Meriwether,-7.258749193059309,% change,13199,879
Georgia,Miller,-7.05098259055093,% change,13201,881
Georgia,Mitchell,-17.77123194513765,% change,13205,883
Georgia,Monroe,-9.455018570254028,% change,13207,885
Georgia,Montgomery,-14.20122425882041,% change,13209,887
Georgia,Morgan,22.863046850133177,% change,13211,890
Georgia,Murray,-6.8626987378241004,% change,13213,892
Georgia,Muscogee,11.153817506434615,% change,13215,896
Georgia,Newton,-4.522909111515354,% change,13217,899
Georgia,Oconee,-10.207329171281444,% change,13219,901
Georgia,Oglethorpe,-17.71802493181212,% change,13221,905
Georgia,Paulding,-6.150593522833658,% change,13223,908
Georgia,Peach,4.098683079300254,% change,13225,910
Georgia,Pickens,-14.109878977550256,% change,13227,912
Georgia,Pierce,-19.096945137204735,% change,13229,915
Georgia,Pike,7.695164544107144,% change,13231,7
Georgia,Polk,-8.27217559234697,% change,13233,8
Georgia,Pulaski,-13.264323204225184,% change,13235,11
Georgia,Putnam,19.65882793075252,% change,13237,13
Georgia,Quitman,-63.48030838175534,% change,13239,16
Georgia,Rabun,-20.160864152913298,% change,13241,18
Georgia,Randolph,50.38979874020587,% change,13243,23
Georgia,Richmond,-1.7880964807853463,% change,13245,24
Georgia,Rockdale,-6.731696700139802,% change,13247,28
Georgia,Schley,-48.948142464351946,% change,13249,31
Georgia,Screven,1.784562459686094,% change,13251,34
Georgia,Seminole,-20.13345014802835,% change,13253,38
Georgia,Spalding,0.7473353367043047,% change,13255,41
Georgia,Stephens,5.936295016071871,% change,13257,45
Georgia,Stewart,23.74807987711211,% change,13259,48
Georgia,Sumter,0.7396417380816012,% change,13261,52
Georgia,Talbot,-24.036635985214417,% change,13263,57
Georgia,Taliaferro,11.793611793611799,% change,13265,60
