State,County,Children low access to store (%) 2015 (PCT_LACCESS_CHILD15),Units,FIPS,FID
Florida,Suwannee,3.7529940278956224,Percent,12121,980
Florida,Taylor,5.444963382427914,Percent,12123,981
Florida,Union,2.477406212091651,Percent,12125,982
Florida,Volusia,6.475373170783776,Percent,12127,983
Florida,Wakulla,0.1915841457715366,Percent,12129,984
Florida,Walton,2.525446967855894,Percent,12131,985
Florida,Washington,6.989628423371225,Percent,12133,986
Georgia,Appling,4.619673650924495,Percent,13001,987
Georgia,Atkinson,6.610547033749421,Percent,13003,988
Georgia,Bacon,3.568179791039807,Percent,13005,989
Georgia,Baker,16.914668759089626,Percent,13007,990
Georgia,Baldwin,3.751135059157218,Percent,13009,991
Georgia,Banks,1.0202291045941996,Percent,13011,992
Georgia,Barrow,3.617805752494226,Percent,13013,993
Georgia,Bartow,8.737064735353295,Percent,13015,994
Georgia,Ben Hill,6.173245192256607,Percent,13017,995
Georgia,Berrien,4.8455574028884945,Percent,13019,996
Georgia,Bibb,6.624622458077366,Percent,13021,997
Georgia,Bleckley,1.7393312299771722,Percent,13023,998
Georgia,Brantley,1.0995862859585193,Percent,13025,999
Georgia,Brooks,2.187636658718063,Percent,13027,565
Georgia,Bryan,8.031341386883538,Percent,13029,573
Georgia,Bulloch,1.4634244510166485,Percent,13031,579
Georgia,Burke,2.0214961194658816,Percent,13033,583
Georgia,Butts,1.4520631399706658,Percent,13035,588
Georgia,Calhoun,2.956529599581401,Percent,13037,592
Georgia,Camden,11.879541157392175,Percent,13039,603
Georgia,Candler,1.0559431067237135,Percent,13043,616
Georgia,Carroll,5.496421211958915,Percent,13045,620
Georgia,Catoosa,8.487034855892622,Percent,13047,626
Georgia,Charlton,4.606740119038805,Percent,13049,635
Georgia,Chatham,4.943500880815041,Percent,13051,646
Georgia,Chattahoochee,26.453175986305315,Percent,13053,656
Georgia,Chattooga,1.1318691488528196,Percent,13055,659
Georgia,Cherokee,8.08598625275811,Percent,13057,662
Georgia,Clarke,6.982195178038034,Percent,13059,666
Georgia,Clay,17.503206079957963,Percent,13061,670
Georgia,Clayton,10.978646174431125,Percent,13063,673
Georgia,Clinch,2.2478429708043834,Percent,13065,676
Georgia,Cobb,10.435477672049245,Percent,13067,680
Georgia,Coffee,4.321733319365827,Percent,13069,684
Georgia,Colquitt,4.4333554986449295,Percent,13071,689
Georgia,Columbia,5.030361915082368,Percent,13073,692
Georgia,Cook,3.8895243049642745,Percent,13075,697
Georgia,Coweta,7.075807781005003,Percent,13077,700
Georgia,Crawford,0.12248777805833885,Percent,13079,704
Georgia,Crisp,2.435760432635014,Percent,13081,707
Georgia,Dade,1.220143046303006,Percent,13083,708
Georgia,Dawson,0.10263338351921987,Percent,13085,713
Georgia,Decatur,3.405381412872667,Percent,13087,714
Georgia,DeKalb,6.270357392492741,Percent,13089,718
Georgia,Dodge,0.744812931622316,Percent,13091,720
Georgia,Dooly,0.24845991637885914,Percent,13093,724
Georgia,Dougherty,10.43578267187472,Percent,13095,728
Georgia,Douglas,9.096955729168599,Percent,13097,731
Georgia,Early,2.657336325623983,Percent,13099,735
Georgia,Echols,1.2899656935483614,Percent,13101,737
Georgia,Effingham,3.58819207283711,Percent,13103,742
Georgia,Elbert,5.675722033152385,Percent,13105,746
Georgia,Emanuel,6.414530938774406,Percent,13107,750
Georgia,Evans,2.216866302979182,Percent,13109,754
Georgia,Fannin,0.19192812824673383,Percent,13111,755
Georgia,Fayette,8.753761333004645,Percent,13113,760
Georgia,Floyd,4.688156405553974,Percent,13115,764
Georgia,Forsyth,8.219406683605813,Percent,13117,768
Georgia,Franklin,0.22296947338533143,Percent,13119,772
Georgia,Fulton,6.308433993245885,Percent,13121,779
Georgia,Gilmer,1.382069023634052,Percent,13123,781
Georgia,Glascock,17.851346532525472,Percent,13125,783
Georgia,Glynn,5.802085763354658,Percent,13127,793
Georgia,Gordon,4.242936102370347,Percent,13129,796
