State,County,Low income & low access to store (% change) 2010 - 15 (PCH_LACCESS_LOWI_10_15),Units,FIPS,FID
Florida,Pinellas,-20.574673131513933,% change,12103,971
Florida,Polk,20.114342108725598,% change,12105,972
Florida,Putnam,5.7962808322883586,% change,12107,973
Florida,St. Johns,14.60182311887423,% change,12109,974
Florida,St. Lucie,20.338631395142563,% change,12111,975
Florida,Santa Rosa,11.861972846787893,% change,12113,976
Florida,Sarasota,7.371771681051291,% change,12115,977
Florida,Seminole,0.5675945506642127,% change,12117,978
Florida,Sumter,61.58293951403648,% change,12119,979
Florida,Suwannee,9.656136233594145,% change,12121,980
Florida,Taylor,20.358751481761445,% change,12123,981
Florida,Union,-0.6889842813624947,% change,12125,982
Florida,Volusia,41.80208569932434,% change,12127,983
Florida,Wakulla,-15.90738919502465,% change,12129,984
Florida,Walton,-23.537645337109065,% change,12131,985
Florida,Washington,14.017034457622268,% change,12133,986
Georgia,Appling,15.965875589898465,% change,13001,987
Georgia,Atkinson,12.285815896756255,% change,13003,988
Georgia,Bacon,100.60061187428988,% change,13005,989
Georgia,Baker,-29.798531192548467,% change,13007,990
Georgia,Baldwin,8.644357714547775,% change,13009,991
Georgia,Banks,-60.31823337800688,% change,13011,992
Georgia,Barrow,-10.852643981730077,% change,13013,993
Georgia,Bartow,21.753201445739972,% change,13015,994
Georgia,Ben Hill,9.569578105050123,% change,13017,995
Georgia,Berrien,59.928990355943235,% change,13019,996
Georgia,Bibb,40.29909895459212,% change,13021,997
Georgia,Bleckley,10.96464375814546,% change,13023,998
Georgia,Brantley,-57.155213244937705,% change,13025,999
Georgia,Brooks,-7.134258815684406,% change,13027,565
Georgia,Bryan,228.14946424836756,% change,13029,573
Georgia,Bulloch,-71.97137986141372,% change,13031,579
Georgia,Burke,-11.686557788191175,% change,13033,583
Georgia,Butts,114.7882095340989,% change,13035,588
Georgia,Calhoun,-38.94407529538971,% change,13037,592
Georgia,Camden,21.60916714924293,% change,13039,603
Georgia,Candler,-38.77564311351873,% change,13043,616
Georgia,Carroll,0.6326099191353869,% change,13045,620
Georgia,Catoosa,0.5590900407179409,% change,13047,626
Georgia,Charlton,-23.077946157774086,% change,13049,635
Georgia,Chatham,27.222231351878882,% change,13051,646
Georgia,Chattahoochee,69.50325206949556,% change,13053,656
Georgia,Chattooga,-18.864801841454906,% change,13055,659
Georgia,Cherokee,19.02883533094088,% change,13057,662
Georgia,Clarke,-1.9210585268556741,% change,13059,666
Georgia,Clay,5227.745832836839,% change,13061,670
Georgia,Clayton,23.94434882677293,% change,13063,673
Georgia,Clinch,50.41936788126701,% change,13065,676
Georgia,Cobb,18.315262955614795,% change,13067,680
Georgia,Coffee,-5.893708912745384,% change,13069,684
Georgia,Colquitt,7.783106941064176,% change,13071,689
Georgia,Columbia,28.08640579420193,% change,13073,692
Georgia,Cook,9.822217487945199,% change,13075,697
Georgia,Coweta,1.8636143392578586,% change,13077,700
Georgia,Crawford,540.4468473638558,% change,13079,704
Georgia,Crisp,-69.43930631522088,% change,13081,707
Georgia,Dade,64.53509415877812,% change,13083,708
Georgia,Dawson,0,% change,13085,713
Georgia,Decatur,1.507923792737031,% change,13087,714
Georgia,DeKalb,8.206423714268972,% change,13089,718
Georgia,Dodge,28.407804702229782,% change,13091,720
Georgia,Dooly,-93.47976481570599,% change,13093,724
Georgia,Dougherty,10.082241516657168,% change,13095,728
Georgia,Douglas,37.94393728021433,% change,13097,731
Georgia,Early,-2.1727202757930804,% change,13099,735
Georgia,Echols,-5.3724650978127935,% change,13101,737
