State,County,American Indian or Alaska Native low access to store (%) 2015 (PCT_LACCESS_NHNA15),Units,FIPS,FID
Florida,DeSoto,0.05353918146396076,Percent,12027,906
Florida,Dixie,0.01797330244779497,Percent,12029,918
Florida,Duval,0.09795703445970902,Percent,12031,924
Florida,Escambia,0.28612281686489605,Percent,12033,931
Florida,Flagler,0.10637996175833787,Percent,12035,935
Florida,Franklin,0.0018388166083581608,Percent,12037,937
Florida,Gadsden,0.014443754420271165,Percent,12039,938
Florida,Gilchrist,0.0,Percent,12041,939
Florida,Glades,4.223857779682428,Percent,12043,940
Florida,Gulf,0.07504687997472925,Percent,12045,941
Florida,Hamilton,0.08283635992100209,Percent,12047,942
Florida,Hardee,0.12532289991847465,Percent,12049,943
Florida,Hendry,1.1497075614382448,Percent,12051,944
Florida,Hernando,0.10796079887826054,Percent,12053,945
Florida,Highlands,0.1756155511896372,Percent,12055,946
Florida,Hillsborough,0.09055364541678586,Percent,12057,947
Florida,Holmes,0.09832794398524713,Percent,12059,948
Florida,Indian River,0.07942496201894327,Percent,12061,949
Florida,Jackson,0.0438251245158465,Percent,12063,950
Florida,Jefferson,0.03017287216746657,Percent,12065,951
Florida,Lafayette,0.010215117837057745,Percent,12067,952
Florida,Lake,0.10670586473744094,Percent,12069,953
Florida,Lee,0.08033878403068506,Percent,12071,954
Florida,Leon,0.08084739036620021,Percent,12073,955
Florida,Levy,0.05117847549923188,Percent,12075,956
Florida,Liberty,0.15287056399648535,Percent,12077,957
Florida,Madison,0.074559586820554,Percent,12079,958
Florida,Manatee,0.06628076964970774,Percent,12081,959
Florida,Marion,0.09568552966427295,Percent,12083,960
Florida,Martin,0.05596622469937834,Percent,12085,961
Florida,Miami-Dade,0.007485880675543805,Percent,12086,962
Florida,Monroe,0.10281249334848502,Percent,12087,963
Florida,Nassau,0.10901653420067912,Percent,12089,964
Florida,Okaloosa,0.17303794846887713,Percent,12091,965
Florida,Okeechobee,0.3938325666689819,Percent,12093,966
Florida,Orange,0.07227128969333248,Percent,12095,967
Florida,Osceola,0.11648658031487691,Percent,12097,968
Florida,Palm Beach,0.034223566257785956,Percent,12099,969
Florida,Pasco,0.08075181273723588,Percent,12101,970
Florida,Pinellas,0.03802063107522078,Percent,12103,971
Florida,Polk,0.13693910451189215,Percent,12105,972
Florida,Putnam,0.07171771160162807,Percent,12107,973
Florida,St. Johns,0.07623078449946485,Percent,12109,974
Florida,St. Lucie,0.12242129276086311,Percent,12111,975
Florida,Santa Rosa,0.32817030677782016,Percent,12113,976
Florida,Sarasota,0.05595096407217273,Percent,12115,977
Florida,Seminole,0.06855497594847819,Percent,12117,978
Florida,Sumter,0.03861027460704089,Percent,12119,979
Florida,Suwannee,0.03912437541808525,Percent,12121,980
Florida,Taylor,0.20769995227920157,Percent,12123,981
Florida,Union,0.0335064063681879,Percent,12125,982
Florida,Volusia,0.125781712133031,Percent,12127,983
Florida,Wakulla,0.01843883878756362,Percent,12129,984
Florida,Walton,0.21028136176772885,Percent,12131,985
Florida,Washington,0.5648089885083628,Percent,12133,986
Georgia,Appling,0.038888169553000604,Percent,13001,987
Georgia,Atkinson,0.1946620509695654,Percent,13003,988
Georgia,Bacon,0.015353343349484681,Percent,13005,989
Georgia,Baker,0.20283975852291103,Percent,13007,990
Georgia,Baldwin,0.03838279518526727,Percent,13009,991
Georgia,Banks,0.0,Percent,13011,992
Georgia,Barrow,0.04845303389188879,Percent,13013,993
Georgia,Bartow,0.12060602579531934,Percent,13015,994
Georgia,Ben Hill,0.027222241129457016,Percent,13017,995
Georgia,Berrien,0.035827717929474125,Percent,13019,996
Georgia,Bibb,0.05892633925178436,Percent,13021,997
Georgia,Bleckley,0.008117753995520706,Percent,13023,998
Georgia,Brantley,1.306834924921786e-05,Percent,13025,999
Georgia,Brooks,0.025571665139271994,Percent,13027,565
Georgia,Bryan,0.09985860251602817,Percent,13029,573
Georgia,Bulloch,0.010709552783674638,Percent,13031,579
Georgia,Burke,0.03566841816618485,Percent,13033,583
Georgia,Butts,0.007948538225874107,Percent,13035,588
Georgia,Calhoun,0.029877503926869588,Percent,13037,592
Georgia,Camden,0.23393798208171165,Percent,13039,603
Georgia,Candler,0.0027597771598807603,Percent,13043,616
Georgia,Carroll,0.0922075905538719,Percent,13045,620
Georgia,Catoosa,0.13471492105254684,Percent,13047,626
Georgia,Charlton,0.07561171193464801,Percent,13049,635
Georgia,Chatham,0.05449270745221855,Percent,13051,646
Georgia,Chattahoochee,0.6749771476105946,Percent,13053,656
Georgia,Chattooga,0.0003786701812850452,Percent,13055,659
Georgia,Cherokee,0.10861958632803505,Percent,13057,662
Georgia,Clarke,0.09164687039026681,Percent,13059,666
Georgia,Clay,0.25133521276169335,Percent,13061,670
Georgia,Clayton,0.12318655107744349,Percent,13063,673
Georgia,Clinch,0.260832408605,Percent,13065,676
Georgia,Cobb,0.132839825664619,Percent,13067,680
Georgia,Coffee,0.014697876693493603,Percent,13069,684
Georgia,Colquitt,0.10946503175794318,Percent,13071,689
Georgia,Columbia,0.06208759140797909,Percent,13073,692
Georgia,Cook,0.011010149893759529,Percent,13075,697
Georgia,Coweta,0.07327051251834964,Percent,13077,700
Georgia,Crawford,0.0007271631958709176,Percent,13079,704
Georgia,Crisp,0.0025465527609861,Percent,13081,707
Georgia,Dade,0.004698880911451253,Percent,13083,708
Georgia,Dawson,0.007951047435106896,Percent,13085,713
Georgia,Decatur,0.07738966229117233,Percent,13087,714
Georgia,DeKalb,0.04744873274967242,Percent,13089,718
Georgia,Dodge,0.0017475823602256472,Percent,13091,720
Georgia,Dooly,0.0,Percent,13093,724
Georgia,Dougherty,0.08473603252484904,Percent,13095,728
Georgia,Douglas,0.09454220913955727,Percent,13097,731
Georgia,Early,0.04068752853484493,Percent,13099,735
Georgia,Echols,0.3852761512995364,Percent,13101,737
Georgia,Effingham,0.05760221198122125,Percent,13103,742
Georgia,Elbert,0.07360306460624218,Percent,13105,746
Georgia,Emanuel,0.051276041853515794,Percent,13107,750
Georgia,Evans,0.0,Percent,13109,754
Georgia,Fannin,0.008815439123326534,Percent,13111,755
Georgia,Fayette,0.1021209344057072,Percent,13113,760
Georgia,Floyd,0.07182366921845085,Percent,13115,764
Georgia,Forsyth,0.07711016328292074,Percent,13117,768
Georgia,Franklin,0.0008918774199348667,Percent,13119,772
Georgia,Fulton,0.047654888477690824,Percent,13121,779
Georgia,Gilmer,0.013376189585213277,Percent,13123,781
Georgia,Glascock,0.1991640316560941,Percent,13125,783
Georgia,Glynn,0.06391551165128752,Percent,13127,793
Georgia,Gordon,0.10568254029327294,Percent,13129,796
Georgia,Grady,0.029864474908681063,Percent,13131,797
Georgia,Greene,0.018068621004644868,Percent,13133,800
Georgia,Gwinnett,0.11360260012371055,Percent,13135,804
Georgia,Habersham,0.13815269146764342,Percent,13137,806
Georgia,Hall,0.10307358790932414,Percent,13139,808
Georgia,Hancock,0.12068498092855234,Percent,13141,810
Georgia,Haralson,0.010873577544560146,Percent,13143,813
Georgia,Harris,0.008244582318917,Percent,13145,814
Georgia,Hart,0.026614502823144568,Percent,13147,816
Georgia,Heard,0.0006723412052388728,Percent,13149,817
Georgia,Henry,0.08787816685960514,Percent,13151,820
Georgia,Houston,0.11852632833357184,Percent,13153,823
Georgia,Irwin,0.0,Percent,13155,825
Georgia,Jackson,0.02347740610811854,Percent,13157,828
Georgia,Jasper,0.12581110867275036,Percent,13159,830
Georgia,Jeff Davis,0.008151381818021636,Percent,13161,832
Georgia,Jefferson,0.0,Percent,13163,834
Georgia,Jenkins,9.996841083184772e-05,Percent,13165,835
Georgia,Johnson,0.020040080216312022,Percent,13167,837
Georgia,Jones,0.015316860453653216,Percent,13169,839
Georgia,Lamar,0.03226780698071485,Percent,13171,841
Georgia,Lanier,0.003985114446259913,Percent,13173,845
Georgia,Laurens,0.02424915289432155,Percent,13175,847
Georgia,Lee,0.028493278283149202,Percent,13177,849
Georgia,Liberty,0.29127929313208045,Percent,13179,855
Georgia,Lincoln,0.038630611925282145,Percent,13181,857
Georgia,Long,0.09816077255279591,Percent,13183,860
Georgia,Lowndes,0.11031099220247269,Percent,13185,863
Georgia,Lumpkin,0.005306850658580625,Percent,13187,865
Georgia,McDuffie,0.00828115056969024,Percent,13189,868
Georgia,McIntosh,0.02126259220169448,Percent,13191,871
Georgia,Macon,0.06011125502736384,Percent,13193,874
Georgia,Madison,0.007112375533428166,Percent,13195,875
Georgia,Marion,0.0,Percent,13197,877
Georgia,Meriwether,0.019162282142904195,Percent,13199,879
Georgia,Miller,0.001458659869552191,Percent,13201,881
Georgia,Mitchell,0.001094524728766678,Percent,13205,883
Georgia,Monroe,0.03673968020545311,Percent,13207,885
Georgia,Montgomery,0.0,Percent,13209,887
Georgia,Morgan,0.013841810529931836,Percent,13211,890
Georgia,Murray,0.06743813831088472,Percent,13213,892
Georgia,Muscogee,0.12383359689039683,Percent,13215,896
Georgia,Newton,0.0429705677438171,Percent,13217,899
Georgia,Oconee,0.04273859186846958,Percent,13219,901
Georgia,Oglethorpe,0.006551295242290818,Percent,13221,905
Georgia,Paulding,0.07817332467058682,Percent,13223,908
