State,County,SNAP benefits per capita 2017 (PC_SNAPBEN17),Units,FIPS,FID
Florida,Osceola,29.030136108398438,Dollars/capita,12097,968
Florida,Palm Beach,17.788238525390625,Dollars/capita,12099,969
Florida,Pasco,20.40326499938965,Dollars/capita,12101,970
Florida,Pinellas,18.659395217895508,Dollars/capita,12103,971
Florida,Polk,29.05765151977539,Dollars/capita,12105,972
Florida,Putnam,37.1134147644043,Dollars/capita,12107,973
Florida,St. Johns,8.278236389160156,Dollars/capita,12109,974
Florida,St. Lucie,22.457571029663086,Dollars/capita,12111,975
Florida,Santa Rosa,12.275351524353027,Dollars/capita,12113,976
Florida,Sarasota,11.242232322692871,Dollars/capita,12115,977
Florida,Seminole,14.538064956665039,Dollars/capita,12117,978
Florida,Sumter,10.243145942687988,Dollars/capita,12119,979
Florida,Suwannee,28.6923885345459,Dollars/capita,12121,980
Florida,Taylor,25.935510635375977,Dollars/capita,12123,981
Florida,Union,23.291658401489258,Dollars/capita,12125,982
Florida,Volusia,22.843914031982422,Dollars/capita,12127,983
Florida,Wakulla,16.456518173217773,Dollars/capita,12129,984
Florida,Walton,14.926046371459961,Dollars/capita,12131,985
Florida,Washington,21.31246566772461,Dollars/capita,12133,986
Georgia,Appling,25.750049591064453,Dollars/capita,13001,987
Georgia,Atkinson,27.4714298248291,Dollars/capita,13003,988
Georgia,Bacon,26.18016815185547,Dollars/capita,13005,989
Georgia,Baker,35.41666793823242,Dollars/capita,13007,990
Georgia,Baldwin,24.484477996826172,Dollars/capita,13009,991
Georgia,Banks,14.27945327758789,Dollars/capita,13011,992
Georgia,Barrow,17.581361770629883,Dollars/capita,13013,993
Georgia,Bartow,18.27869415283203,Dollars/capita,13015,994
Georgia,Ben Hill,30.92394256591797,Dollars/capita,13017,995
Georgia,Berrien,24.983495712280273,Dollars/capita,13019,996
Georgia,Bibb,34.17843246459961,Dollars/capita,13021,997
Georgia,Bleckley,23.109899520874023,Dollars/capita,13023,998
Georgia,Brantley,27.6724853515625,Dollars/capita,13025,999
Georgia,Brooks,26.769102096557617,Dollars/capita,13027,565
Georgia,Bryan,11.724230766296387,Dollars/capita,13029,573
Georgia,Bulloch,19.71245002746582,Dollars/capita,13031,579
Georgia,Burke,35.972232818603516,Dollars/capita,13033,583
Georgia,Butts,21.651634216308594,Dollars/capita,13035,588
Georgia,Calhoun,32.32636260986328,Dollars/capita,13037,592
Georgia,Camden,16.800518035888672,Dollars/capita,13039,603
Georgia,Candler,30.594919204711914,Dollars/capita,13043,616
Georgia,Carroll,19.666927337646484,Dollars/capita,13045,620
Georgia,Catoosa,16.008014678955078,Dollars/capita,13047,626
Georgia,Charlton,17.472801208496094,Dollars/capita,13049,635
Georgia,Chatham,19.098613739013672,Dollars/capita,13051,646
Georgia,Chattahoochee,10.611041069030762,Dollars/capita,13053,656
Georgia,Chattooga,24.848608016967773,Dollars/capita,13055,659
Georgia,Cherokee,6.519289493560791,Dollars/capita,13057,662
Georgia,Clarke,18.810073852539062,Dollars/capita,13059,666
Georgia,Clay,42.90456771850586,Dollars/capita,13061,670
Georgia,Clayton,30.821758270263672,Dollars/capita,13063,673
Georgia,Clinch,31.77493667602539,Dollars/capita,13065,676
Georgia,Cobb,9.675436973571777,Dollars/capita,13067,680
Georgia,Coffee,26.344135284423828,Dollars/capita,13069,684
Georgia,Colquitt,33.47151184082031,Dollars/capita,13071,689
Georgia,Columbia,8.39331340789795,Dollars/capita,13073,692
Georgia,Cook,30.14605140686035,Dollars/capita,13075,697
Georgia,Coweta,12.552929878234863,Dollars/capita,13077,700
Georgia,Crawford,22.292259216308594,Dollars/capita,13079,704
Georgia,Crisp,36.014835357666016,Dollars/capita,13081,707
Georgia,Dade,13.61170768737793,Dollars/capita,13083,708
Georgia,Dawson,10.743535995483398,Dollars/capita,13085,713
Georgia,Decatur,35.42820739746094,Dollars/capita,13087,714
Georgia,DeKalb,24.010967254638672,Dollars/capita,13089,718
Georgia,Dodge,26.885351181030273,Dollars/capita,13091,720
