State,County,Seniors low access to store (% change) 2010 -15 (PCH_LACCESS_SENIORS_10_15),Units,FIPS,FID
Georgia,Muscogee,-16.547906861492752,% change,13215,896
Georgia,Newton,-3.9693893596497896,% change,13217,899
Georgia,Oconee,-2.247478160549985,% change,13219,901
Georgia,Oglethorpe,-6.135498343249603,% change,13221,905
Georgia,Paulding,13.02266998068416,% change,13223,908
Georgia,Peach,-7.378162289055925,% change,13225,910
Georgia,Pickens,-10.416398721507246,% change,13227,912
Georgia,Pierce,-4.072395752471618,% change,13229,915
Georgia,Pike,0,% change,13231,7
Georgia,Polk,2.703995051506631,% change,13233,8
Georgia,Pulaski,0.0,% change,13235,11
Georgia,Putnam,-14.771398358385445,% change,13237,13
Georgia,Quitman,0.802559436464527,% change,13239,16
Georgia,Rabun,-28.56031952313087,% change,13241,18
Georgia,Randolph,369.68457154820123,% change,13243,23
Georgia,Richmond,9.87901165553082,% change,13245,24
Georgia,Rockdale,-12.380316444304226,% change,13247,28
Georgia,Schley,-55.962166340908645,% change,13249,31
Georgia,Screven,-2.8020923966394573,% change,13251,34
Georgia,Seminole,-15.25301752623519,% change,13253,38
Georgia,Spalding,-6.7280917337772905,% change,13255,41
Georgia,Stephens,37.79964092467242,% change,13257,45
Georgia,Stewart,-37.19687674627058,% change,13259,48
Georgia,Sumter,-0.9488991131981351,% change,13261,52
Georgia,Talbot,361.5503555966409,% change,13263,57
Georgia,Taliaferro,-1.5119408589162364,% change,13265,60
Georgia,Tattnall,5.3468478892888385,% change,13267,63
