State,County,Hispanic ethnicity low access to store (%) 2015 (PCT_LACCESS_HISP15),Units,FIPS,FID
California,Butte,2.320029620906291,Percent,6007,486
California,Calaveras,1.156461533226741,Percent,6009,489
California,Colusa,2.414349938354643,Percent,6011,497
California,Contra Costa,3.2431136943309546,Percent,6013,503
California,Del Norte,4.464141137524816,Percent,6015,511
California,El Dorado,3.3583926426624346,Percent,6017,522
California,Fresno,4.148439000327572,Percent,6019,527
California,Glenn,2.1646218893048785,Percent,6021,537
California,Humboldt,1.4084448857024432,Percent,6023,551
California,Imperial,12.010674926666036,Percent,6025,557
California,Inyo,5.951926760382778,Percent,6027,562
California,Kern,5.5533924957366265,Percent,6029,84
California,Kings,6.910607739594332,Percent,6031,94
California,Lake,3.5283663925302404,Percent,6033,100
California,Lassen,11.363813173535378,Percent,6035,104
California,Los Angeles,2.2147791461335493,Percent,6037,139
California,Madera,12.137163991755942,Percent,6039,153
California,Marin,1.1211212778549973,Percent,6041,168
California,Mariposa,1.593396358872029,Percent,6043,178
California,Mendocino,3.591934095945208,Percent,6045,190
California,Merced,8.462840140266191,Percent,6047,204
California,Modoc,2.8935836875615317,Percent,6049,207
California,Mono,8.017438763275313,Percent,6051,214
California,Monterey,4.037305339327008,Percent,6053,228
California,Napa,1.7382955466306895,Percent,6055,236
California,Nevada,2.7073625031378334,Percent,6057,243
California,Orange,0.9868766101007963,Percent,6059,257
California,Placer,1.5455424355495018,Percent,6061,266
California,Plumas,0.9714939749032838,Percent,6063,275
California,Riverside,8.570149132650648,Percent,6065,281
California,Sacramento,2.509694003444602,Percent,6067,289
California,San Benito,6.281802124145126,Percent,6069,295
California,San Bernardino,8.399829588246716,Percent,6071,302
California,San Diego,2.4152058975259174,Percent,6073,315
California,San Francisco,0.10541286511171793,Percent,6075,331
California,San Joaquin,4.6310574144148156,Percent,6077,339
California,San Luis Obispo,2.9475759551366987,Percent,6079,351
California,San Mateo,1.040745163189175,Percent,6081,368
California,Santa Barbara,4.380258882706637,Percent,6083,391
California,Santa Clara,1.33194092825974,Percent,6085,406
California,Santa Cruz,3.485009166447043,Percent,6087,415
California,Shasta,1.8825505843846058,Percent,6089,431
California,Sierra,7.739896149020494,Percent,6091,439
California,Siskiyou,2.278269505325167,Percent,6093,446
California,Solano,3.217763589391112,Percent,6095,453
California,Sonoma,3.2425211026359952,Percent,6097,463
California,Stanislaus,4.796023765373785,Percent,6099,473
California,Sutter,7.4303124250987995,Percent,6101,483
California,Tehama,3.6524787564320156,Percent,6103,492
California,Trinity,0.9717923841480778,Percent,6105,500
California,Tulare,8.675214159734113,Percent,6107,501
California,Tuolumne,2.8896332881024653,Percent,6109,513
California,Ventura,4.427435819674464,Percent,6111,521
California,Yolo,2.024730099030819,Percent,6113,525
California,Yuba,7.150772097353046,Percent,6115,541
Colorado,Adams,5.721553099903623,Percent,8001,545
Colorado,Alamosa,1.7778904710914343,Percent,8003,549
Colorado,Arapahoe,1.4700339614065085,Percent,8005,558
Colorado,Archuleta,7.456774272544339,Percent,8007,560
Colorado,Baca,1.7748554413119981,Percent,8009,563
Colorado,Bent,6.847547189993815,Percent,8011,564
Colorado,Boulder,2.1183657292993785,Percent,8013,570
Colorado,Broomfield,3.4797095490667576,Percent,8014,577
Colorado,Chaffee,0.43973980587623,Percent,8015,582
Colorado,Cheyenne,4.4473920835223755,Percent,8017,587
Colorado,Clear Creek,1.000570440888312,Percent,8019,591
Colorado,Conejos,2.1952293795319284,Percent,8021,596
Colorado,Costilla,66.0256808684387,Percent,8023,599
Colorado,Crowley,0.9478683569517964,Percent,8025,605
Colorado,Custer,0.9387695609961033,Percent,8027,610
Colorado,Delta,1.932368187391726,Percent,8029,617
Colorado,Denver,4.114671612678294,Percent,8031,628
Colorado,Dolores,3.9728681837317925,Percent,8033,636
Colorado,Douglas,1.3708245549659046,Percent,8035,644
Colorado,Eagle,5.119793334124643,Percent,8037,648
Colorado,Elbert,1.2742059536373775,Percent,8039,655
Colorado,El Paso,4.006090786041176,Percent,8041,661
Colorado,Fremont,3.995653957631983,Percent,8043,664
Colorado,Garfield,5.038148494486886,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,0.1276532123001307,Percent,8049,677
Colorado,Gunnison,0.5506515703950581,Percent,8051,682
Colorado,Hinsdale,0.5609224171175409,Percent,8053,688
Colorado,Huerfano,5.833619305475368,Percent,8055,693
Colorado,Jackson,1.9665537682330272,Percent,8057,701
Colorado,Jefferson,2.3980162431814653,Percent,8059,706
Colorado,Kiowa,5.579399182842804,Percent,8061,711
Colorado,Kit Carson,1.0630096149484947,Percent,8063,716
Colorado,Lake,11.068904649004924,Percent,8065,721
Colorado,La Plata,1.0619714095629582,Percent,8067,727
Colorado,Larimer,1.9166684055270369,Percent,8069,734
Colorado,Las Animas,15.176605170024182,Percent,8071,741
Colorado,Lincoln,1.518200105556318,Percent,8073,747
Colorado,Logan,1.7857335400484742,Percent,8075,749
Colorado,Mesa,4.152941024716943,Percent,8077,751
Colorado,Mineral,0.3995894021121165,Percent,8079,757
Colorado,Moffat,3.5200173628000218,Percent,8081,758
Colorado,Montezuma,1.643011298909497,Percent,8083,766
Colorado,Montrose,6.201177805918112,Percent,8085,769
Colorado,Morgan,4.7422818754773965,Percent,8087,775
Colorado,Otero,14.422115253209016,Percent,8089,777
Colorado,Ouray,0.15187031370431064,Percent,8091,780
Colorado,Park,2.6866009960531962,Percent,8093,782
Colorado,Phillips,0.3872436907248762,Percent,8095,785
Colorado,Pitkin,0.6596969336534756,Percent,8097,789
Colorado,Prowers,8.681187072508326,Percent,8099,792
Colorado,Pueblo,14.695237838340846,Percent,8101,795
Colorado,Rio Blanco,0.6051157203668647,Percent,8103,799
Colorado,Rio Grande,1.7845984260495158,Percent,8105,802
Colorado,Routt,1.5872272714103366,Percent,8107,809
Colorado,Saguache,2.3732971550849373,Percent,8109,811
Colorado,San Juan,11.981486822181173,Percent,8111,347
Colorado,San Miguel,0.3691168829516252,Percent,8113,359
Colorado,Sedgwick,2.2028594358380116,Percent,8115,366
Colorado,Summit,3.078169704837365,Percent,8117,373
Colorado,Teller,0.7103168697895247,Percent,8119,375
Colorado,Washington,4.313498548683029,Percent,8121,377
Colorado,Weld,4.344841491676219,Percent,8123,382
Colorado,Yuma,2.851173569688729,Percent,8125,385
Connecticut,Fairfield,1.7945198391650894,Percent,9001,410
Connecticut,Hartford,1.6399685487852094,Percent,9003,432
Connecticut,Litchfield,0.7670383478368636,Percent,9005,443
Connecticut,Middlesex,1.3215874184884897,Percent,9007,450
Connecticut,New Haven,2.134646343900614,Percent,9009,466
Connecticut,New London,2.6711603220509494,Percent,9011,517
Connecticut,Tolland,1.7021455834266266,Percent,9013,524
Connecticut,Windham,1.2192056324431975,Percent,9015,529
Delaware,Kent,0.8692720194637422,Percent,10001,532
Delaware,New Castle,1.5728860006023446,Percent,10003,536
Delaware,Sussex,1.0634851333855793,Percent,10005,609
District of Columbia,District of Columbia,0.08427396117776834,Percent,11001,630
Florida,Alachua,1.34372307626633,Percent,12001,639
Florida,Baker,0.6336838491177651,Percent,12003,641
Florida,Bay,1.5611961042058369,Percent,12005,658
Florida,Bradford,0.18496584238212832,Percent,12007,665
Florida,Brevard,3.1858250357271203,Percent,12009,686
Florida,Broward,2.6678038239555772,Percent,12011,695
