State,County,High schoolers physically active (%) 2017 (PCT_HSPA17),Units,FIPS,FID
Georgia,Quitman,nan,Percent,13239,16
Georgia,Rabun,nan,Percent,13241,18
Georgia,Randolph,nan,Percent,13243,23
Georgia,Richmond,nan,Percent,13245,24
Georgia,Rockdale,nan,Percent,13247,28
Georgia,Schley,nan,Percent,13249,31
Georgia,Screven,nan,Percent,13251,34
Georgia,Seminole,nan,Percent,13253,38
Georgia,Spalding,nan,Percent,13255,41
Georgia,Stephens,nan,Percent,13257,45
Georgia,Stewart,nan,Percent,13259,48
Georgia,Sumter,nan,Percent,13261,52
Georgia,Talbot,nan,Percent,13263,57
Georgia,Taliaferro,nan,Percent,13265,60
Georgia,Tattnall,nan,Percent,13267,63
Georgia,Taylor,nan,Percent,13269,69
Georgia,Telfair,nan,Percent,13271,75
Georgia,Terrell,nan,Percent,13273,78
Georgia,Thomas,nan,Percent,13275,83
Georgia,Tift,nan,Percent,13277,87
Georgia,Toombs,nan,Percent,13279,91
Georgia,Towns,nan,Percent,13281,95
Georgia,Treutlen,nan,Percent,13283,102
Georgia,Troup,nan,Percent,13285,105
Georgia,Turner,nan,Percent,13287,108
Georgia,Twiggs,nan,Percent,13289,116
Georgia,Union,nan,Percent,13291,120
Georgia,Upson,nan,Percent,13293,123
Georgia,Walker,nan,Percent,13295,126
Georgia,Walton,nan,Percent,13297,127
Georgia,Ware,nan,Percent,13299,132
Georgia,Warren,nan,Percent,13301,135
Georgia,Washington,nan,Percent,13303,143
Georgia,Wayne,nan,Percent,13305,147
Georgia,Webster,nan,Percent,13307,149
Georgia,Wheeler,nan,Percent,13309,154
Georgia,White,nan,Percent,13311,157
Georgia,Whitfield,nan,Percent,13313,159
Georgia,Wilcox,nan,Percent,13315,163
Georgia,Wilkes,nan,Percent,13317,167
Georgia,Wilkinson,nan,Percent,13319,169
Georgia,Worth,nan,Percent,13321,173
Hawaii,Hawaii,19.599999999999994,Percent,15001,198
Hawaii,Honolulu,19.599999999999994,Percent,15003,234
Hawaii,Kalawao,19.599999999999994,Percent,15005,247
Hawaii,Kauai,19.599999999999994,Percent,15007,261
Hawaii,Maui,19.599999999999994,Percent,15009,323
Idaho,Ada,23.700000000000003,Percent,16001,336
Idaho,Adams,23.700000000000003,Percent,16003,338
Idaho,Bannock,23.700000000000003,Percent,16005,343
Idaho,Bear Lake,23.700000000000003,Percent,16007,349
Idaho,Benewah,23.700000000000003,Percent,16009,354
Idaho,Bingham,23.700000000000003,Percent,16011,362
Idaho,Blaine,23.700000000000003,Percent,16013,371
Idaho,Boise,23.700000000000003,Percent,16015,380
Idaho,Bonner,23.700000000000003,Percent,16017,387
Idaho,Bonneville,23.700000000000003,Percent,16019,395
Idaho,Boundary,23.700000000000003,Percent,16021,405
Idaho,Butte,23.700000000000003,Percent,16023,414
Idaho,Camas,23.700000000000003,Percent,16025,429
Idaho,Canyon,23.700000000000003,Percent,16027,441
Idaho,Caribou,23.700000000000003,Percent,16029,449
