State,County,Hawaiian or Pacific Islander low access to store (%) 2015 (PCT_LACCESS_NHPI15),Units,FIPS,FID
Connecticut,Fairfield,0.007098605714680121,Percent,9001,410
Connecticut,Hartford,0.006429172339208077,Percent,9003,432
Connecticut,Litchfield,0.002795507118251981,Percent,9005,443
Connecticut,Middlesex,0.012138744042037169,Percent,9007,450
Connecticut,New Haven,0.0065782619312390826,Percent,9009,466
Connecticut,New London,0.018956605655945084,Percent,9011,517
Connecticut,Tolland,0.009478911842908751,Percent,9013,524
Connecticut,Windham,0.011116456698261813,Percent,9015,529
Delaware,Kent,0.007129320068273181,Percent,10001,532
Delaware,New Castle,0.006402749563346277,Percent,10003,536
Delaware,Sussex,0.017589179770259148,Percent,10005,609
District of Columbia,District of Columbia,0.0007544013240867975,Percent,11001,630
Florida,Alachua,0.01194681129579588,Percent,12001,639
Florida,Baker,0.003634981925079089,Percent,12003,641
Florida,Bay,0.044568263681541466,Percent,12005,658
Florida,Bradford,0.00017586187035012555,Percent,12007,665
Florida,Brevard,0.03586009334512879,Percent,12009,686
Florida,Broward,0.00324276664903296,Percent,12011,695
Florida,Calhoun,0.01576944285860431,Percent,12013,699
Florida,Charlotte,0.015924484838018352,Percent,12015,743
Florida,Citrus,0.008752822933150613,Percent,12017,843
Florida,Clay,0.03129416006204197,Percent,12019,852
Florida,Collier,0.008387704787744494,Percent,12021,894
Florida,Columbia,0.016393401449964165,Percent,12023,903
Florida,DeSoto,0.002868452697143231,Percent,12027,906
Florida,Dixie,0.0,Percent,12029,918
Florida,Duval,0.021490560547615365,Percent,12031,924
Florida,Escambia,0.06210549092097883,Percent,12033,931
Florida,Flagler,0.02159850405729822,Percent,12035,935
Florida,Franklin,0.0,Percent,12037,937
Florida,Gadsden,0.007917662632488758,Percent,12039,938
Florida,Gilchrist,0.0,Percent,12041,939
Florida,Glades,0.007761564768496041,Percent,12043,940
Florida,Gulf,0.0017394452807108678,Percent,12045,941
Florida,Hamilton,0.0,Percent,12047,942
Florida,Hardee,0.020906107240858573,Percent,12049,943
Florida,Hendry,0.015810897919327004,Percent,12051,944
Florida,Hernando,0.017926700476744783,Percent,12053,945
Florida,Highlands,0.022467551021808554,Percent,12055,946
Florida,Hillsborough,0.020049740737519788,Percent,12057,947
Florida,Holmes,0.0050183169313050635,Percent,12059,948
Florida,Indian River,0.008557518221991479,Percent,12061,949
Florida,Jackson,0.0023306133217697103,Percent,12063,950
Florida,Jefferson,0.006774608564444672,Percent,12065,951
Florida,Lafayette,0.0,Percent,12067,952
Florida,Lake,0.019219183353490873,Percent,12069,953
Florida,Lee,0.014354770133860113,Percent,12071,954
Florida,Leon,0.012411834919058031,Percent,12073,955
Florida,Levy,0.0,Percent,12075,956
Florida,Liberty,0.0,Percent,12077,957
Florida,Madison,0.0,Percent,12079,958
Florida,Manatee,0.009750996251595439,Percent,12081,959
Florida,Marion,0.011291801403890063,Percent,12083,960
Florida,Martin,0.014800764370001777,Percent,12085,961
Florida,Miami-Dade,0.0019290477751204656,Percent,12086,962
Florida,Monroe,0.019291104272098097,Percent,12087,963
Florida,Nassau,0.029817981449648222,Percent,12089,964
Florida,Okaloosa,0.08462513999471191,Percent,12091,965
Florida,Okeechobee,0.03378181889829758,Percent,12093,966
Florida,Orange,0.020453783098189546,Percent,12095,967
Florida,Osceola,0.030844200067292035,Percent,12097,968
Florida,Palm Beach,0.005666876631563379,Percent,12099,969
Florida,Pasco,0.016082924529558163,Percent,12101,970
Florida,Pinellas,0.011606236803004991,Percent,12103,971
Florida,Polk,0.018688812547929645,Percent,12105,972
Florida,Putnam,0.021792406086303857,Percent,12107,973
Florida,St. Johns,0.019085423557688476,Percent,12109,974
Florida,St. Lucie,0.023138094432210057,Percent,12111,975
Florida,Santa Rosa,0.05737509300579335,Percent,12113,976
Florida,Sarasota,0.010246565398130153,Percent,12115,977
Florida,Seminole,0.01652400823258688,Percent,12117,978
Florida,Sumter,0.0037631616765230894,Percent,12119,979
Florida,Suwannee,0.007388730293838199,Percent,12121,980
Florida,Taylor,0.004797840330421311,Percent,12123,981
Florida,Union,0.0038737229227127647,Percent,12125,982
Florida,Volusia,0.012075152920470183,Percent,12127,983
Florida,Wakulla,0.0,Percent,12129,984
Florida,Walton,0.001597039767948778,Percent,12131,985
Florida,Washington,0.012155528281300692,Percent,12133,986
Georgia,Appling,0.06580390735772647,Percent,13001,987
Georgia,Atkinson,0.03582089463820717,Percent,13003,988
Georgia,Bacon,0.0,Percent,13005,989
Georgia,Baker,0.05795421704556708,Percent,13007,990
Georgia,Baldwin,0.0020792925027985367,Percent,13009,991
Georgia,Banks,0.0,Percent,13011,992
Georgia,Barrow,0.004031268094161229,Percent,13013,993
Georgia,Bartow,0.013795393779004761,Percent,13015,994
Georgia,Ben Hill,0.011341726210729272,Percent,13017,995
Georgia,Berrien,0.0,Percent,13019,996
Georgia,Bibb,0.017662019922521425,Percent,13021,997
Georgia,Bleckley,0.0,Percent,13023,998
Georgia,Brantley,0.0,Percent,13025,999
Georgia,Brooks,2.0717552482975434e-05,Percent,13027,565
Georgia,Bryan,0.019119268496910296,Percent,13029,573
Georgia,Bulloch,0.0025688436727002153,Percent,13031,579
Georgia,Burke,0.0004197489836924755,Percent,13033,583
Georgia,Butts,0.0,Percent,13035,588
Georgia,Calhoun,0.0,Percent,13037,592
Georgia,Camden,0.05435577113768258,Percent,13039,603
Georgia,Candler,0.0,Percent,13043,616
Georgia,Carroll,0.004516812341332444,Percent,13045,620
Georgia,Catoosa,0.025374386591413625,Percent,13047,626
Georgia,Charlton,0.0,Percent,13049,635
Georgia,Chatham,0.015901378119569303,Percent,13051,646
Georgia,Chattahoochee,0.6321728518936239,Percent,13053,656
Georgia,Chattooga,0.004404836862150951,Percent,13055,659
Georgia,Cherokee,0.013228988610255614,Percent,13057,662
Georgia,Clarke,0.022387768002387374,Percent,13059,666
Georgia,Clay,0.031416902470589696,Percent,13061,670
Georgia,Clayton,0.019962138605800196,Percent,13063,673
Georgia,Clinch,0.0,Percent,13065,676
Georgia,Cobb,0.016549416663916152,Percent,13067,680
Georgia,Coffee,0.004721881197469072,Percent,13069,684
Georgia,Colquitt,0.010651634695178953,Percent,13071,689
Georgia,Columbia,0.026170664891552967,Percent,13073,692
Georgia,Cook,0.008419380474999245,Percent,13075,697
Georgia,Coweta,0.013022233631409787,Percent,13077,700
Georgia,Crawford,1.8833487281986538e-05,Percent,13079,704
Georgia,Crisp,0.00035995500293921925,Percent,13081,707
Georgia,Dade,0.00023060039681120604,Percent,13083,708
Georgia,Dawson,0.0,Percent,13085,713
Georgia,Decatur,0.00040511727851146826,Percent,13087,714
Georgia,DeKalb,0.0075313083726730725,Percent,13089,718
Georgia,Dodge,8.124338811959993e-06,Percent,13091,720
Georgia,Dooly,0.0,Percent,13093,724
Georgia,Dougherty,0.03618417411594914,Percent,13095,728
Georgia,Douglas,0.05883745788851732,Percent,13097,731
Georgia,Early,0.0,Percent,13099,735
Georgia,Echols,0.0,Percent,13101,737
Georgia,Effingham,0.0054564515797145075,Percent,13103,742
Georgia,Elbert,0.0016755520448199098,Percent,13105,746
Georgia,Emanuel,0.0076338251836216035,Percent,13107,750
Georgia,Evans,0.023051010478626635,Percent,13109,754
Georgia,Fannin,0.0,Percent,13111,755
Georgia,Fayette,0.023450499234458414,Percent,13113,760
Georgia,Floyd,0.022332612652412244,Percent,13115,764
Georgia,Forsyth,0.01089222232793278,Percent,13117,768
Georgia,Franklin,0.0015119696263709021,Percent,13119,772
Georgia,Fulton,0.006885802559377686,Percent,13121,779
Georgia,Gilmer,0.0,Percent,13123,781
Georgia,Glascock,0.0,Percent,13125,783
Georgia,Glynn,0.016216490105683823,Percent,13127,793
Georgia,Gordon,0.038263687547839306,Percent,13129,796
Georgia,Grady,0.0008920855758515294,Percent,13131,797
Georgia,Greene,0.0,Percent,13133,800
Georgia,Gwinnett,0.015908858758485002,Percent,13135,804
Georgia,Habersham,0.03363911861203736,Percent,13137,806
Georgia,Hall,0.02308847287556488,Percent,13139,808
Georgia,Hancock,0.0,Percent,13141,810
Georgia,Haralson,0.0,Percent,13143,813
Georgia,Harris,0.0,Percent,13145,814
Georgia,Hart,0.0,Percent,13147,816
Georgia,Heard,0.0,Percent,13149,817
Georgia,Henry,0.019600792823037286,Percent,13151,820
Georgia,Houston,0.028369794512067552,Percent,13153,823
Georgia,Irwin,0.0,Percent,13155,825
Georgia,Jackson,0.0011592338718840374,Percent,13157,828
Georgia,Jasper,0.0,Percent,13159,830
Georgia,Jeff Davis,0.0,Percent,13161,832
Georgia,Jefferson,0.0,Percent,13163,834
Georgia,Jenkins,0.0,Percent,13165,835
Georgia,Johnson,0.0,Percent,13167,837
Georgia,Jones,0.0,Percent,13169,839
Georgia,Lamar,7.422148260067425e-05,Percent,13171,841
Georgia,Lanier,0.0,Percent,13173,845
Georgia,Laurens,0.004129330597046599,Percent,13175,847
Georgia,Lee,0.0048818567226382075,Percent,13177,849
Georgia,Liberty,0.2794158890714766,Percent,13179,855
