State,County,Seniors low access to store (%) 2015 (PCT_LACCESS_SENIORS15),Units,FIPS,FID
Colorado,Hinsdale,2.281377720034069,Percent,8053,688
Colorado,Huerfano,8.765292229571033,Percent,8055,693
Colorado,Jackson,5.921636158174713,Percent,8057,701
Colorado,Jefferson,2.4850285407966055,Percent,8059,706
Colorado,Kiowa,21.45922757519249,Percent,8061,711
Colorado,Kit Carson,2.087279962721705,Percent,8063,716
Colorado,Lake,1.7848441503053762,Percent,8065,721
Colorado,La Plata,1.8281479535182978,Percent,8067,727
Colorado,Larimer,2.6769649638531354,Percent,8069,734
Colorado,Las Animas,7.2648718123711875,Percent,8071,741
Colorado,Lincoln,5.05395089159872,Percent,8073,747
Colorado,Logan,2.96955885357368,Percent,8075,749
Colorado,Mesa,4.34253435565302,Percent,8077,751
Colorado,Mineral,3.4791232835012496,Percent,8079,757
Colorado,Moffat,2.646765850704335,Percent,8081,758
Colorado,Montezuma,1.9532407222534756,Percent,8083,766
Colorado,Montrose,3.2714721540285883,Percent,8085,769
Colorado,Morgan,1.1613354101500302,Percent,8087,775
Colorado,Otero,5.733120070029473,Percent,8089,777
Colorado,Ouray,1.1715972194441568,Percent,8091,780
Colorado,Park,7.081371636757066,Percent,8093,782
Colorado,Phillips,0.7871397713880707,Percent,8095,785
Colorado,Pitkin,1.079912456448793,Percent,8097,789
Colorado,Prowers,3.8455547726912918,Percent,8099,792
Colorado,Pueblo,5.444380606449766,Percent,8101,795
Colorado,Rio Blanco,1.407423403741155,Percent,8103,799
Colorado,Rio Grande,2.812671607941437,Percent,8105,802
Colorado,Routt,1.680524472697299,Percent,8107,809
Colorado,Saguache,3.4630523754127376,Percent,8109,811
Colorado,San Juan,12.291396985064635,Percent,8111,347
Colorado,San Miguel,0.8697409256255115,Percent,8113,359
Colorado,Sedgwick,4.238002344325179,Percent,8115,366
Colorado,Summit,1.3780868976597984,Percent,8117,373
Colorado,Teller,1.4911595368627109,Percent,8119,375
Colorado,Washington,9.073346366019589,Percent,8121,377
Colorado,Weld,1.5606423543486443,Percent,8123,382
Colorado,Yuma,3.2258736158734043,Percent,8125,385
Connecticut,Fairfield,4.481525365823693,Percent,9001,410
Connecticut,Hartford,4.649010113654764,Percent,9003,432
Connecticut,Litchfield,2.637532463279613,Percent,9005,443
Connecticut,Middlesex,4.878940754597896,Percent,9007,450
Connecticut,New Haven,4.582902172323274,Percent,9009,466
Connecticut,New London,5.4654214015177605,Percent,9011,517
Connecticut,Tolland,4.189072298628741,Percent,9013,524
Connecticut,Windham,2.1641124559761287,Percent,9015,529
Delaware,Kent,2.350658408639911,Percent,10001,532
Delaware,New Castle,2.82409795027067,Percent,10003,536
Delaware,Sussex,3.463398498803713,Percent,10005,609
District of Columbia,District of Columbia,0.31261101282604786,Percent,11001,630
Florida,Alachua,1.6279992253531474,Percent,12001,639
Florida,Baker,3.3824299372192805,Percent,12003,641
Florida,Bay,4.485610489455422,Percent,12005,658
Florida,Bradford,0.9710966698758589,Percent,12007,665
Florida,Brevard,7.772256678090954,Percent,12009,686
Florida,Broward,1.306889904625512,Percent,12011,695
Florida,Calhoun,2.245131012411275,Percent,12013,699
Florida,Charlotte,14.123679216814436,Percent,12015,743
Florida,Citrus,10.187662684108584,Percent,12017,843
Florida,Clay,2.7703040761636393,Percent,12019,852
Florida,Collier,9.016536697784181,Percent,12021,894
Florida,Columbia,2.459324606059661,Percent,12023,903
Florida,DeSoto,1.4223170628641615,Percent,12027,906
Florida,Dixie,2.5834590083946356,Percent,12029,918
Florida,Duval,2.513711134165086,Percent,12031,924
Florida,Escambia,5.082654071026648,Percent,12033,931
Florida,Flagler,8.349476860592135,Percent,12035,935
Florida,Franklin,0.46394058718397435,Percent,12037,937
Florida,Gadsden,1.1379015509668995,Percent,12039,938
Florida,Gilchrist,0.12988003027005254,Percent,12041,939
Florida,Glades,10.858760284587241,Percent,12043,940
Florida,Gulf,3.7488595429226503,Percent,12045,941
Florida,Hamilton,3.983147766925968,Percent,12047,942
Florida,Hardee,4.749613714058779,Percent,12049,943
Florida,Hendry,1.9976553216030708,Percent,12051,944
Florida,Hernando,9.970209911602055,Percent,12053,945
Florida,Highlands,10.521138660441562,Percent,12055,946
Florida,Hillsborough,2.7585965146984037,Percent,12057,947
Florida,Holmes,2.5495192075313797,Percent,12059,948
Florida,Indian River,12.322680611214174,Percent,12061,949
Florida,Jackson,0.8180198216585675,Percent,12063,950
Florida,Jefferson,2.6662966318563783,Percent,12065,951
Florida,Lafayette,1.25759342385168,Percent,12067,952
Florida,Lake,7.0628791136308795,Percent,12069,953
Florida,Lee,6.081568319035998,Percent,12071,954
Florida,Leon,3.158592059952491,Percent,12073,955
Florida,Levy,1.6793981986769317,Percent,12075,956
Florida,Liberty,3.221361792720777,Percent,12077,957
Florida,Madison,3.704981243292629,Percent,12079,958
Florida,Manatee,6.163014156649382,Percent,12081,959
Florida,Marion,7.374376769274791,Percent,12083,960
Florida,Martin,9.878448935262853,Percent,12085,961
Florida,Miami-Dade,0.6568445953649144,Percent,12086,962
Florida,Monroe,5.4832700297508685,Percent,12087,963
Florida,Nassau,4.443082968390785,Percent,12089,964
Florida,Okaloosa,4.601783796440721,Percent,12091,965
Florida,Okeechobee,6.922232559885814,Percent,12093,966
Florida,Orange,1.8772714772147099,Percent,12095,967
Florida,Osceola,2.318507004156153,Percent,12097,968
Florida,Palm Beach,3.5554373905063272,Percent,12099,969
Florida,Pasco,4.753725871706918,Percent,12101,970
Florida,Pinellas,2.8437376393468385,Percent,12103,971
Florida,Polk,6.164559588581404,Percent,12105,972
Florida,Putnam,4.140214343307783,Percent,12107,973
Florida,St. Johns,4.341203027640248,Percent,12109,974
Florida,St. Lucie,7.543165127333733,Percent,12111,975
Florida,Santa Rosa,5.021805459495343,Percent,12113,976
Florida,Sarasota,9.29693370251373,Percent,12115,977
Florida,Seminole,3.012152835955128,Percent,12117,978
Florida,Sumter,6.724329967836984,Percent,12119,979
Florida,Suwannee,4.604569918825396,Percent,12121,980
Florida,Taylor,6.602694583812982,Percent,12123,981
Florida,Union,2.6399474317320886,Percent,12125,982
Florida,Volusia,7.289210302179955,Percent,12127,983
Florida,Wakulla,0.2860548124509608,Percent,12129,984
Florida,Walton,2.149679517449285,Percent,12131,985
