State,County,SNAP households low access to store (%) 2015 (PCT_LACCESS_SNAP15),Units,FIPS,FID
California,Mono,1.9126366637963248,Percent,6051,214
California,Monterey,0.6171856526502247,Percent,6053,228
California,Napa,0.34819626883753785,Percent,6055,236
California,Nevada,1.3181067865139764,Percent,6057,243
California,Orange,0.12102234771301928,Percent,6059,257
California,Placer,0.5579050458490314,Percent,6061,266
California,Plumas,0.4153072317478556,Percent,6063,275
California,Riverside,1.670321774153411,Percent,6065,281
California,Sacramento,1.3315465388065006,Percent,6067,289
California,San Benito,1.0520207577299732,Percent,6069,295
California,San Bernardino,2.747661032251732,Percent,6071,302
California,San Diego,0.4202342518637908,Percent,6073,315
California,San Francisco,0.062378151103564664,Percent,6075,331
California,San Joaquin,1.2959100043626346,Percent,6077,339
California,San Luis Obispo,0.7144665392485208,Percent,6079,351
California,San Mateo,0.09006205993130273,Percent,6081,368
California,Santa Barbara,0.5270352735179523,Percent,6083,391
California,Santa Clara,0.17304636003831653,Percent,6085,406
California,Santa Cruz,0.7744058101312914,Percent,6087,415
California,Shasta,2.242737374197879,Percent,6089,431
California,Sierra,3.328849487555479,Percent,6091,439
California,Siskiyou,2.4855826483374774,Percent,6093,446
California,Solano,1.1451007304410332,Percent,6095,453
California,Sonoma,0.7664810191065303,Percent,6097,463
California,Stanislaus,1.7048059543407312,Percent,6099,473
California,Sutter,2.3114269853026785,Percent,6101,483
California,Tehama,3.2700457144143433,Percent,6103,492
California,Trinity,1.2094656054,Percent,6105,500
California,Tulare,2.888070710707584,Percent,6107,501
California,Tuolumne,2.783231105619575,Percent,6109,513
California,Ventura,0.7604206366465833,Percent,6111,521
California,Yolo,0.41874350273898725,Percent,6113,525
California,Yuba,3.3485557413190565,Percent,6115,541
Colorado,Adams,1.7016092958019562,Percent,8001,545
Colorado,Alamosa,1.0920994708140168,Percent,8003,549
Colorado,Arapahoe,0.5089062675983367,Percent,8005,558
Colorado,Archuleta,2.5983017778730586,Percent,8007,560
Colorado,Baca,2.0539290931554066,Percent,8009,563
Colorado,Bent,5.373505254126294,Percent,8011,564
Colorado,Boulder,0.7393959324867175,Percent,8013,570
Colorado,Broomfield,1.3236776348980246,Percent,8014,577
Colorado,Chaffee,0.7391048867467057,Percent,8015,582
Colorado,Cheyenne,2.41801994943958,Percent,8017,587
Colorado,Clear Creek,1.3013990311463641,Percent,8019,591
Colorado,Conejos,0.9427847064476715,Percent,8021,596
Colorado,Costilla,23.423842790590903,Percent,8023,599
Colorado,Crowley,3.4831198766419527,Percent,8025,605
Colorado,Custer,2.4926075250890705,Percent,8027,610
Colorado,Delta,1.0962400522059514,Percent,8029,617
Colorado,Denver,1.378134504209143,Percent,8031,628
Colorado,Dolores,7.641633708126151,Percent,8033,636
Colorado,Douglas,0.3642500170472387,Percent,8035,644
Colorado,Eagle,0.37331268190890365,Percent,8037,648
Colorado,Elbert,2.2358354585073865,Percent,8039,655
Colorado,El Paso,2.276973099536784,Percent,8041,661
Colorado,Fremont,4.2021038565608855,Percent,8043,664
Colorado,Garfield,1.0645196983475709,Percent,8045,667
Colorado,Gilpin,0.0,Percent,8047,672
Colorado,Grand,0.22775636837114702,Percent,8049,677
Colorado,Gunnison,0.34367188277423727,Percent,8051,682
Colorado,Hinsdale,0.18639727685644475,Percent,8053,688
Colorado,Huerfano,3.8617756718727447,Percent,8055,693
Colorado,Jackson,2.7466469583318336,Percent,8057,701
Colorado,Jefferson,0.8414326991009764,Percent,8059,706
Colorado,Kiowa,10.375670926953957,Percent,8061,711
Colorado,Kit Carson,0.9537258764312245,Percent,8063,716
Colorado,Lake,1.4146168286562952,Percent,8065,721
Colorado,La Plata,0.9027707846357393,Percent,8067,727
Colorado,Larimer,1.000889941845729,Percent,8069,734
Colorado,Las Animas,4.728257497482049,Percent,8071,741
Colorado,Lincoln,1.6470656843060882,Percent,8073,747
Colorado,Logan,1.5430931341249658,Percent,8075,749
Colorado,Mesa,3.100862375003563,Percent,8077,751
Colorado,Mineral,0.0,Percent,8079,757
Colorado,Moffat,1.906750685504776,Percent,8081,758
Colorado,Montezuma,1.8071049027110522,Percent,8083,766
Colorado,Montrose,2.821988777526881,Percent,8085,769
Colorado,Morgan,1.382185906213299,Percent,8087,775
Colorado,Otero,5.7544481838773835,Percent,8089,777
Colorado,Ouray,0.4031588031042651,Percent,8091,780
Colorado,Park,3.144079101344452,Percent,8093,782
Colorado,Phillips,0.3400576177636173,Percent,8095,785
Colorado,Pitkin,0.11307597546737438,Percent,8097,789
Colorado,Prowers,3.2576962380579735,Percent,8099,792
Colorado,Pueblo,6.238125980634679,Percent,8101,795
Colorado,Rio Blanco,0.680105826288912,Percent,8103,799
Colorado,Rio Grande,1.6865927807622096,Percent,8105,802
Colorado,Routt,0.4679132076998817,Percent,8107,809
Colorado,Saguache,2.6917637271370904,Percent,8109,811
Colorado,San Juan,7.642426337027413,Percent,8111,347
Colorado,San Miguel,0.5158657507582687,Percent,8113,359
Colorado,Sedgwick,1.7167749383451967,Percent,8115,366
Colorado,Summit,0.6035696554687034,Percent,8117,373
Colorado,Teller,0.6239846792966354,Percent,8119,375
Colorado,Washington,4.171195432694182,Percent,8121,377
Colorado,Weld,1.2753205558376477,Percent,8123,382
Colorado,Yuma,1.4317361821931605,Percent,8125,385
Connecticut,Fairfield,0.9440229161261828,Percent,9001,410
Connecticut,Hartford,1.616856556661395,Percent,9003,432
Connecticut,Litchfield,1.1450440390429384,Percent,9005,443
Connecticut,Middlesex,1.710291584323145,Percent,9007,450
Connecticut,New Haven,1.914465253333526,Percent,9009,466
Connecticut,New London,3.824637046342061,Percent,9011,517
Connecticut,Tolland,2.8495825521788825,Percent,9013,524
Connecticut,Windham,2.283519006003972,Percent,9015,529
Delaware,Kent,2.620211306154169,Percent,10001,532
Delaware,New Castle,1.9506578228309854,Percent,10003,536
Delaware,Sussex,1.9814221462107775,Percent,10005,609
District of Columbia,District of Columbia,0.40050219356705297,Percent,11001,630
Florida,Alachua,1.6189784223958577,Percent,12001,639
Florida,Baker,5.9372066172288305,Percent,12003,641
Florida,Bay,4.107647301724539,Percent,12005,658
Florida,Bradford,1.2943470533682455,Percent,12007,665
Florida,Brevard,4.128731806027072,Percent,12009,686
Florida,Broward,0.7874330533936494,Percent,12011,695
Florida,Calhoun,3.6261280296092275,Percent,12013,699
Florida,Charlotte,4.144228567039471,Percent,12015,743
Florida,Citrus,4.931819985124542,Percent,12017,843
Florida,Clay,2.571097302267996,Percent,12019,852
Florida,Collier,2.3096983521057224,Percent,12021,894
Florida,Columbia,3.3535797992116514,Percent,12023,903
Florida,DeSoto,2.270371546906413,Percent,12027,906
Florida,Dixie,2.1230601933244455,Percent,12029,918
Florida,Duval,3.5794008945967586,Percent,12031,924
Florida,Escambia,4.303315383778041,Percent,12033,931
