State,County,Adult obesity rate 2017 (PCT_OBESE_ADULTS17),Units,FIPS,FID
Georgia,Jefferson,31.6,Percent,13163,834
Georgia,Jenkins,31.6,Percent,13165,835
Georgia,Johnson,31.6,Percent,13167,837
Georgia,Jones,31.6,Percent,13169,839
Georgia,Lamar,31.6,Percent,13171,841
Georgia,Lanier,31.6,Percent,13173,845
Georgia,Laurens,31.6,Percent,13175,847
Georgia,Lee,31.6,Percent,13177,849
Georgia,Liberty,31.6,Percent,13179,855
Georgia,Lincoln,31.6,Percent,13181,857
Georgia,Long,31.6,Percent,13183,860
Georgia,Lowndes,31.6,Percent,13185,863
Georgia,Lumpkin,31.6,Percent,13187,865
Georgia,McDuffie,31.6,Percent,13189,868
Georgia,McIntosh,31.6,Percent,13191,871
Georgia,Macon,31.6,Percent,13193,874
Georgia,Madison,31.6,Percent,13195,875
Georgia,Marion,31.6,Percent,13197,877
Georgia,Meriwether,31.6,Percent,13199,879
Georgia,Miller,31.6,Percent,13201,881
Georgia,Mitchell,31.6,Percent,13205,883
Georgia,Monroe,31.6,Percent,13207,885
Georgia,Montgomery,31.6,Percent,13209,887
Georgia,Morgan,31.6,Percent,13211,890
Georgia,Murray,31.6,Percent,13213,892
Georgia,Muscogee,31.6,Percent,13215,896
Georgia,Newton,31.6,Percent,13217,899
Georgia,Oconee,31.6,Percent,13219,901
Georgia,Oglethorpe,31.6,Percent,13221,905
Georgia,Paulding,31.6,Percent,13223,908
Georgia,Peach,31.6,Percent,13225,910
Georgia,Pickens,31.6,Percent,13227,912
Georgia,Pierce,31.6,Percent,13229,915
Georgia,Pike,31.6,Percent,13231,7
Georgia,Polk,31.6,Percent,13233,8
Georgia,Pulaski,31.6,Percent,13235,11
Georgia,Putnam,31.6,Percent,13237,13
Georgia,Quitman,31.6,Percent,13239,16
Georgia,Rabun,31.6,Percent,13241,18
Georgia,Randolph,31.6,Percent,13243,23
Georgia,Richmond,31.6,Percent,13245,24
Georgia,Rockdale,31.6,Percent,13247,28
Georgia,Schley,31.6,Percent,13249,31
Georgia,Screven,31.6,Percent,13251,34
Georgia,Seminole,31.6,Percent,13253,38
Georgia,Spalding,31.6,Percent,13255,41
Georgia,Stephens,31.6,Percent,13257,45
Georgia,Stewart,31.6,Percent,13259,48
Georgia,Sumter,31.6,Percent,13261,52
Georgia,Talbot,31.6,Percent,13263,57
Georgia,Taliaferro,31.6,Percent,13265,60
Georgia,Tattnall,31.6,Percent,13267,63
Georgia,Taylor,31.6,Percent,13269,69
Georgia,Telfair,31.6,Percent,13271,75
Georgia,Terrell,31.6,Percent,13273,78
Georgia,Thomas,31.6,Percent,13275,83
Georgia,Tift,31.6,Percent,13277,87
Georgia,Toombs,31.6,Percent,13279,91
Georgia,Towns,31.6,Percent,13281,95
Georgia,Treutlen,31.6,Percent,13283,102
Georgia,Troup,31.6,Percent,13285,105
Georgia,Turner,31.6,Percent,13287,108
Georgia,Twiggs,31.6,Percent,13289,116
Georgia,Union,31.6,Percent,13291,120
Georgia,Upson,31.6,Percent,13293,123
Georgia,Walker,31.6,Percent,13295,126
Georgia,Walton,31.6,Percent,13297,127
Georgia,Ware,31.6,Percent,13299,132
Georgia,Warren,31.6,Percent,13301,135
Georgia,Washington,31.6,Percent,13303,143
Georgia,Wayne,31.6,Percent,13305,147
Georgia,Webster,31.6,Percent,13307,149
Georgia,Wheeler,31.6,Percent,13309,154
Georgia,White,31.6,Percent,13311,157
Georgia,Whitfield,31.6,Percent,13313,159
Georgia,Wilcox,31.6,Percent,13315,163
Georgia,Wilkes,31.6,Percent,13317,167
Georgia,Wilkinson,31.6,Percent,13319,169
Georgia,Worth,31.6,Percent,13321,173
Hawaii,Hawaii,23.8,Percent,15001,198
Hawaii,Honolulu,23.8,Percent,15003,234
Hawaii,Kalawao,23.8,Percent,15005,247
Hawaii,Kauai,23.8,Percent,15007,261
Hawaii,Maui,23.8,Percent,15009,323
Idaho,Ada,29.3,Percent,16001,336
Idaho,Adams,29.3,Percent,16003,338
Idaho,Bannock,29.3,Percent,16005,343
Idaho,Bear Lake,29.3,Percent,16007,349
Idaho,Benewah,29.3,Percent,16009,354
Idaho,Bingham,29.3,Percent,16011,362
Idaho,Blaine,29.3,Percent,16013,371
Idaho,Boise,29.3,Percent,16015,380
Idaho,Bonner,29.3,Percent,16017,387
Idaho,Bonneville,29.3,Percent,16019,395
Idaho,Boundary,29.3,Percent,16021,405
Idaho,Butte,29.3,Percent,16023,414
Idaho,Camas,29.3,Percent,16025,429
Idaho,Canyon,29.3,Percent,16027,441
Idaho,Caribou,29.3,Percent,16029,449
Idaho,Cassia,29.3,Percent,16031,456
Idaho,Clark,29.3,Percent,16033,464
Idaho,Clearwater,29.3,Percent,16035,474
Idaho,Custer,29.3,Percent,16037,484
Idaho,Elmore,29.3,Percent,16039,490
Idaho,Franklin,29.3,Percent,16041,498
Idaho,Fremont,29.3,Percent,16043,502
Idaho,Gem,29.3,Percent,16045,510
Idaho,Gooding,29.3,Percent,16047,519
Idaho,Idaho,29.3,Percent,16049,528
Idaho,Jefferson,29.3,Percent,16051,540
Idaho,Jerome,29.3,Percent,16053,547
Idaho,Kootenai,29.3,Percent,16055,552
Idaho,Latah,29.3,Percent,16057,559
Idaho,Lemhi,29.3,Percent,16059,566
Idaho,Lewis,29.3,Percent,16061,574
Idaho,Lincoln,29.3,Percent,16063,578
Idaho,Madison,29.3,Percent,16065,581
Idaho,Minidoka,29.3,Percent,16067,585
Idaho,Nez Perce,29.3,Percent,16069,589
Idaho,Oneida,29.3,Percent,16071,593
Idaho,Owyhee,29.3,Percent,16073,601
Idaho,Payette,29.3,Percent,16075,606
Idaho,Power,29.3,Percent,16077,613
Idaho,Shoshone,29.3,Percent,16079,621
Idaho,Teton,29.3,Percent,16081,627
Idaho,Twin Falls,29.3,Percent,16083,634
Idaho,Valley,29.3,Percent,16085,643
Idaho,Washington,29.3,Percent,16087,649
Illinois,Adams,31.1,Percent,17001,650
Illinois,Alexander,31.1,Percent,17003,651
Illinois,Bond,31.1,Percent,17005,652
Illinois,Boone,31.1,Percent,17007,653
Illinois,Brown,31.1,Percent,17009,654
Illinois,Bureau,31.1,Percent,17011,2
Illinois,Calhoun,31.1,Percent,17013,4
