State,County,Multiracial low access to store (%) 2015 (PCT_LACCESS_MULTIR15),Units,FIPS,FID
Georgia,Colquitt,1.9719016606547124,Percent,13071,689
Georgia,Columbia,0.6873098177456046,Percent,13073,692
Georgia,Cook,1.0441064443847201,Percent,13075,697
Georgia,Coweta,1.3527755995271724,Percent,13077,700
Georgia,Crawford,0.015257853010610532,Percent,13079,704
Georgia,Crisp,0.36835687839270703,Percent,13081,707
Georgia,Dade,0.055276295220021227,Percent,13083,708
Georgia,Dawson,0.013246871693557902,Percent,13085,713
Georgia,Decatur,0.5652615598435278,Percent,13087,714
Georgia,DeKalb,0.7693046421320204,Percent,13089,718
Georgia,Dodge,0.05653993998794687,Percent,13091,720
Georgia,Dooly,0.0,Percent,13093,724
Georgia,Dougherty,0.7000197462498376,Percent,13095,728
Georgia,Douglas,2.559380508152217,Percent,13097,731
Georgia,Early,0.2705746742477262,Percent,13099,735
Georgia,Echols,0.19292680944693405,Percent,13101,737
Georgia,Effingham,0.431322722420333,Percent,13103,742
Georgia,Elbert,1.232009060229669,Percent,13105,746
Georgia,Emanuel,0.8062010240381671,Percent,13107,750
Georgia,Evans,0.736219739921249,Percent,13109,754
Georgia,Fannin,0.006835445266790136,Percent,13111,755
Georgia,Fayette,1.8369428127860405,Percent,13113,760
Georgia,Floyd,1.2731640357824787,Percent,13115,764
Georgia,Forsyth,1.1625528768611026,Percent,13117,768
Georgia,Franklin,0.049113459970139016,Percent,13119,772
Georgia,Fulton,0.9352600161276694,Percent,13121,779
Georgia,Gilmer,0.6467518170013997,Percent,13123,781
Georgia,Glascock,1.0535072163103631,Percent,13125,783
Georgia,Glynn,1.6142309784520632,Percent,13127,793
Georgia,Gordon,2.492983795279111,Percent,13129,796
Georgia,Grady,0.8028855348295311,Percent,13131,797
Georgia,Greene,0.13545404927048768,Percent,13133,800
Georgia,Gwinnett,2.7498284768603574,Percent,13135,804
Georgia,Habersham,2.285259881320994,Percent,13137,806
Georgia,Hall,3.9102074576675667,Percent,13139,808
Georgia,Hancock,0.1380251539731371,Percent,13141,810
Georgia,Haralson,0.053043667274922865,Percent,13143,813
Georgia,Harris,0.0024963132599696725,Percent,13145,814
Georgia,Hart,0.3730267839738627,Percent,13147,816
Georgia,Heard,0.1470407246751107,Percent,13149,817
Georgia,Henry,1.5435785695342534,Percent,13151,820
Georgia,Houston,1.9228188229416725,Percent,13153,823
Georgia,Irwin,0.1045862241289005,Percent,13155,825
Georgia,Jackson,0.35264178601348267,Percent,13157,828
Georgia,Jasper,1.3614179530889279,Percent,13159,830
Georgia,Jeff Davis,0.6892774211850478,Percent,13161,832
Georgia,Jefferson,0.01052731362034495,Percent,13163,834
Georgia,Jenkins,0.13963000577340887,Percent,13165,835
Georgia,Johnson,0.18244905706581563,Percent,13167,837
Georgia,Jones,0.17022642191714152,Percent,13169,839
Georgia,Lamar,0.0865532608659644,Percent,13171,841
Georgia,Lanier,0.25419307446927863,Percent,13173,845
Georgia,Laurens,0.20751414126292897,Percent,13175,847
Georgia,Lee,0.29893462731359105,Percent,13177,849
Georgia,Liberty,3.554275835384442,Percent,13179,855
Georgia,Lincoln,0.05670305502186556,Percent,13181,857
Georgia,Long,0.5878702244102552,Percent,13183,860
Georgia,Lowndes,0.9905994405498614,Percent,13185,863
Georgia,Lumpkin,0.12641154791679168,Percent,13187,865
Georgia,McDuffie,0.19231118530743496,Percent,13189,868
Georgia,McIntosh,0.18680395097201494,Percent,13191,871
Georgia,Macon,0.16815479962123542,Percent,13193,874
Georgia,Madison,0.107365057731117,Percent,13195,875
Georgia,Marion,0.0,Percent,13197,877
Georgia,Meriwether,0.1157102043042902,Percent,13199,879
Georgia,Miller,0.025662065168922287,Percent,13201,881
Georgia,Mitchell,0.17850194627546045,Percent,13205,883
