State,County,Convenience stores per 1000 pop 2016 (CONVSPTH16),Units,FIPS,FID
Georgia,Bartow,0.705784533,"# per 1,000 pop",13015,994
Georgia,Ben Hill,1.105293775,"# per 1,000 pop",13017,995
Georgia,Berrien,0.683706742,"# per 1,000 pop",13019,996
Georgia,Bibb,1.116151562,"# per 1,000 pop",13021,997
Georgia,Bleckley,0.852845402,"# per 1,000 pop",13023,998
Georgia,Brantley,0.708253882,"# per 1,000 pop",13025,999
Georgia,Brooks,0.700949468,"# per 1,000 pop",13027,565
Georgia,Bryan,0.725405948,"# per 1,000 pop",13029,573
Georgia,Bulloch,0.695922164,"# per 1,000 pop",13031,579
Georgia,Burke,0.796178344,"# per 1,000 pop",13033,583
Georgia,Butts,1.054407423,"# per 1,000 pop",13035,588
Georgia,Calhoun,0.782105428,"# per 1,000 pop",13037,592
Georgia,Camden,0.705891331,"# per 1,000 pop",13039,603
Georgia,Candler,1.465872652,"# per 1,000 pop",13043,616
Georgia,Carroll,0.808317067,"# per 1,000 pop",13045,620
Georgia,Catoosa,0.407442618,"# per 1,000 pop",13047,626
Georgia,Charlton,0.784252216,"# per 1,000 pop",13049,635
Georgia,Chatham,0.639275718,"# per 1,000 pop",13051,646
Georgia,Chattahoochee,0.198019802,"# per 1,000 pop",13053,656
Georgia,Chattooga,1.16780091,"# per 1,000 pop",13055,659
Georgia,Cherokee,0.293874172,"# per 1,000 pop",13057,662
Georgia,Clarke,0.535922827,"# per 1,000 pop",13059,666
Georgia,Clay,0.665335995,"# per 1,000 pop",13061,670
Georgia,Clayton,0.564273623,"# per 1,000 pop",13063,673
Georgia,Clinch,1.178376786,"# per 1,000 pop",13065,676
Georgia,Cobb,0.314466666,"# per 1,000 pop",13067,680
Georgia,Coffee,0.97640358,"# per 1,000 pop",13069,684
Georgia,Colquitt,0.897725033,"# per 1,000 pop",13071,689
Georgia,Columbia,0.257712732,"# per 1,000 pop",13073,692
Georgia,Cook,1.047303194,"# per 1,000 pop",13075,697
Georgia,Coweta,0.412893673,"# per 1,000 pop",13077,700
Georgia,Crawford,0.48816207,"# per 1,000 pop",13079,704
Georgia,Crisp,1.090037061,"# per 1,000 pop",13081,707
Georgia,Dade,1.416081763,"# per 1,000 pop",13083,708
Georgia,Dawson,0.508194639,"# per 1,000 pop",13085,713
Georgia,Decatur,1.048100318,"# per 1,000 pop",13087,714
Georgia,DeKalb,0.494180985,"# per 1,000 pop",13089,718
